osmid,name,highway,oneway,reversed,length,geometry,maxspeed
"[52894627, 52907823]","['Пионерская улица', 'Молодёжная улица']",residential,False,"[False, True]",195.24099999999999,"LINESTRING (57.7231646 58.2836506, 57.7227132 58.2832638, 57.7219431 58.2823621, 57.7216506 58.2823971, 57.7213578 58.2823724)",
52907823,Пионерская улица,residential,False,True,261.94,"LINESTRING (57.7231646 58.2836506, 57.7236141 58.2839533, 57.723904 58.2841333, 57.7264282 58.2852523)",
52907827,,residential,False,False,114.84,"LINESTRING (57.7231646 58.2836506, 57.7238885 58.2834423, 57.7245236 58.2832462, 57.7248709 58.283139)",
52894621,улица Чайковского,residential,False,True,81.301,"LINESTRING (57.7248709 58.283139, 57.7257379 58.2837107)",
52894621,улица Чайковского,residential,False,False,121.719,"LINESTRING (57.7248709 58.283139, 57.7239338 58.2823441, 57.7238666 58.2821886)",
52907827,,residential,False,True,114.83999999999999,"LINESTRING (57.7248709 58.283139, 57.7245236 58.2832462, 57.7238885 58.2834423, 57.7231646 58.2836506)",
428743472,улица Пушкина,residential,False,True,81.421,"LINESTRING (57.7270156 58.2834192, 57.7257379 58.2837107)",
428922341,улица Гоголя,residential,False,False,121.754,"LINESTRING (57.7270156 58.2834192, 57.7280163 58.2843795)",
428922341,улица Гоголя,residential,False,True,118.191,"LINESTRING (57.7270156 58.2834192, 57.7262662 58.282432)",
"[428743472, 52894623]","['улица Пушкина', 'улица Гагарина']",residential,False,False,636.389,"LINESTRING (57.7270156 58.2834192, 57.7276632 58.2832437, 57.7280567 58.2831118, 57.7308417 58.2821785, 57.732399 58.2817131, 57.7355712 58.2806375, 57.7359061 58.2806236, 57.736351 58.2807265)",
231931758,Советская улица,residential,False,False,85.669,"LINESTRING (57.7264282 58.2852523, 57.7272562 58.2846166)",
52907823,Пионерская улица,residential,False,False,261.94,"LINESTRING (57.7264282 58.2852523, 57.723904 58.2841333, 57.7236141 58.2839533, 57.7231646 58.2836506)",
52907823,Пионерская улица,residential,False,True,112.98400000000001,"LINESTRING (57.7264282 58.2852523, 57.7273866 58.2856624, 57.727969 58.2858638)",
231931758,Советская улица,residential,False,True,337.651,"LINESTRING (57.7264282 58.2852523, 57.7259385 58.2855071, 57.7256675 58.2855824, 57.724904 58.2855687, 57.7242223 58.2856368, 57.7229406 58.2857648, 57.721636 58.2859951, 57.7210696 58.2861542)",
231931758,Советская улица,residential,False,True,51.665,"LINESTRING (57.7280163 58.2843795, 57.7272562 58.2846166)",
428922341,улица Гоголя,residential,False,True,121.754,"LINESTRING (57.7280163 58.2843795, 57.7270156 58.2834192)",
231931758,Советская улица,residential,False,False,520.939,"LINESTRING (57.7280163 58.2843795, 57.7291213 58.284086, 57.7319395 58.2832485, 57.7339675 58.2825964, 57.7341206 58.2825711, 57.7343825 58.2826685, 57.7349706 58.2829305, 57.7354728 58.2832624)",
52907823,Пионерская улица,residential,False,False,106.29,"LINESTRING (57.7284544 58.286785, 57.727969 58.2858638)",
52907808,Набережная улица,tertiary,False,False,496.325,"LINESTRING (57.7284544 58.286785, 57.7311403 58.2862114, 57.7313859 58.2861544, 57.7315661 58.2861101, 57.7320986 58.2859989, 57.7324618 58.2858985, 57.7337239 58.2853676, 57.7340316 58.2852167, 57.7355701 58.2844623)",60
"[52894627, 52907823]","['Пионерская улица', 'Молодёжная улица']",residential,False,"[False, True]",195.241,"LINESTRING (57.7213578 58.2823724, 57.7216506 58.2823971, 57.7219431 58.2823621, 57.7227132 58.2832638, 57.7231646 58.2836506)",
232831511,,unclassified,False,False,156.248,"LINESTRING (57.7213578 58.2823724, 57.7214073 58.2821967, 57.7215494 58.2817965, 57.7221216 58.2810332)",
54254122,Октябрьская улица,residential,False,True,33.182,"LINESTRING (57.7356801 58.2829846, 57.7354728 58.2832624)",
54254122,Октябрьская улица,residential,False,False,84.488,"LINESTRING (57.7356801 58.2829846, 57.7364812 58.2825856, 57.7367752 58.282494)",
428482240,2-й переулок Матросова,residential,False,True,143.263,"LINESTRING (57.7356801 58.2829846, 57.7351668 58.282608, 57.7346603 58.2821064, 57.734439 58.2819565, 57.7343308 58.2819203)",
"[54254122, 428482237]","['Октябрьская улица', '1-й переулок Матросова']",residential,False,"[False, True]",143.661,"LINESTRING (57.7367752 58.282494, 57.7368773 58.2824622, 57.7369375 58.2824313, 57.7368057 58.2823431, 57.7366065 58.2821114, 57.7364012 58.2819336, 57.735897 58.2815861, 57.7358125 58.2815242, 57.7357355 58.2814353)",
54254122,Октябрьская улица,residential,False,True,84.488,"LINESTRING (57.7367752 58.282494, 57.7364812 58.2825856, 57.7356801 58.2829846)",
231931751,,residential,False,False,86.658,"LINESTRING (57.7367752 58.282494, 57.7367516 58.2826609, 57.7364648 58.2829029, 57.7361591 58.2831875)",
232831520,улица Зайцева,residential,False,True,133.433,"LINESTRING (57.7274502 58.2810123, 57.7256184 58.2816056, 57.7255747 58.2816705)",
52907826,улица Гоголя,residential,False,False,69.557,"LINESTRING (57.7221216 58.2810332, 57.7224378 58.2810142, 57.7232646 58.2808693)",
232831511,,unclassified,False,True,156.248,"LINESTRING (57.7221216 58.2810332, 57.7215494 58.2817965, 57.7214073 58.2821967, 57.7213578 58.2823724)",
232831520,улица Зайцева,residential,False,True,115.282,"LINESTRING (57.7255747 58.2816705, 57.7238666 58.2821886)",
428922341,улица Гоголя,residential,False,False,93.83,"LINESTRING (57.7255747 58.2816705, 57.7262662 58.282432)",
52907826,улица Гоголя,residential,False,True,212.942,"LINESTRING (57.7255747 58.2816705, 57.7254269 58.2815671, 57.7250095 58.2810449, 57.7246933 58.2806537, 57.7244997 58.2806343, 57.7232646 58.2808693)",
232831520,улица Зайцева,residential,False,False,133.433,"LINESTRING (57.7255747 58.2816705, 57.7256184 58.2816056, 57.7274502 58.2810123)",
428482306,Проточная улица,residential,False,False,109.775,"LINESTRING (57.7374856 58.27994, 57.7369545 58.2802968, 57.736351 58.2807265)",
"[54254122, 428482237]","['Октябрьская улица', '1-й переулок Матросова']",residential,False,"[False, True]",143.661,"LINESTRING (57.7357355 58.2814353, 57.7358125 58.2815242, 57.735897 58.2815861, 57.7364012 58.2819336, 57.7366065 58.2821114, 57.7368057 58.2823431, 57.7369375 58.2824313, 57.7368773 58.2824622, 57.7367752 58.282494)",
428482240,2-й переулок Матросова,residential,False,False,143.263,"LINESTRING (57.7343308 58.2819203, 57.734439 58.2819565, 57.7346603 58.2821064, 57.7351668 58.282608, 57.7356801 58.2829846)",
52894630,Клубная улица,residential,False,True,317.164,"LINESTRING (57.7310094 58.2810615, 57.7307909 58.281092, 57.7302702 58.2812961, 57.7300146 58.2813705, 57.7262662 58.282432)",
