osmid,lanes,highway,oneway,reversed,length,ref,name,geometry
172620668,2,residential,False,False,114.152,,,"LINESTRING (54.6520802 55.1396161, 54.6537432 55.1400039)"
59526322,2,secondary,False,True,198.51600000000002,80К-008,улица Ленина,"LINESTRING (54.6520802 55.1396161, 54.6524432 55.1391633, 54.6533814 55.1379931)"
529979181,2,secondary,False,False,321.972,80К-008,Октябрьская улица,"LINESTRING (54.6520802 55.1396161, 54.6508576 55.1394159, 54.6470969 55.1391289)"
172620618,2,residential,False,False,558.5340000000001,,,"LINESTRING (54.6459666 55.1355279, 54.6465387 55.1355276, 54.6476134 55.135621, 54.6484476 55.1357336, 54.6524576 55.1362473, 54.6545617 55.1365299)"
306783772,2,residential,False,True,43.065,,,"LINESTRING (54.6459666 55.1355279, 54.6459982 55.1356423, 54.6459441 55.1357475, 54.6457691 55.1358747)"
172620696,2,residential,False,False,102.435,,,"LINESTRING (54.6457691 55.1358747, 54.6457035 55.1361147, 54.6457006 55.136793)"
306783772,2,residential,False,False,43.065,,,"LINESTRING (54.6457691 55.1358747, 54.6459441 55.1357475, 54.6459982 55.1356423, 54.6459666 55.1355279)"
59526322,2,secondary,False,False,162.219,80К-008,улица Ленина,"LINESTRING (54.6545617 55.1365299, 54.6534854 55.1378527)"
172620618,2,residential,False,False,98.013,,,"LINESTRING (54.6545617 55.1365299, 54.6560591 55.1367404)"
59526322,2,secondary,False,True,142.126,80К-008,улица Ленина,"LINESTRING (54.6545617 55.1365299, 54.6547992 55.1361589, 54.6548807 55.1358366, 54.6548875 55.1355915, 54.654821 55.1352815)"
172620618,2,residential,False,True,558.534,,,"LINESTRING (54.6545617 55.1365299, 54.6524576 55.1362473, 54.6484476 55.1357336, 54.6476134 55.135621, 54.6465387 55.1355276, 54.6459666 55.1355279)"
172620618,2,residential,False,True,12.73,,,"LINESTRING (54.6562459 55.1367817, 54.6560591 55.1367404)"
172620661,2,residential,False,False,170.645,,улица Тукая,"LINESTRING (54.6562459 55.1367817, 54.6554007 55.1381526, 54.6552905 55.1382037)"
172620696,2,residential,False,False,149.996,,,"LINESTRING (54.6457006 55.136793, 54.647978 55.1371465)"
172620696,2,residential,False,True,102.435,,,"LINESTRING (54.6457006 55.136793, 54.6457035 55.1361147, 54.6457691 55.1358747)"
59526322,2,secondary,False,True,16.954,80К-008,улица Ленина,"LINESTRING (54.6533814 55.1379931, 54.6534854 55.1378527)"
172620696,2,residential,False,True,356.108,,,"LINESTRING (54.6533814 55.1379931, 54.647978 55.1371465)"
59526322,2,secondary,False,False,198.51600000000002,80К-008,улица Ленина,"LINESTRING (54.6533814 55.1379931, 54.6524432 55.1391633, 54.6520802 55.1396161)"
172620668,2,residential,False,True,114.152,,,"LINESTRING (54.6537432 55.1400039, 54.6520802 55.1396161)"
172620661,2,residential,False,True,223.625,,улица Тукая,"LINESTRING (54.6537432 55.1400039, 54.6545318 55.1392518, 54.6552905 55.1382037)"
172620668,2,residential,False,False,188.68,,,"LINESTRING (54.6537432 55.1400039, 54.6550072 55.1402541, 54.6561453 55.1403312, 54.6566277 55.1403599)"
306783770,,residential,False,False,227.824,,,"LINESTRING (54.6470969 55.1391289, 54.6473414 55.138342, 54.647978 55.1371465)"
529979181,2,secondary,False,True,321.972,80К-008,Октябрьская улица,"LINESTRING (54.6470969 55.1391289, 54.6508576 55.1394159, 54.6520802 55.1396161)"
