osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry
"[1068737961, 127607708]",4,Советская улица,secondary,60,False,False,134.48,"LINESTRING (40.9268768 57.7672753, 40.9276191 57.7668213, 40.9281854 57.7664605, 40.9282776 57.766413, 40.9283721 57.7663672)"
"[511143602, 41397891]",4,Сусанинская площадь,secondary,60,False,True,109.12699999999998,"LINESTRING (40.9268768 57.7672753, 40.92654 57.7674862, 40.926286 57.7676452, 40.9260776 57.7677871, 40.9257296 57.7680419)"
"[56220784, 184719590]","['1', '2']",улица Симановского,tertiary,,True,False,283.969,"LINESTRING (40.9270729 57.7686503, 40.9264757 57.7686667, 40.9264235 57.7687617, 40.9260318 57.7694661, 40.9258535 57.7697868, 40.9256212 57.7702044, 40.9255561 57.7703214, 40.925308 57.7707677, 40.9252848 57.7708094)"
41397883,2,проспект Мира,tertiary,,True,False,193.908,"LINESTRING (40.9277724 57.7682104, 40.9280505 57.768342, 40.9296409 57.7690916, 40.9302249 57.7693637)"
826618345,,,tertiary,,True,False,18.415,"LINESTRING (40.9277724 57.7682104, 40.9276695 57.7682734, 40.9275685 57.7683353)"
"[366798875, 1225198574]",1,,tertiary,,True,False,45.724999999999994,"LINESTRING (40.9275685 57.7683353, 40.9272971 57.7685078, 40.9270729 57.7686503)"
1225198573,2,Пятницкая улица,secondary,60,False,True,20.614,"LINESTRING (40.9246213 57.7714516, 40.9249487 57.7715139)"
"[1216163736, 184719586]",2,Пятницкая улица,secondary,60,False,False,92.336,"LINESTRING (40.9246213 57.7714516, 40.9244543 57.7714199, 40.9233514 57.7711754, 40.9231802 57.7711374)"
196279407,1,улица Симановского,tertiary,,True,False,80.902,"LINESTRING (40.9252848 57.7708094, 40.9252097 57.7710226, 40.9249911 57.7714344, 40.9249487 57.7715139)"
560342109,2,улица Симановского,tertiary,,True,False,81.533,"LINESTRING (40.9252848 57.7708094, 40.9250283 57.7710586, 40.924854 57.771228, 40.9247023 57.7713754, 40.9246213 57.7714516)"
825850207,2,улица Князева,secondary,60,False,False,18.11,"LINESTRING (40.933198 57.7707405, 40.9330973 57.7707984, 40.9329903 57.7708599)"
186454783,2,проспект Мира,tertiary,,True,False,232.706,"LINESTRING (40.9329903 57.7708599, 40.9328476 57.7707927, 40.931751 57.7702813, 40.93125 57.7700515, 40.9312072 57.7700315, 40.9300329 57.7694844)"
186454784,2,улица Князева,secondary,60,False,False,148.891,"LINESTRING (40.9329903 57.7708599, 40.9329191 57.7708995, 40.932593 57.7710998, 40.9322026 57.7713389, 40.9321403 57.7713774, 40.9319623 57.7714873, 40.9313482 57.7718727)"
825850207,2,улица Князева,secondary,60,False,True,18.11,"LINESTRING (40.9329903 57.7708599, 40.9330973 57.7707984, 40.933198 57.7707405)"
46618558,2,улица Князева,secondary,60,True,False,159.00500000000002,"LINESTRING (40.934977 57.7696709, 40.934543 57.7699273, 40.9344423 57.7699867, 40.9341067 57.7701849, 40.9338595 57.770331, 40.9337139 57.770417, 40.9332596 57.770706, 40.933198 57.7707405)"
183728756,2,Пятницкая улица,secondary,60,False,False,155.26399999999998,"LINESTRING (40.92735 57.7720698, 40.9271907 57.7720339, 40.9261774 57.7718058, 40.9260004 57.771766, 40.9255399 57.7716577, 40.925011 57.7715254, 40.9249487 57.7715139)"
56220783,,Маслянные ряды,residential,,True,False,236.554,"LINESTRING (40.9271226 57.7658241, 40.9273544 57.7657993, 40.9276586 57.76578, 40.9283908 57.7657336, 40.9286939 57.7657136, 40.9295314 57.7656585, 40.9309062 57.7655782, 40.9309652 57.7655748, 40.9310746 57.7655531)"
415762140,,Табачные ряды,residential,,False,False,95.60399999999998,"LINESTRING (40.9271226 57.7658241, 40.9274344 57.7659584, 40.9282359 57.7663035, 40.9283721 57.7663672)"
185965894,,улица Чайковского,secondary,,False,True,210.01299999999998,"LINESTRING (40.9310746 57.7655531, 40.9310222 57.7654229, 40.9309746 57.7652708, 40.9307519 57.7645597, 40.9306644 57.7642789, 40.9305706 57.7639557, 40.9305035 57.7637245, 40.9304935 57.7636902)"
378605445,,улица Чайковского,secondary,,False,False,18.033,"LINESTRING (40.9310746 57.7655531, 40.9310946 57.7655962, 40.9311562 57.7657093)"
347644321,,,residential,,False,False,192.965,"LINESTRING (40.9210528 57.7675602, 40.9211057 57.7675427, 40.9212449 57.7674966, 40.9216705 57.7672347, 40.9219538 57.7670851, 40.9221349 57.7669895, 40.922459 57.7667897, 40.9228819 57.766587, 40.9229808 57.7665396, 40.923213 57.7664341, 40.9233185 57.766381, 40.9233747 57.7663527)"
1225198573,2,Пятницкая улица,secondary,60,False,False,20.614,"LINESTRING (40.9249487 57.7715139, 40.9246213 57.7714516)"
183728756,2,Пятницкая улица,secondary,60,False,True,155.264,"LINESTRING (40.9249487 57.7715139, 40.925011 57.7715254, 40.9255399 57.7716577, 40.9260004 57.771766, 40.9261774 57.7718058, 40.9271907 57.7720339, 40.92735 57.7720698)"
335582942,,улица Молочная Гора,residential,,True,False,180.46800000000002,"LINESTRING (40.9233747 57.7663527, 40.9228115 57.7660619, 40.9211882 57.765224)"
347644321,,,residential,,False,True,192.965,"LINESTRING (40.9233747 57.7663527, 40.9233185 57.766381, 40.923213 57.7664341, 40.9229808 57.7665396, 40.9228819 57.766587, 40.922459 57.7667897, 40.9221349 57.7669895, 40.9219538 57.7670851, 40.9216705 57.7672347, 40.9212449 57.7674966, 40.9211057 57.7675427, 40.9210528 57.7675602)"
"[1161667784, 1161667785, 1161667786, 1163537637]",2,Пятницкая улица,secondary,60,False,False,93.08300000000001,"LINESTRING (40.9231802 57.7711374, 40.9228434 57.7710675, 40.922652 57.7710278, 40.9221167 57.7709173, 40.9218555 57.7708618, 40.9217212 57.770829)"
"[1216163736, 184719586]",2,Пятницкая улица,secondary,60,False,True,92.336,"LINESTRING (40.9231802 57.7711374, 40.9233514 57.7711754, 40.9244543 57.7714199, 40.9246213 57.7714516)"
348892674,,Пряничные ряды,residential,,False,True,190.81099999999998,"LINESTRING (40.9258654 57.7649833, 40.9256246 57.7651486, 40.9249268 57.7655844, 40.9243171 57.7659829, 40.9238689 57.7662789, 40.9238178 57.7663064)"
41397889,,улица Молочная Гора,residential,,True,False,81.673,"LINESTRING (40.9238178 57.7663064, 40.9241954 57.7664976, 40.924312 57.7665352, 40.9244534 57.7665414, 40.9246222 57.7664743, 40.9249796 57.766428)"
