osmid,name,highway,oneway,reversed,length,geometry,maxspeed,bridge,access
164100386,улица Ленина,tertiary,False,True,211.81900000000002,"LINESTRING (52.2414054 59.339892, 52.2415237 59.3398141, 52.2418375 59.3395758, 52.2421475 59.339359, 52.2425696 59.3391233, 52.2437611 59.3384168)",,,
170005646,улица Кирова,tertiary,False,False,152.24099999999999,"LINESTRING (52.2414054 59.339892, 52.2420804 59.3401403, 52.2426926 59.3403772, 52.2430333 59.3405102, 52.2435582 59.34071)",,,
170005647,улица Ленина,secondary,False,False,158.131,"LINESTRING (52.2414054 59.339892, 52.2409471 59.340221, 52.2405824 59.3404616, 52.2401925 59.3407289, 52.2397538 59.3410377)",,,
268044022,улица Кирова,secondary,False,True,114.464,"LINESTRING (52.2414054 59.339892, 52.2405746 59.3395862, 52.2399493 59.3393564, 52.2397762 59.3392845)",40,,
51137105,улица Пушкина,residential,False,True,164.656,"LINESTRING (52.2435582 59.34071, 52.2427342 59.3413234, 52.24193 59.3419361)",,,
170005646,улица Кирова,tertiary,False,True,152.24099999999999,"LINESTRING (52.2435582 59.34071, 52.2430333 59.3405102, 52.2426926 59.3403772, 52.2420804 59.3401403, 52.2414054 59.339892)",,,
48633028,улица Карла Маркса,tertiary,False,True,159.667,"LINESTRING (52.2381074 59.3421488, 52.2380019 59.3421049, 52.2376996 59.3419792, 52.2366043 59.3415159, 52.2359115 59.3412504)",,,
170005647,улица Ленина,secondary,False,False,147.799,"LINESTRING (52.2381074 59.3421488, 52.2377544 59.3423728, 52.2368788 59.3429778, 52.2366487 59.3431467, 52.2365544 59.3432159)",,,
170005647,улица Ленина,secondary,False,True,154.878,"LINESTRING (52.2381074 59.3421488, 52.2383842 59.3419779, 52.2397538 59.3410377)",,,
170005647,улица Ленина,secondary,False,False,148.314,"LINESTRING (52.2365544 59.3432159, 52.2349584 59.3442727)",,,
"[215978333, 48633574]",Петровская улица,"['residential', 'tertiary']",False,False,166.966,"LINESTRING (52.2365544 59.3432159, 52.2370926 59.3434222, 52.2373271 59.3435156, 52.2388829 59.3441351)",,,
48633574,Петровская улица,tertiary,False,True,160.37199999999999,"LINESTRING (52.2365544 59.3432159, 52.2357763 59.3428942, 52.2355625 59.3428076, 52.2349056 59.3425508, 52.2343326 59.3423235)",,,
170005647,улица Ленина,secondary,False,True,147.799,"LINESTRING (52.2365544 59.3432159, 52.2366487 59.3431467, 52.2368788 59.3429778, 52.2377544 59.3423728, 52.2381074 59.3421488)",,,
170005647,улица Ленина,secondary,False,False,154.878,"LINESTRING (52.2397538 59.3410377, 52.2383842 59.3419779, 52.2381074 59.3421488)",,,
170005647,улица Ленина,secondary,False,True,158.131,"LINESTRING (52.2397538 59.3410377, 52.2401925 59.3407289, 52.2405824 59.3404616, 52.2409471 59.340221, 52.2414054 59.339892)",,,
206114112,Милицейская улица,residential,False,True,158.761,"LINESTRING (52.2397538 59.3410377, 52.2398248 59.341067, 52.24193 59.3419361)",,,
