osmid,oneway,lanes,highway,reversed,length,geometry,name,tunnel
37958061,True,1,secondary_link,False,101.497,"LINESTRING (49.6677403 58.6062114, 49.6677869 58.6057042, 49.6678214 58.6052996)",,
40622675,False,4,secondary,False,120.19399999999999,"LINESTRING (49.6677403 58.6062114, 49.6680376 58.6059234, 49.6683834 58.6056554, 49.6689033 58.6053201)",улица Карла Маркса,
1172382262,False,4,secondary,True,70.09,"LINESTRING (49.6677403 58.6062114, 49.6677203 58.6067219, 49.6677154 58.6068416)",улица Карла Маркса,
"[45728131, 120878620]",False,,secondary,False,215.60999999999999,"LINESTRING (49.6691538 58.6035888, 49.66915 58.6035584, 49.6691451 58.6035187, 49.6691268 58.6034684, 49.6691019 58.603428, 49.6690746 58.6033972, 49.66901 58.6033447, 49.6689378 58.6032982, 49.6687946 58.6032166, 49.6681665 58.6029307, 49.668123 58.6029045, 49.6680871 58.6028708, 49.6680663 58.6028144, 49.6681041 58.6019809, 49.6681091 58.6018713)",улица Карла Маркса,
"[173217476, 120878620]",False,,secondary,True,194.51499999999996,"LINESTRING (49.6691538 58.6035888, 49.6691507 58.6036707, 49.6691131 58.6043985, 49.6690452 58.6050941, 49.6690387 58.6051194, 49.6690387 58.6051786, 49.6689967 58.6052215, 49.6689033 58.6053201)",улица Карла Маркса,
62332697,True,2,residential,False,181.18200000000002,"LINESTRING (49.6722774 58.6036612, 49.6721131 58.6036583, 49.6711811 58.603641, 49.670073 58.6036266, 49.6694115 58.6036042, 49.6691538 58.6035888)",Московская улица,
68241310,False,,residential,False,188.82100000000003,"LINESTRING (49.6722774 58.6036612, 49.6722776 58.6035467, 49.672314 58.603161, 49.6723397 58.6028883, 49.6723926 58.6023266, 49.6724268 58.601965)",улица Володарского,
68241310,False,,residential,True,191.018,"LINESTRING (49.6722774 58.6036612, 49.6722635 58.6037422, 49.6722012 58.6045542, 49.6721587 58.6051072, 49.6721418 58.6053775)",улица Володарского,
40622668,False,,secondary,False,59.049,"LINESTRING (49.6620219 58.6034444, 49.6619912 58.6039752)",улица Дерендяева,
46108187,False,,residential,True,187.14700000000002,"LINESTRING (49.6620219 58.6034444, 49.6620279 58.603374, 49.6620625 58.6029602, 49.6620805 58.6026878, 49.6620874 58.6026149, 49.6621082 58.6023181, 49.662144 58.6018057, 49.6621432 58.6017626)",улица Дерендяева,
40622668,False,,secondary,True,59.049,"LINESTRING (49.6619912 58.6039752, 49.6620219 58.6034444)",улица Дерендяева,
40622668,False,,secondary,False,133.221,"LINESTRING (49.6619912 58.6039752, 49.6619819 58.6040683, 49.6619596 58.6042914, 49.6619489 58.6044025, 49.6619158 58.6047443, 49.6619073 58.6050634, 49.6618905 58.6051719)",улица Дерендяева,
172299473,False,4,residential,False,171.103,"LINESTRING (49.6619912 58.6039752, 49.6621353 58.6039766, 49.6628446 58.6039839, 49.6629763 58.6039852, 49.6636111 58.6039917, 49.6648244 58.604004, 49.6649444 58.6040052)",Московская улица,
"[40622672, 737570148]",False,2,secondary,False,187.913,"LINESTRING (49.6689033 58.6053201, 49.6692728 58.6053207, 49.6699738 58.6053279, 49.6705459 58.6053359, 49.6712329 58.6053489, 49.671914 58.6053532, 49.6721418 58.6053775)",Преображенская улица,
40622675,False,4,secondary,True,120.19399999999999,"LINESTRING (49.6689033 58.6053201, 49.6683834 58.6056554, 49.6680376 58.6059234, 49.6677403 58.6062114)",улица Карла Маркса,
"[173217476, 120878620]",False,,secondary,False,194.51500000000001,"LINESTRING (49.6689033 58.6053201, 49.6689967 58.6052215, 49.6690387 58.6051786, 49.6690387 58.6051194, 49.6690452 58.6050941, 49.6691131 58.6043985, 49.6691507 58.6036707, 49.6691538 58.6035888)",улица Карла Маркса,
"[737570149, 40622671]",False,,secondary,True,62.711,"LINESTRING (49.6689033 58.6053201, 49.6682573 58.6053091, 49.6678214 58.6052996)",Преображенская улица,
"[737570149, 40622671]",False,,secondary,False,62.711,"LINESTRING (49.6678214 58.6052996, 49.6682573 58.6053091, 49.6689033 58.6053201)",Преображенская улица,
737570150,False,2,secondary,True,66.114,"LINESTRING (49.6678214 58.6052996, 49.6675799 58.6052956, 49.667472 58.6052938, 49.6666806 58.6052806)",Преображенская улица,
40622668,False,,secondary,True,133.221,"LINESTRING (49.6618905 58.6051719, 49.6619073 58.6050634, 49.6619158 58.6047443, 49.6619489 58.6044025, 49.6619596 58.6042914, 49.6619819 58.6040683, 49.6619912 58.6039752)",улица Дерендяева,
"[737570155, 737570156, 737570157, 40622669, 737570158, 737570159]",False,,secondary,False,173.851,"LINESTRING (49.6618905 58.6051719, 49.6628027 58.60519, 49.6629341 58.6051896, 49.663476 58.6052015, 49.6638401 58.6052103, 49.6640105 58.605217, 49.6647643 58.6052364, 49.6648887 58.6052398)",Преображенская улица,
