osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry
132310831,,Воскресенская улица,residential,,True,False,62.413,"LINESTRING (36.2577703 54.5067207, 36.2576925 54.506644, 36.2575675 54.5065129, 36.2573052 54.5062287)"
24663382,3,улица Ленина,secondary,,False,False,235.13100000000003,"LINESTRING (36.25585 54.5076918, 36.255963 54.5077656, 36.2563961 54.5080472, 36.2570669 54.5084727, 36.2577233 54.5088952, 36.257887 54.5089998, 36.2582936 54.5092598)"
24663382,3,улица Ленина,secondary,,False,True,193.91099999999997,"LINESTRING (36.25585 54.5076918, 36.2555486 54.5074995, 36.2553679 54.5073818, 36.254993 54.5071406, 36.2544424 54.5067886, 36.2539801 54.506492, 36.2538348 54.5063987)"
25421719,,улица Карпова,residential,,False,True,164.40800000000002,"LINESTRING (36.25585 54.5076918, 36.2559053 54.5076636, 36.2559588 54.5076364, 36.2567946 54.5072119, 36.2568413 54.5071877, 36.2573023 54.5069562, 36.2574277 54.5068932, 36.257706 54.5067531, 36.2577703 54.5067207)"
217313176,,улица Карпова,residential,,False,False,90.203,"LINESTRING (36.25585 54.5076918, 36.255768 54.5077352, 36.2557094 54.50776, 36.2547778 54.5082117)"
131653097,,улица Карпова,residential,,False,True,123.551,"LINESTRING (36.2530862 54.5090411, 36.253166 54.5090075, 36.254548 54.5083242)"
163921784,,Театральная улица,residential,,False,False,68.657,"LINESTRING (36.2530862 54.5090411, 36.2531747 54.5090837, 36.2534529 54.5092698, 36.2537992 54.5094982)"
170867447,,Театральная улица,residential,,False,True,103.56100000000002,"LINESTRING (36.2530862 54.5090411, 36.2530196 54.5090089, 36.2523915 54.5085935, 36.2521683 54.5084431, 36.2521271 54.5083833, 36.2521197 54.5083181)"
170867447,,Театральная улица,residential,,False,False,103.561,"LINESTRING (36.2521197 54.5083181, 36.2521271 54.5083833, 36.2521683 54.5084431, 36.2523915 54.5085935, 36.2530196 54.5090089, 36.2530862 54.5090411)"
170867448,2,улица Кропоткина,tertiary,,False,False,111.98599999999999,"LINESTRING (36.2521197 54.5083181, 36.2522873 54.5082273, 36.2526235 54.5080357, 36.2532908 54.5076819, 36.2533844 54.507629)"
163921784,,Театральная улица,residential,,False,False,15.703,"LINESTRING (36.2540269 54.509652, 36.2541882 54.5097577)"
25421904,,улица Дарвина,residential,,False,False,109.197,"LINESTRING (36.2540269 54.509652, 36.2539417 54.509664, 36.2538575 54.5096722, 36.2533441 54.5097519, 36.2529777 54.5098101, 36.2523909 54.5099006)"
163921784,,Театральная улица,residential,,False,True,22.555,"LINESTRING (36.2540269 54.509652, 36.2539227 54.5095847, 36.2537992 54.5094982)"
138221910,1,улица Достоевского,tertiary,,True,False,220.40099999999998,"LINESTRING (36.2566375 54.5112895, 36.2568185 54.5113053, 36.2570787 54.511263, 36.2573701 54.5112158, 36.2576078 54.5111772, 36.2576969 54.5111628, 36.2579866 54.5111157, 36.2581675 54.5110857, 36.2583236 54.5110633, 36.2585235 54.511028, 36.2586146 54.5110129, 36.2597979 54.5108225, 36.2599302 54.5108002)"
162409192,,Театральная улица,residential,,False,False,146.23199999999997,"LINESTRING (36.2566375 54.5112895, 36.2567174 54.5113718, 36.2567887 54.5115132, 36.2569352 54.5118412, 36.2572336 54.5124931, 36.2572472 54.5125236, 36.2572595 54.5125511)"
163921784,,Театральная улица,residential,,False,True,232.46599999999998,"LINESTRING (36.2566375 54.5112895, 36.2564662 54.5111636, 36.2562736 54.5110447, 36.256019 54.5108876, 36.2547813 54.5101237, 36.2546307 54.5100307, 36.2541882 54.5097577)"
