osmid,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,width,access
171807496,улица Малыгина,residential,False,True,7.65,"LINESTRING (47.5065468 42.9808928, 47.5064719 42.9809344)",,,,
435775824,улица Малыгина,residential,True,False,225.119,"LINESTRING (47.5065468 42.9808928, 47.5076696 42.9803669, 47.507781 42.9802988, 47.5079702 42.9801789, 47.5083616 42.9799077, 47.5084984 42.9797841, 47.508675 42.9796231)",,,,
"[667586602, 489545054]",улица Дахадаева,primary,True,False,116.678,"LINESTRING (47.5065468 42.9808928, 47.506582 42.9809349, 47.506626 42.980975, 47.5070152 42.981347, 47.5074061 42.9817326)",4,60,,
77928391,улица Ахмада Кадырова,secondary,False,False,6.203,"LINESTRING (47.5055708 42.9799953, 47.5055141 42.9800326)",2,50,,
489545054,улица Дахадаева,primary,True,False,127.66099999999999,"LINESTRING (47.5055708 42.9799953, 47.5056689 42.9800652, 47.506063 42.9804159, 47.5064483 42.9807958, 47.5065468 42.9808928)",4,60,,
659000232,улица Ахмада Кадырова,secondary,False,True,223.931,"LINESTRING (47.5055708 42.9799953, 47.5056457 42.9799484, 47.5077438 42.9787592)",2,,,
659000229,улица Дахадаева,primary,True,False,107.425,"LINESTRING (47.5047841 42.9792197, 47.504833 42.9792765, 47.5054924 42.9799243, 47.5055708 42.9799953)",2,60,,
434315677,,residential,False,False,122.337,"LINESTRING (47.5077438 42.9787592, 47.508675 42.9796231)",,,,
659000232,улица Ахмада Кадырова,secondary,False,False,223.931,"LINESTRING (47.5077438 42.9787592, 47.5056457 42.9799484, 47.5055708 42.9799953)",2,,,
434315677,,residential,False,True,122.337,"LINESTRING (47.508675 42.9796231, 47.5077438 42.9787592)",,,,
77909585,улица Максима Горького,residential,False,False,122.362,"LINESTRING (47.508675 42.9796231, 47.5094552 42.9804315, 47.5095504 42.9805177)",,,,
464687796,улица Даниялова,primary,True,False,4.603,"LINESTRING (47.5092384 42.9834721, 47.5091961 42.9834996)",2,,,
170328355,улица Дахадаева,tertiary,True,False,112.65400000000001,"LINESTRING (47.5092384 42.9834721, 47.509318 42.9835355, 47.5096551 42.9838601, 47.5099885 42.9841841, 47.5100874 42.984272)",2,,,
77964125,улица Максима Горького,residential,False,False,108.757,"LINESTRING (47.5094757 42.9809097, 47.5095492 42.9809744, 47.5103246 42.9816653)",,,,
"[668104016, 668104012, 668104013]",проспект Расула Гамзатова,primary,True,False,189.954,"LINESTRING (47.5094757 42.9809097, 47.5082745 42.9815962, 47.5081632 42.981661, 47.507735 42.9818997, 47.5076332 42.9819591)",3,60,9,
77964125,улица Максима Горького,residential,False,True,108.757,"LINESTRING (47.5103246 42.9816653, 47.5095492 42.9809744, 47.5094757 42.9809097)",,,,
"[664496763, 464687798]",улица Оскара,residential,False,True,189.565,"LINESTRING (47.5103246 42.9816653, 47.5087561 42.98254, 47.5085668 42.9826617, 47.5085439 42.9826703, 47.5084817 42.9827075)",,,,
78028942,улица Готфрида Гасанова,tertiary,True,False,32.823,"LINESTRING (47.50939 42.9848346, 47.5095506 42.9851054)",2,60,,
84866237,улица Буйнакского,tertiary,False,False,78.035,"LINESTRING (47.50939 42.9848346, 47.5094196 42.9847521, 47.5094805 42.9846725, 47.5095874 42.9846023, 47.5097858 42.9844838, 47.509893 42.984412, 47.5100193 42.9843256)",4,,,
