osmid,oneway,highway,reversed,length,geometry,ref,junction,maxspeed,name
26364978,True,trunk_link,False,420.515,"LINESTRING (86.3672563 54.4944195, 86.3666836 54.4947076, 86.3664942 54.49483, 86.3663068 54.4950006, 86.366194 54.4951675, 86.3661131 54.4953171, 86.3660599 54.4954655, 86.366062 54.4955607, 86.3660705 54.4956349, 86.3661557 54.4959044, 86.3663302 54.4962976, 86.3664942 54.4966623, 86.366756 54.4972495, 86.3669455 54.4976204, 86.3671033 54.4978713)",,,,
26430004,True,trunk,False,29.119999999999997,"LINESTRING (86.3671871 54.4979688, 86.3672386 54.4980101, 86.3672805 54.4980613, 86.3673299 54.4981271, 86.3673686 54.4982064)",32К-2,roundabout,,
26430004,True,trunk,False,49.501999999999995,"LINESTRING (86.3670644 54.4987093, 86.3669322 54.4987669, 86.3668123 54.4988012, 86.3667224 54.4988223, 86.3666227 54.498836, 86.3665482 54.4988418, 86.3664804 54.4988433, 86.3663554 54.4988388)",32К-2,roundabout,,
611699106,True,tertiary,False,53.278999999999996,"LINESTRING (86.3670644 54.4987093, 86.3669753 54.4988221, 86.3669157 54.498921, 86.3668901 54.4990001, 86.3668859 54.499057, 86.366871 54.4991695)",32К-2,,60,
26430004,True,trunk,False,43.153000000000006,"LINESTRING (86.3663554 54.4988388, 86.3662371 54.4988254, 86.366133 54.4988071, 86.3660311 54.4987783, 86.3659291 54.498734, 86.3658649 54.4986958, 86.3657969 54.4986483)",32К-2,roundabout,,
611699103,True,unclassified,False,41.058,"LINESTRING (86.3663554 54.4988388, 86.3661403 54.4988552, 86.3660237 54.4988699, 86.3659359 54.4988905, 86.3657489 54.4989391)",,,,
26430004,True,trunk,False,17.97,"LINESTRING (86.3656886 54.4981027, 86.3657527 54.498031, 86.3658354 54.497966)",32К-2,roundabout,,
26430004,True,trunk,False,36.544,"LINESTRING (86.3667075 54.4977991, 86.3668661 54.4978386, 86.3669716 54.4978702, 86.3670711 54.497911, 86.3671871 54.4979688)",32К-2,roundabout,,
611699107,True,tertiary,False,26.895000000000003,"LINESTRING (86.3667075 54.4977991, 86.3668594 54.4978176, 86.3669772 54.4978391, 86.3670434 54.4978572, 86.3671033 54.4978713)",,,,
26430004,True,trunk,False,63.673,"LINESTRING (86.3657969 54.4986483, 86.3657158 54.4985714, 86.3656712 54.4985185, 86.3656457 54.4984606, 86.3656301 54.4983837, 86.3656192 54.4982884, 86.365639 54.4981937, 86.3656886 54.4981027)",32К-2,roundabout,,
26430004,True,trunk,False,61.80499999999999,"LINESTRING (86.3673686 54.4982064, 86.3673841 54.4982973, 86.3673717 54.4983884, 86.3673315 54.4984767, 86.3672651 54.4985595, 86.3671722 54.4986415, 86.3670644 54.4987093)",32К-2,roundabout,,
36250891,True,tertiary,False,51.507999999999996,"LINESTRING (86.3679027 54.4978779, 86.3677151 54.4979534, 86.3676205 54.4979917, 86.3675377 54.4980319, 86.3674667 54.4980879, 86.3673686 54.4982064)",,,,
61052774,False,tertiary,False,132.369,"LINESTRING (86.3679027 54.4978779, 86.3687486 54.497571, 86.3688593 54.497524, 86.3689795 54.497451, 86.369388 54.4970917)",,,,улица Блюхера
734776247,False,residential,True,21.703,"LINESTRING (86.3768234 54.4989932, 86.377156 54.4989651)",,,,Шоссейная улица
122494918,False,residential,False,41.326,"LINESTRING (86.3768234 54.4989932, 86.376808 54.4990551, 86.3767731 54.4991174, 86.3767168 54.4991859, 86.3766524 54.4992389, 86.3765431 54.4993198)",,,,улица 60 лет Комсомола
"[1102529107, 122494918]",False,residential,True,439.214,"LINESTRING (86.3768234 54.4989932, 86.3768185 54.4989335, 86.3767905 54.4988647, 86.3767384 54.4987928, 86.376627 54.4986858, 86.3757853 54.4981606, 86.3748208 54.4975946, 86.3743358 54.4973046, 86.3741147 54.4971657, 86.3738335 54.4969917, 86.3735408 54.4968106, 86.3734139 54.4967382, 86.3728073 54.4963919, 86.3722855 54.496094)",,,,улица 60 лет Комсомола
61052774,False,tertiary,True,26.833,"LINESTRING (86.3722855 54.496094, 86.3718785 54.4961426)",,,,улица Блюхера
"[1102529107, 122494918]",False,residential,False,439.214,"LINESTRING (86.3722855 54.496094, 86.3728073 54.4963919, 86.3734139 54.4967382, 86.3735408 54.4968106, 86.3738335 54.4969917, 86.3741147 54.4971657, 86.3743358 54.4973046, 86.3748208 54.4975946, 86.3757853 54.4981606, 86.376627 54.4986858, 86.3767384 54.4987928, 86.3767905 54.4988647, 86.3768185 54.4989335, 86.3768234 54.4989932)",,,,улица 60 лет Комсомола
61052774,False,tertiary,False,160.649,"LINESTRING (86.369388 54.4970917, 86.3695332 54.4969741, 86.3696202 54.4969171, 86.369763 54.4968485, 86.3703943 54.4965653, 86.3711348 54.4962854, 86.3713624 54.4962397)",,,,улица Блюхера
61052774,False,tertiary,True,132.369,"LINESTRING (86.369388 54.4970917, 86.3689795 54.497451, 86.3688593 54.497524, 86.3687486 54.497571, 86.3679027 54.4978779)",,,,улица Блюхера
108401131,False,residential,True,42.972,"LINESTRING (86.369388 54.4970917, 86.3695549 54.4971402, 86.3696117 54.4971527, 86.3698767 54.4972112, 86.3699821 54.4972598)",,,,
61052774,False,tertiary,False,26.833,"LINESTRING (86.3718785 54.4961426, 86.3722855 54.496094)",,,,улица Блюхера
61052774,False,tertiary,True,35.054,"LINESTRING (86.3718785 54.4961426, 86.371746 54.4961626, 86.3713624 54.4962397)",,,,улица Блюхера
108401126,False,residential,False,177.631,"LINESTRING (86.3718785 54.4961426, 86.3718984 54.4961976, 86.3718624 54.4962394, 86.3715311 54.4964192, 86.3699821 54.4972598)",,,,Светлая улица
108401126,False,residential,True,177.631,"LINESTRING (86.3699821 54.4972598, 86.3715311 54.4964192, 86.3718624 54.4962394, 86.3718984 54.4961976, 86.3718785 54.4961426)",,,,Светлая улица
108401131,False,residential,False,42.971999999999994,"LINESTRING (86.3699821 54.4972598, 86.3698767 54.4972112, 86.3696117 54.4971527, 86.3695549 54.4971402, 86.369388 54.4970917)",,,,
109217200,False,residential,True,72.192,"LINESTRING (86.3695119 54.494878, 86.3702256 54.4953777)",,,,
109217200,False,residential,False,549.076,"LINESTRING (86.3695119 54.494878, 86.3691307 54.4948497, 86.366931 54.4952244, 86.3666671 54.4953096, 86.3665595 54.4954685, 86.3665889 54.4957013, 86.3666378 54.4959398, 86.3667551 54.4961215, 86.3669408 54.4962123, 86.3671461 54.4962407, 86.3673311 54.4962339, 86.3706557 54.4957183)",,,,
109217200,False,residential,False,73.784,"LINESTRING (86.3713624 54.4962397, 86.3706557 54.4957183)",,,,
61052774,False,tertiary,False,35.054,"LINESTRING (86.3713624 54.4962397, 86.371746 54.4961626, 86.3718785 54.4961426)",,,,улица Блюхера
61052774,False,tertiary,True,160.649,"LINESTRING (86.3713624 54.4962397, 86.3711348 54.4962854, 86.3703943 54.4965653, 86.369763 54.4968485, 86.3696202 54.4969171, 86.3695332 54.4969741, 86.369388 54.4970917)",,,,улица Блюхера
109217200,False,residential,False,72.192,"LINESTRING (86.3702256 54.4953777, 86.3695119 54.494878)",,,,
109217200,False,residential,True,46.966,"LINESTRING (86.3702256 54.4953777, 86.3706557 54.4957183)",,,,
734776247,False,residential,False,21.703,"LINESTRING (86.377156 54.4989651, 86.3768234 54.4989932)",,,,Шоссейная улица
734776247,False,residential,True,105.073,"LINESTRING (86.377156 54.4989651, 86.3783496 54.4984107, 86.3784353 54.4983822)",,,,Шоссейная улица
109217200,False,residential,False,46.966,"LINESTRING (86.3706557 54.4957183, 86.3702256 54.4953777)",,,,
109217200,False,residential,True,73.784,"LINESTRING (86.3706557 54.4957183, 86.3713624 54.4962397)",,,,
109217200,False,residential,True,549.076,"LINESTRING (86.3706557 54.4957183, 86.3673311 54.4962339, 86.3671461 54.4962407, 86.3669408 54.4962123, 86.3667551 54.4961215, 86.3666378 54.4959398, 86.3665889 54.4957013, 86.3665595 54.4954685, 86.3666671 54.4953096, 86.366931 54.4952244, 86.3691307 54.4948497, 86.3695119 54.494878)",,,,
36250892,False,tertiary,True,180.953,"LINESTRING (86.3676213 54.5007368, 86.3671563 54.4998472, 86.367122 54.4997622, 86.366871 54.4991695)",32К-2,,60,
610110884,False,unclassified,False,158.225,"LINESTRING (86.3676213 54.5007368, 86.3674564 54.5007598, 86.3652651 54.5011273)",,,,
610110884,False,unclassified,True,158.225,"LINESTRING (86.3652651 54.5011273, 86.3674564 54.5007598, 86.3676213 54.5007368)",,,,
611699102,True,unclassified,False,34.068999999999996,"LINESTRING (86.3657489 54.4989391, 86.3657889 54.4989062, 86.3658159 54.4988729, 86.3658396 54.4988189, 86.3658396 54.4987728, 86.3658294 54.4987129, 86.3657969 54.4986483)",,,,
36250892,False,tertiary,False,180.953,"LINESTRING (86.366871 54.4991695, 86.367122 54.4997622, 86.3671563 54.4998472, 86.3676213 54.5007368)",32К-2,,60,
611699104,True,tertiary,False,50.50099999999999,"LINESTRING (86.366871 54.4991695, 86.366822 54.4991015, 86.3666836 54.4989977, 86.3665346 54.4989124, 86.3664597 54.4988772, 86.3663554 54.4988388)",32К-2,,60,
26364978,True,trunk_link,False,12.117,"LINESTRING (86.3671033 54.4978713, 86.3671871 54.4979688)",,,,
611699107,True,tertiary,False,53.096999999999994,"LINESTRING (86.3671033 54.4978713, 86.3671998 54.4978946, 86.3672669 54.4979073, 86.3673482 54.4979175, 86.3674528 54.4979253, 86.3675681 54.4979211, 86.3676982 54.4979063, 86.3677945 54.4978955, 86.3679027 54.4978779)",,,,
