osmid,oneway,highway,reversed,length,lanes,name,maxspeed,geometry
191017289,False,secondary,True,18.453,,,,"LINESTRING (124.7335025 55.1494905, 124.7334642 55.149655)"
198252382,True,secondary,False,18.302,3,улица Красная Пресня,40,"LINESTRING (124.7335025 55.1494905, 124.7337895 55.1494766)"
173548437,True,secondary_link,False,16.013,,,,"LINESTRING (124.7432681 55.1505521, 124.7431483 55.1506788)"
198252382,True,secondary,False,16.854,3,улица Красная Пресня,40,"LINESTRING (124.7432681 55.1505521, 124.7435041 55.1506213)"
173548435,True,secondary_link,False,15.457,,,,"LINESTRING (124.7453101 55.1514344, 124.745133 55.1515297)"
112137405,False,residential,False,269.26,,Таёжная улица,,"LINESTRING (124.7427092 55.1468337, 124.7426419 55.146976, 124.742578 55.1470647, 124.7424678 55.1472178, 124.7422016 55.1477955, 124.7421666 55.1479137, 124.7420668 55.1483181, 124.7420923 55.1487337, 124.7421102 55.1489251, 124.7421178 55.1490067, 124.7419382 55.1491757)"
112137406,False,tertiary,False,259.40500000000003,2,Верхне-Набережная улица,,"LINESTRING (124.7427092 55.1468337, 124.7425557 55.1468157, 124.7421651 55.1467696, 124.742037 55.1467539, 124.7416777 55.1466981, 124.740682 55.1464771, 124.7392159 55.1460695, 124.7390901 55.1460392, 124.7389193 55.145994)"
112137405,False,residential,True,269.26000000000005,,Таёжная улица,,"LINESTRING (124.7419382 55.1491757, 124.7421178 55.1490067, 124.7421102 55.1489251, 124.7420923 55.1487337, 124.7420668 55.1483181, 124.7421666 55.1479137, 124.7422016 55.1477955, 124.7424678 55.1472178, 124.742578 55.1470647, 124.7426419 55.146976, 124.7427092 55.1468337)"
112137406,False,tertiary,False,12.799,2,Верхне-Набережная улица,,"LINESTRING (124.7389193 55.145994, 124.7387397 55.1459419)"
117603422,True,tertiary,False,22.036,2,Профсоюзная улица,,"LINESTRING (124.7389193 55.145994, 124.7387987 55.1461798)"
112137406,False,tertiary,True,259.405,2,Верхне-Набережная улица,,"LINESTRING (124.7389193 55.145994, 124.7390901 55.1460392, 124.7392159 55.1460695, 124.740682 55.1464771, 124.7416777 55.1466981, 124.742037 55.1467539, 124.7421651 55.1467696, 124.7425557 55.1468157, 124.7427092 55.1468337)"
112549975,True,secondary,False,141.891,3,улица Красная Пресня,40,"LINESTRING (124.745133 55.1515297, 124.7448218 55.1513501, 124.744526 55.1511813, 124.7444547 55.1511521, 124.743777 55.1508768, 124.7433836 55.1507478)"
118686827,True,tertiary,False,16.021,,,,"LINESTRING (124.73197 55.1527252, 124.7317332 55.1526757)"
112286362,False,secondary,False,18.184,,,,"LINESTRING (124.7337895 55.1494766, 124.7337742 55.1496399)"
198252382,True,secondary,False,182.536,3,улица Красная Пресня,40,"LINESTRING (124.7337895 55.1494766, 124.7339671 55.1494648, 124.7353681 55.149335, 124.7359686 55.1492977, 124.736639 55.1492886)"
173881077,False,tertiary_link,False,16.465,,,,"LINESTRING (124.7335362 55.1500874, 124.7332907 55.15004)"
191017288,True,tertiary,False,52.55,2,Школьная улица,40,"LINESTRING (124.7335362 55.1500874, 124.7332708 55.150535)"
112325683,False,residential,False,354.35400000000004,,Спортивная улица,,"LINESTRING (124.7310964 55.1483091, 124.7316293 55.1473899, 124.7317019 55.1472648, 124.7318136 55.1470721, 124.7320229 55.1467111, 124.7321624 55.1464509, 124.732214 55.1463382, 124.7324715 55.1458207, 124.732507 55.1457493, 124.7326258 55.1455402, 124.7326492 55.1452579)"
112137406,False,tertiary,True,398.98599999999993,2,Верхне-Набережная улица,,"LINESTRING (124.7326492 55.1452579, 124.7328459 55.1452708, 124.7343783 55.1453712, 124.7346011 55.1453814, 124.7359023 55.1454413, 124.7371356 55.1455307, 124.7378747 55.145669, 124.7382308 55.1457743, 124.7387397 55.1459419)"
112325683,False,residential,True,354.35400000000004,,Спортивная улица,,"LINESTRING (124.7326492 55.1452579, 124.7326258 55.1455402, 124.732507 55.1457493, 124.7324715 55.1458207, 124.732214 55.1463382, 124.7321624 55.1464509, 124.7320229 55.1467111, 124.7318136 55.1470721, 124.7317019 55.1472648, 124.7316293 55.1473899, 124.7310964 55.1483091)"
