osmid,lanes,highway,maxspeed,oneway,reversed,length,geometry,ref,name
28844557,1,residential,RU:urban,False,False,51.425,"LINESTRING (30.9831549 59.8812592, 30.9834106 59.8812085, 30.983451 59.8812011, 30.9840174 59.8810963)",,
43599106,2,primary,RU:urban,False,True,135.119,"LINESTRING (30.9831549 59.8812592, 30.9826472 59.8804142, 30.9824537 59.8800961)",41К-121,Набережная улица
"[265230521, 153317003]",2,primary,RU:urban,False,False,119.57300000000001,"LINESTRING (30.9831549 59.8812592, 30.9833724 59.8815839, 30.9837698 59.8821809, 30.9838431 59.8822775)",41К-121,Набережная улица
33814810,1,residential,RU:urban,False,False,124.915,"LINESTRING (30.99058 59.8787293, 30.9906722 59.8787355, 30.9927989 59.8788779)",,улица Льва Толстого
"[43586829, 43586830]",2,tertiary,RU:urban,False,False,239.32600000000002,"LINESTRING (30.99058 59.8787293, 30.9903906 59.8795053, 30.9903562 59.8796462, 30.9903448 59.8797268, 30.9903391 59.8797879, 30.9903306 59.8798934, 30.9903389 59.8799974, 30.9903614 59.8801038, 30.9904485 59.8802795, 30.990557 59.8804263, 30.9907627 59.8806699, 30.9907821 59.8806917, 30.9908094 59.8807218, 30.9909005 59.8808227)",,Краснофлотская улица
43586829,2,tertiary,RU:urban,False,True,176.889,"LINESTRING (30.99058 59.8787293, 30.9905937 59.8786734, 30.9906251 59.8785451, 30.990627 59.8785372, 30.9906787 59.8783304, 30.9908429 59.8776732, 30.9909733 59.8771508)",,Краснофлотская улица
33814827,1,residential,RU:urban,False,False,90.968,"LINESTRING (30.9927989 59.8788779, 30.9926155 59.8796908)",,улица Некрасова
33814827,1,residential,RU:urban,False,True,176.787,"LINESTRING (30.9927989 59.8788779, 30.993169 59.8772989)",,улица Некрасова
33814810,1,residential,RU:urban,False,True,124.915,"LINESTRING (30.9927989 59.8788779, 30.9906722 59.8787355, 30.99058 59.8787293)",,улица Льва Толстого
33814827,1,residential,RU:urban,False,False,176.787,"LINESTRING (30.993169 59.8772989, 30.9927989 59.8788779)",,улица Некрасова
33814820,1,residential,RU:urban,False,True,123.63,"LINESTRING (30.993169 59.8772989, 30.9911013 59.8771594, 30.9909733 59.8771508)",,улица Пушкина
614894827,,living_street,,True,False,61.42,"LINESTRING (30.9845707 59.8797726, 30.9835268 59.8799478)",,
786204851,,living_street,,True,False,36.003,"LINESTRING (30.9845707 59.8797726, 30.984955 59.8797081, 30.9850636 59.8796967, 30.9851924 59.8796927)",,Пионерская улица
33814820,1,residential,RU:urban,False,False,123.63,"LINESTRING (30.9909733 59.8771508, 30.9911013 59.8771594, 30.993169 59.8772989)",,улица Пушкина
43586829,2,tertiary,RU:urban,False,False,176.889,"LINESTRING (30.9909733 59.8771508, 30.9908429 59.8776732, 30.9906787 59.8783304, 30.990627 59.8785372, 30.9906251 59.8785451, 30.9905937 59.8786734, 30.99058 59.8787293)",,Краснофлотская улица
38136654,4,tertiary,RU:urban,False,True,155.187,"LINESTRING (30.9909005 59.8808227, 30.9907988 59.8808437, 30.990589 59.8808871, 30.9903167 59.8809434, 30.9902223 59.8809629, 30.9896318 59.8810851, 30.9893687 59.8811396, 30.9892671 59.8811603, 30.9888927 59.8812379, 30.9883292 59.8813547)",,Новая улица
"[43586829, 43586830]",2,tertiary,RU:urban,False,True,239.32599999999996,"LINESTRING (30.9909005 59.8808227, 30.9908094 59.8807218, 30.9907821 59.8806917, 30.9907627 59.8806699, 30.990557 59.8804263, 30.9904485 59.8802795, 30.9903614 59.8801038, 30.9903389 59.8799974, 30.9903306 59.8798934, 30.9903391 59.8797879, 30.9903448 59.8797268, 30.9903562 59.8796462, 30.9903906 59.8795053, 30.99058 59.8787293)",,Краснофлотская улица
43710481,1,residential,RU:urban,False,True,239.26600000000002,"LINESTRING (30.9922108 59.885628, 30.9920853 59.885475, 30.9919112 59.8852635, 30.9918644 59.8852067, 30.991507 59.8847584, 30.9913628 59.8845692, 30.9912701 59.8844477, 30.9912027 59.8843731, 30.9911886 59.8843564, 30.9911042 59.8842563, 30.9909757 59.8841037, 30.9908624 59.8839761, 30.9905651 59.8836414)",,улица Энергетиков
33814828,1,residential,RU:living_street,True,False,287.68899999999996,"LINESTRING (30.9905651 59.8836414, 30.9904629 59.8835796, 30.9903661 59.883545, 30.9902295 59.8835123, 30.9901217 59.8834745, 30.989775 59.8830646, 30.9897373 59.88302, 30.9895663 59.882821, 30.9895053 59.8827458, 30.9892882 59.8824858, 30.9889394 59.8820359, 30.9888752 59.8819532, 30.9887597 59.8818042, 30.9886296 59.8817091, 30.988418 59.8814594, 30.9883813 59.8814162, 30.9883292 59.8813547)",,улица Энергетиков
43710481,1,residential,RU:urban,False,False,239.266,"LINESTRING (30.9905651 59.8836414, 30.9908624 59.8839761, 30.9909757 59.8841037, 30.9911042 59.8842563, 30.9911886 59.8843564, 30.9912027 59.8843731, 30.9912701 59.8844477, 30.9913628 59.8845692, 30.991507 59.8847584, 30.9918644 59.8852067, 30.9919112 59.8852635, 30.9920853 59.885475, 30.9922108 59.885628)",,улица Энергетиков
265230520,2,unclassified,RU:urban,False,False,30.835,"LINESTRING (30.9833019 59.8823243, 30.9834529 59.8823231, 30.9835915 59.8823138, 30.9838431 59.8822775)",,
38136654,4,tertiary,RU:urban,False,False,270.531,"LINESTRING (30.9838431 59.8822775, 30.9841399 59.8822219, 30.9842162 59.8822057, 30.9853228 59.8819771, 30.9855331 59.8819333, 30.9869777 59.8816339, 30.9879076 59.8814419, 30.9880921 59.8814037, 30.9883292 59.8813547)",,Новая улица
265230520,2,unclassified,RU:urban,False,True,30.835,"LINESTRING (30.9838431 59.8822775, 30.9835915 59.8823138, 30.9834529 59.8823231, 30.9833019 59.8823243)",,
"[265230521, 153317003]",2,primary,RU:urban,False,True,119.57300000000001,"LINESTRING (30.9838431 59.8822775, 30.9837698 59.8821809, 30.9833724 59.8815839, 30.9831549 59.8812592)",41К-121,Набережная улица
