osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,access
"[436612261, 318119909, 318119911, 318119913, 29464689]",2,Варварская улица,secondary,RU:urban,False,False,222.64499999999998,"LINESTRING (44.0069398 56.3260042, 44.0070818 56.325889, 44.0071281 56.325853, 44.0072665 56.3257433, 44.0073706 56.3256597, 44.0073998 56.3256335, 44.008638 56.3245434, 44.0087943 56.3244127, 44.008891 56.3243378, 44.0089076 56.3243259)",
29464691,2,площадь Минина и Пожарского,tertiary,RU:urban,True,False,99.28500000000001,"LINESTRING (44.0069398 56.3260042, 44.0070651 56.32605, 44.0080337 56.3265477, 44.0081428 56.3265961)",
"[40584277, 903155135]",2,площадь Минина и Пожарского,secondary,RU:urban,False,True,106.211,"LINESTRING (44.0069398 56.3260042, 44.006818 56.326102, 44.0063949 56.326471, 44.0062127 56.3266189, 44.0060726 56.3267376, 44.0059748 56.3267938)",
40722315,3,площадь Минина и Пожарского,secondary,RU:urban,True,False,42.386,"LINESTRING (44.0058262 56.3269005, 44.005579 56.3267808, 44.0052821 56.3266686)",
"[24043577, 107950222]",2,площадь Минина и Пожарского,tertiary,RU:urban,True,False,89.26299999999999,"LINESTRING (44.0048 56.326057, 44.0048222 56.3260353, 44.0051237 56.3258843, 44.0054883 56.3258307, 44.005928 56.3258108, 44.0061047 56.3257982)",
29397227,2,Алексеевская улица,residential,,False,False,195.09599999999998,"LINESTRING (44.0061047 56.3257982, 44.0059183 56.325415, 44.0057481 56.3250651, 44.0056883 56.3249422, 44.005649 56.3248671, 44.0054916 56.3245661, 44.0053483 56.3242946, 44.0053347 56.3242679, 44.0052562 56.324108)",
323488993,3,площадь Минина и Пожарского,tertiary,RU:urban,True,False,56.711,"LINESTRING (44.0061047 56.3257982, 44.0063465 56.3258338, 44.006808 56.3259546, 44.0069398 56.3260042)",
24043578,2,площадь Минина и Пожарского,tertiary,RU:urban,True,False,123.819,"LINESTRING (44.0081428 56.3265961, 44.0081103 56.326637, 44.0072913 56.3274592, 44.0072739 56.3274835, 44.0071989 56.3275782)",
24043579,2,улица Ульянова,tertiary,RU:urban,False,False,273.84,"LINESTRING (44.0081428 56.3265961, 44.0081824 56.3265782, 44.0089917 56.3263792, 44.0091743 56.326339, 44.0093051 56.3263043, 44.0094749 56.326264, 44.0102274 56.3260886, 44.0106074 56.326, 44.0111302 56.3258686, 44.0115715 56.3257611, 44.0116677 56.3257376, 44.0119647 56.3256653, 44.0121753 56.3256141, 44.0122072 56.3256061)",
"[24394709, 639926734, 40151542]","['2', '3']",Октябрьская улица,unclassified,,False,False,230.548,"LINESTRING (44.0043383 56.3221651, 44.0045109 56.3221735, 44.0045408 56.3221754, 44.0048131 56.3221938, 44.0049945 56.322202, 44.0054565 56.3222282, 44.0058557 56.3222497, 44.0062568 56.3222713, 44.0072858 56.3223306, 44.0073467 56.3223338, 44.0076105 56.3223525, 44.0078763 56.3223698, 44.0079099 56.3223736, 44.0080564 56.3223821)",
"[685313587, 250282855]",3,Алексеевская улица,tertiary,RU:urban,False,True,91.024,"LINESTRING (44.0043383 56.3221651, 44.0043778 56.3222797, 44.0043949 56.3223156, 44.00441 56.3223496, 44.0044388 56.3224142, 44.0044631 56.3224686, 44.0045951 56.32275, 44.0046416 56.3228491, 44.0046562 56.3228801, 44.0046637 56.3228961, 44.004695 56.3229592)",
24394709,2,Октябрьская улица,unclassified,,False,True,176.60899999999998,"LINESTRING (44.0108971 56.322585, 44.0107836 56.3225765, 44.0101181 56.3225265, 44.0094519 56.3224764, 44.0093087 56.3224674, 44.008906 56.322442, 44.0088341 56.3224375, 44.0082151 56.322393, 44.0080564 56.3223821)",
318119912,2,Варварская улица,secondary,RU:urban,False,True,79.281,"LINESTRING (44.0108971 56.322585, 44.010373 56.3230507, 44.0102191 56.3231908)",
29397788,2,Чернопрудский переулок,residential,,True,False,178.278,"LINESTRING (44.004695 56.3229592, 44.0050237 56.3229932, 44.0051076 56.3230019, 44.0051759 56.3230087, 44.0052485 56.323016, 44.0073831 56.3232203, 44.007543 56.3232357)",
