osmid,lanes,ref,name,highway,maxspeed,width,oneway,reversed,length,geometry
31343036,2,03К-043,улица Ленина,secondary,40,8,False,True,215.868,"LINESTRING (40.6652077 45.4384989, 40.666159 45.4390315, 40.6663807 45.4391501, 40.6670112 45.4394876, 40.6672482 45.4396244, 40.6673771 45.4397033)"
106563536,1,,Комсомольский переулок,residential,60,5,False,False,127.676,"LINESTRING (40.6652077 45.4384989, 40.6652545 45.4384553, 40.6652989 45.438414, 40.6661929 45.4375821)"
106563536,1,,Комсомольский переулок,residential,60,5,False,True,118.755,"LINESTRING (40.6652077 45.4384989, 40.6651277 45.4385781, 40.6643277 45.4393703)"
106563536,1,,Комсомольский переулок,residential,60,5,False,True,88.261,"LINESTRING (40.6668488 45.4369354, 40.6661929 45.4375821)"
106563537,1,,улица Горького,residential,60,5,False,False,226.622,"LINESTRING (40.6668488 45.4369354, 40.6690979 45.438225)"
106563536,1,,Комсомольский переулок,residential,60,5,False,False,110.20500000000001,"LINESTRING (40.6668488 45.4369354, 40.6673695 45.4364424, 40.6676691 45.4361289)"
"[940275008, 106563539, 106563540]",1,,"['улица Горького', 'улица Розы Люксембург']",residential,60,"['4', '5', '6']",False,"[False, True]",871.444,"LINESTRING (40.6668488 45.4369354, 40.6642693 45.4353029, 40.6628941 45.4345603, 40.6633441 45.4341368, 40.6647915 45.4346494, 40.6674344 45.4359117, 40.6676691 45.4361289)"
106563536,1,,Комсомольский переулок,residential,60,5,False,False,47.352,"LINESTRING (40.6676691 45.4361289, 40.6680463 45.4357953)"
106563536,1,,Комсомольский переулок,residential,60,5,False,True,110.20500000000001,"LINESTRING (40.6676691 45.4361289, 40.6673695 45.4364424, 40.6668488 45.4369354)"
"[940275008, 106563539, 106563540]",1,,"['улица Горького', 'улица Розы Люксембург']",residential,60,"['4', '5', '6']",False,"[False, True]",871.444,"LINESTRING (40.6676691 45.4361289, 40.6674344 45.4359117, 40.6647915 45.4346494, 40.6633441 45.4341368, 40.6628941 45.4345603, 40.6642693 45.4353029, 40.6668488 45.4369354)"
106563540,1,,улица Розы Люксембург,residential,60,5,False,False,230.747,"LINESTRING (40.6676691 45.4361289, 40.6691533 45.4369516, 40.6699662 45.4374354)"
