osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,width,geometry,access
1195606171,4,41К-065,Центральная улица,secondary,40,False,True,14.11,,"LINESTRING (30.4464777 60.0439665, 30.4466349 60.0440662)",
186942697,,,Кооперативная улица,residential,RU:urban,False,True,83.47399999999999,6.5,"LINESTRING (30.4464777 60.0439665, 30.4463015 60.0440388, 30.4462759 60.0440493, 30.4461767 60.0440911, 30.4457526 60.0443009, 30.4453844 60.044481)",
"[302050816, 1187629522, 1187629523, 1080027942]",4,41К-065,Центральная улица,secondary,40,False,False,137.652,,"LINESTRING (30.4464777 60.0439665, 30.4461511 60.0437539, 30.4459245 60.0436065, 30.4457291 60.0434913, 30.4456905 60.0434685, 30.4456541 60.0434458, 30.4453969 60.0432855, 30.4451369 60.0431235, 30.4449349 60.0429977)",
31367836,2,,Вокзальная улица,tertiary,RU:urban,False,True,113.99600000000001,6,"LINESTRING (30.4488318 60.0453003, 30.4486193 60.045478, 30.4486037 60.0454931, 30.4484536 60.0456386, 30.4482615 60.0458013, 30.4480725 60.0459638, 30.4477612 60.0461732)",
31377035,4,41К-065,Центральная улица,secondary,40,False,False,82.975,,"LINESTRING (30.4488318 60.0453003, 30.4484335 60.0451573, 30.4480463 60.0449794, 30.4477435 60.0447949)",
507257953,4,41К-065,Центральная улица,secondary,40,False,True,42.277,,"LINESTRING (30.4488318 60.0453003, 30.4491429 60.0453829, 30.4495232 60.0454582)",
31367836,2,,Вокзальная улица,tertiary,RU:urban,False,False,82.40800000000002,6,"LINESTRING (30.4432592 60.049165, 30.4432891 60.0491119, 30.4433519 60.0490527, 30.4434272 60.0490043, 30.4435656 60.0489251, 30.4437144 60.0488399, 30.4440346 60.0486557, 30.4441607 60.0485837)",
142571829,,,проезд Н. Я. Бичурина,residential,20,False,True,120.111,4.5 m,"LINESTRING (30.4432592 60.049165, 30.4431152 60.0491016, 30.4429872 60.0489797, 30.4428457 60.0488355, 30.4424999 60.0484825, 30.4422446 60.0482185)",
146813243,2,41К-065,Центральная улица,secondary,40,False,False,26.837,,"LINESTRING (30.4526893 60.0461327, 30.453137 60.0462237)",
"[1195606168, 4458331, 1195606166, 1195606167]",4,41К-065,Центральная улица,secondary,40,False,False,191.124,,"LINESTRING (30.4526893 60.0461327, 30.4524192 60.046073, 30.452187 60.046023, 30.4515881 60.0458962, 30.4512655 60.0458262, 30.4505432 60.0456711, 30.4500358 60.045563, 30.4496983 60.0454925, 30.4495232 60.0454582)",
238589700,,,Боровая улица,residential,20,False,True,50.959,4.5 m,"LINESTRING (30.4511234 60.0480584, 30.4508507 60.0481722, 30.4504025 60.0483419)",
410277947,2,41К-305,шоссе в Лаврики,tertiary,RU:urban,False,False,170.975,,"LINESTRING (30.4511234 60.0480584, 30.4511305 60.0481885, 30.4512512 60.0487413, 30.4513651 60.0491552, 30.45146 60.0495862)",
431525543,2,41К-305,Английская улица,tertiary,RU:urban,False,True,90.781,,"LINESTRING (30.4511234 60.0480584, 30.4511645 60.0479892, 30.4513247 60.0478031, 30.4515839 60.0475632, 30.4518873 60.0473408)",
"[187235360, 184788831]",,,Кооперативная улица,residential,RU:urban,False,False,193.388,"['4.5', '4.5m']","LINESTRING (30.4420661 60.0439365, 30.4421921 60.0439168, 30.4423053 60.0438614, 30.4423909 60.0438712, 30.4429377 60.0439924, 30.4439823 60.0442013, 30.4443948 60.0443304, 30.4447268 60.044436, 30.4451312 60.0445834)",
1080027943,,,Кооперативная улица,residential,RU:urban,False,False,134.95700000000002,6.5,"LINESTRING (30.4420661 60.0439365, 30.4421098 60.0443107, 30.4421194 60.0443661, 30.4421733 60.0444203, 30.4423584 60.0445449, 30.4426068 60.0446631, 30.4430321 60.044854, 30.4430926 60.0449099, 30.4431136 60.0449559)",
1080027943,,,Кооперативная улица,residential,RU:urban,False,True,77.913,6.5,"LINESTRING (30.4420661 60.0439365, 30.4419298 60.0438578, 30.4410768 60.0436757, 30.4408261 60.0436296)",
"[23163458, 142571829]",,,"['Кооперативная улица', 'проезд Н. Я. Бичурина']",residential,"['20', 'RU:urban']",False,"[False, True]",412.423,4.5 m,"LINESTRING (30.4431136 60.0449559, 30.4427253 60.0449865, 30.4423864 60.0450023, 30.4420493 60.0450144, 30.4419499 60.0450141, 30.4404805 60.0450177, 30.4403966 60.0450396, 30.4403661 60.045073, 30.4403557 60.0451131, 30.4404931 60.0454856, 30.4405598 60.0456561, 30.4409307 60.0463494, 30.4409763 60.0464264, 30.4415123 60.0473023)",
186942697,,,Кооперативная улица,residential,RU:urban,False,False,120.035,6.5,"LINESTRING (30.4431136 60.0449559, 30.4434117 60.0449238, 30.4439209 60.0448566, 30.4442069 60.0448061, 30.4444812 60.0447479, 30.4448648 60.0446551, 30.4451312 60.0445834)",
1080027943,,,Кооперативная улица,residential,RU:urban,False,True,134.95700000000002,6.5,"LINESTRING (30.4431136 60.0449559, 30.4430926 60.0449099, 30.4430321 60.044854, 30.4426068 60.0446631, 30.4423584 60.0445449, 30.4421733 60.0444203, 30.4421194 60.0443661, 30.4421098 60.0443107, 30.4420661 60.0439365)",
186942697,,,Кооперативная улица,residential,RU:urban,False,False,18.186,6.5,"LINESTRING (30.4451312 60.0445834, 30.4452784 60.0445346, 30.4453844 60.044481)",
186942697,,,Кооперативная улица,residential,RU:urban,False,True,120.035,6.5,"LINESTRING (30.4451312 60.0445834, 30.4448648 60.0446551, 30.4444812 60.0447479, 30.4442069 60.0448061, 30.4439209 60.0448566, 30.4434117 60.0449238, 30.4431136 60.0449559)",
"[187235360, 184788831]",,,Кооперативная улица,residential,RU:urban,False,True,193.38799999999998,"['4.5', '4.5m']","LINESTRING (30.4451312 60.0445834, 30.4447268 60.044436, 30.4443948 60.0443304, 30.4439823 60.0442013, 30.4429377 60.0439924, 30.4423909 60.0438712, 30.4423053 60.0438614, 30.4421921 60.0439168, 30.4420661 60.0439365)",
189645272,,,2-я линия,residential,20,False,True,157.757,4.5 m,"LINESTRING (30.4518873 60.0473408, 30.4515656 60.0472825, 30.4507193 60.0471039, 30.4505489 60.0470705, 30.4504582 60.0470463, 30.449691 60.0468411, 30.4493097 60.0467482)",
431525543,2,41К-305,Английская улица,tertiary,RU:urban,False,False,90.78099999999999,,"LINESTRING (30.4518873 60.0473408, 30.4515839 60.0475632, 30.4513247 60.0478031, 30.4511645 60.0479892, 30.4511234 60.0480584)",
431525543,2,41К-305,Английская улица,tertiary,RU:urban,False,True,117.248,,"LINESTRING (30.4518873 60.0473408, 30.4526274 60.0468162, 30.452735 60.0467179, 30.4529522 60.0464374)",
238589701,,,Тихая улица,residential,,False,True,5.583,6.5,"LINESTRING (30.4441607 60.0485837, 30.4442204 60.0486241)",
31367836,2,,Вокзальная улица,tertiary,RU:urban,False,False,237.186,6,"LINESTRING (30.4441607 60.0485837, 30.444302 60.0484925, 30.4446039 60.0482512, 30.4449159 60.0479839, 30.4456375 60.0473501, 30.4458588 60.0471734, 30.446184 60.0470082, 30.4464853 60.0469036, 30.4465842 60.0468518)",
31367836,2,,Вокзальная улица,tertiary,RU:urban,False,True,82.408,6,"LINESTRING (30.4441607 60.0485837, 30.4440346 60.0486557, 30.4437144 60.0488399, 30.4435656 60.0489251, 30.4434272 60.0490043, 30.4433519 60.0490527, 30.4432891 60.0491119, 30.4432592 60.049165)",
431525542,2,41К-065,Центральная улица,secondary,40,False,True,69.032,,"LINESTRING (30.4546185 60.0465296, 30.4545556 60.0465161, 30.4534702 60.0462915)",
507257953,4,41К-065,Центральная улица,secondary,40,False,False,42.277,,"LINESTRING (30.4495232 60.0454582, 30.4491429 60.0453829, 30.4488318 60.0453003)",
"[1195606168, 4458331, 1195606166, 1195606167]",4,41К-065,Центральная улица,secondary,40,False,True,191.124,,"LINESTRING (30.4495232 60.0454582, 30.4496983 60.0454925, 30.4500358 60.045563, 30.4505432 60.0456711, 30.4512655 60.0458262, 30.4515881 60.0458962, 30.452187 60.046023, 30.4524192 60.046073, 30.4526893 60.0461327)",
"[142571811, 934946742]",,,Весёлая улица,living_street,,False,True,249.663,4.5 m,"LINESTRING (30.4447393 60.0463687, 30.4437177 60.0471898, 30.4430536 60.04767, 30.4429033 60.0477971, 30.4427605 60.0479806, 30.4422446 60.0482185)",
