osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge
"[653681753, 653681754, 112602090]",,,,residential,,False,True,89.61599999999999,"LINESTRING (30.5435473 59.5687681, 30.5441863 59.568747, 30.5444129 59.5687429, 30.5451352 59.5687172)",yes
112602147,,,Ленинградская улица,residential,,False,False,7.705,"LINESTRING (30.5471764 59.566996, 30.5472398 59.5669346)",
112602125,,,Пионерская улица,residential,,False,True,37.196,"LINESTRING (30.5471764 59.566996, 30.5470213 59.5669951, 30.5468443 59.5669801, 30.5466834 59.5669435, 30.5465604 59.5669005)",
112602147,,,Ленинградская улица,residential,,False,True,200.081,"LINESTRING (30.5471764 59.566996, 30.5471423 59.5670417, 30.5465868 59.5677844, 30.5464956 59.5678619, 30.5463937 59.5679122, 30.5462998 59.5679556, 30.5462354 59.5680005, 30.5462569 59.5681404, 30.5463091 59.5682259, 30.5461739 59.5686649)",
112602147,,,Ленинградская улица,residential,,False,True,111.915,"LINESTRING (30.5484202 59.5654736, 30.5476605 59.5664036)",
112602227,,,Погинская улица,residential,,False,False,162.038,"LINESTRING (30.5484202 59.5654736, 30.5511169 59.5659811)",
697599949,,,Круговая улица,residential,,False,True,52.307,"LINESTRING (30.5541495 59.5704856, 30.5540353 59.5704132, 30.5539763 59.5703453, 30.5538118 59.5700534)",
"[112602112, 913575473]",,,Пионерская улица,residential,,False,False,49.969,"LINESTRING (30.5446918 59.5675132, 30.5446709 59.5675033, 30.5441594 59.5672614, 30.5440622 59.5671978)",
112602112,,,Пионерская улица,residential,,False,True,136.576,"LINESTRING (30.5446918 59.5675132, 30.5447525 59.5676627, 30.5449045 59.568073, 30.5450582 59.5686328, 30.5451352 59.5687172)",
112602125,,,Пионерская улица,residential,,False,False,125.49000000000001,"LINESTRING (30.5446918 59.5675132, 30.544771 59.5674747, 30.5465604 59.5669005)",
913575473,,,,residential,,False,True,77.808,"LINESTRING (30.5428452 59.5668844, 30.5429202 59.566934, 30.5438101 59.5671192, 30.5440622 59.5671978)",
