osmid,oneway,name,highway,reversed,length,lanes,geometry,ref
32227161,True,Ιωάννη Μουστάκη,tertiary,False,47.895,,"LINESTRING (20.7549224 38.9548032, 20.7544106 38.9546385)",
415155538,False,Ελ. Βενιζέλου,tertiary,False,128.702,2,"LINESTRING (20.7549224 38.9548032, 20.7549937 38.9546126, 20.7551431 38.9542495, 20.7553097 38.9536865)",
36979954,False,Ειρήνης,primary,False,43.776,2,"LINESTRING (20.7530725 38.9545687, 20.7532433 38.9541981)",ΕΟ21
36979954,False,Ειρήνης,primary,True,74.028,2,"LINESTRING (20.7530725 38.9545687, 20.7530651 38.9545842, 20.7528517 38.9550805, 20.7527966 38.9551989)",ΕΟ21
32227161,True,Ιωάννη Μουστάκη,tertiary,False,76.514,,"LINESTRING (20.7539219 38.9544368, 20.7538411 38.9544144, 20.7538061 38.9544149, 20.7537654 38.95442, 20.7534558 38.954507, 20.75324 38.9545253, 20.7530725 38.9545687)",
113823914,False,,residential,False,45.855999999999995,,"LINESTRING (20.7539219 38.9544368, 20.7539591 38.9542776, 20.7539758 38.9541965, 20.7539724 38.9541311, 20.7540036 38.954031)",
36979954,False,Ειρήνης,primary,True,77.67,2,"LINESTRING (20.7537482 38.9530937, 20.7534386 38.9537494)",ΕΟ21
113818712,False,Κύπρου,residential,True,71.712,,"LINESTRING (20.7537482 38.9530937, 20.7529796 38.9528515)",
114143215,True,Προύσσης,residential,False,136.958,,"LINESTRING (20.7537482 38.9530937, 20.7539708 38.953012, 20.7541682 38.9529093, 20.7543459 38.9527906, 20.7544431 38.9527078, 20.7544973 38.9526758, 20.754594 38.9526614, 20.7547 38.9526593, 20.7548571 38.9526837, 20.755134 38.9527481)",
113818712,False,Κύπρου,residential,False,71.712,,"LINESTRING (20.7529796 38.9528515, 20.7537482 38.9530937)",
113841812,True,Πολυτεχνείου,residential,False,30.817,,"LINESTRING (20.7529796 38.9528515, 20.752972 38.9528673, 20.7529448 38.9529053, 20.7527433 38.9530551)",
776432804,False,Οδυσσέα Ελύτη,residential,True,28.596,,"LINESTRING (20.7537508 38.9538342, 20.7534386 38.9537494)",
36979954,False,Ειρήνης,primary,True,38.319,2,"LINESTRING (20.7527966 38.9551989, 20.7526315 38.9555187)",ΕΟ21
111149612,True,Καρυωτάκη,tertiary,False,26.68,,"LINESTRING (20.7527966 38.9551989, 20.7530879 38.955278)",
113818733,True,Καρυωτάκη,secondary,False,34.03,,"LINESTRING (20.7527966 38.9551989, 20.7524276 38.9550925)",
36979954,False,Ειρήνης,primary,False,74.02799999999999,2,"LINESTRING (20.7527966 38.9551989, 20.7528517 38.9550805, 20.7530651 38.9545842, 20.7530725 38.9545687)",ΕΟ21
113841818,False,,residential,True,53.406,,"LINESTRING (20.7467803 38.9544915, 20.746768 38.9540113)",
114127682,False,Κίτσου Τζαβέλα,tertiary,True,135.807,,"LINESTRING (20.7467803 38.9544915, 20.7467429 38.9547133, 20.7467066 38.9548295, 20.746655 38.9549945, 20.746523 38.955316, 20.7464188 38.9555048, 20.7463186 38.9556506)",
114143218,False,Επτανήσου,secondary,True,30.418,2,"LINESTRING (20.7467803 38.9544915, 20.747093 38.9544158, 20.7471166 38.9544114)",
64454416,True,Εθνικής Αντιστάσεως,residential,False,102.115,,"LINESTRING (20.7540225 38.9555058, 20.754172 38.9551596, 20.7544106 38.9546385)",
"[32227096, 111149612]",True,"['Ελ. Βενιζέλου', 'Καρυωτάκη']",tertiary,False,144.96699999999998,2,"LINESTRING (20.7540225 38.9555058, 20.7548344 38.9554611, 20.7548148 38.955171, 20.7548207 38.9550726, 20.754839 38.9549848, 20.7549224 38.9548032)",
111149612,True,Καρυωτάκη,tertiary,False,23.636000000000003,,"LINESTRING (20.7530879 38.955278, 20.7532682 38.9553411, 20.7533327 38.9553718)",
113823921,True,,residential,False,50.646,,"LINESTRING (20.7530879 38.955278, 20.7527889 38.9554803, 20.7526991 38.9555387, 20.7526315 38.9555187)",
561134218,True,Πολυτεχνείου,secondary,False,5.967,,"LINESTRING (20.7512921 38.9542605, 20.7512805 38.9543134)",
36979954,False,Ειρήνης,primary,False,77.67,2,"LINESTRING (20.7534386 38.9537494, 20.7537482 38.9530937)",ΕΟ21
36979954,False,Ειρήνης,primary,True,52.674,2,"LINESTRING (20.7534386 38.9537494, 20.7532433 38.9541981)",ΕΟ21
111149605,False,Οδυσσέα Ελύτη,residential,True,48.532,,"LINESTRING (20.7534386 38.9537494, 20.752948 38.9535374)",
