osmid,oneway,lanes,name,highway,reversed,length,maxspeed,geometry,ref,junction,access,width
674455556,False,,Κρυστάλλη,residential,False,57.509,50,"LINESTRING (21.6295547 39.7098584, 21.6296513 39.7099512, 21.6296593 39.7099899, 21.6296596 39.7100994, 21.6296502 39.7102608, 21.6296281 39.7103472)",,,,
236142335,False,,Οικονόμου Κωνσταντίνου,residential,False,58.019999999999996,50,"LINESTRING (21.6230256 39.7055468, 21.6229485 39.7054265, 21.6228291 39.7052728, 21.6226586 39.7051106)",,,,
298184418,True,,Αβέρωφ,residential,False,82.37700000000001,50,"LINESTRING (21.6230256 39.7055468, 21.6231064 39.7055154, 21.6231869 39.7054801, 21.6232615 39.7054437, 21.6233341 39.7054083, 21.6234165 39.7053621, 21.6238228 39.7051333)",,,,
921599120,True,3,Τρικάλων - Παναγίας,trunk,False,9.239,,"LINESTRING (21.6225264 39.7049006, 21.622425 39.7049292)",ΕΟ6,,,
382363369,True,,Οικονόμου Κωνσταντίνου,trunk_link,False,26.262,50,"LINESTRING (21.6225264 39.7049006, 21.6225587 39.7049311, 21.622614 39.7049995, 21.6226586 39.7051106)",,,,
13867086,False,2,Τρικάλων,secondary,True,69.162,,"LINESTRING (21.6247594 39.7061541, 21.6240736 39.7064835)",,,,
147511214,True,,Μασούτα Γ.,residential,False,69.934,50,"LINESTRING (21.6247594 39.7061541, 21.624292 39.7056381)",,,,
13867086,False,2,Τρικάλων,secondary,False,77.53999999999999,,"LINESTRING (21.6247594 39.7061541, 21.6253806 39.705827, 21.6254081 39.7058101, 21.625437 39.7057901, 21.6254901 39.7057445)",,,,
236142353,True,,Σοφοκλέους,residential,False,74.399,50,"LINESTRING (21.6253485 39.7066293, 21.6250985 39.7065119, 21.6250664 39.7064898, 21.6249978 39.7064222, 21.6248118 39.7062109, 21.6247955 39.7061924, 21.6247594 39.7061541)",,,,
299624956,True,,Κονδύλη Γ.,residential,False,86.857,50,"LINESTRING (21.6253485 39.7066293, 21.6251127 39.7070424, 21.6249183 39.7073365)",,,,
26200365,False,,Ε. Βλαχάβα,tertiary,False,65.699,50,"LINESTRING (21.6253147 39.7077681, 21.626006 39.7080255)",,,,
26200365,False,,Ε. Βλαχάβα,tertiary,True,51.408,50,"LINESTRING (21.6253147 39.7077681, 21.6250061 39.7076533, 21.6247737 39.7075668)",,,,
