osmid,lanes,highway,oneway,reversed,length,name,geometry,bridge,ref,junction
"[132791029, 132791030]",2,secondary,False,False,107.434,Πυθαγόρα,"LINESTRING (26.7009562 37.7926476, 26.7008033 37.7933073, 26.7007758 37.7934435, 26.7007705 37.7935309, 26.7007665 37.7936009)",,,
"[89269688, 244582434, 244582438]",,secondary,False,True,69.84100000000001,,"LINESTRING (26.7009562 37.7926476, 26.700566 37.7926789, 26.7002696 37.7927138, 26.700171 37.7927372)",yes,,
25300232,2,primary,False,True,92.685,Κωνσταντίνου Κανάρη,"LINESTRING (26.6947992 37.7972348, 26.6957817 37.7975382)",,ΕΟ62,
25300232,2,primary,False,False,155.052,Κωνσταντίνου Κανάρη,"LINESTRING (26.6947992 37.7972348, 26.6942657 37.7970671, 26.6940066 37.7969751, 26.6936217 37.7968246, 26.6932033 37.7966436)",,ΕΟ62,
25300233,,secondary,False,False,188.29399999999998,,"LINESTRING (26.6947992 37.7972348, 26.6948797 37.7970546, 26.6949548 37.7968236, 26.6950259 37.796618, 26.6951492 37.7961496, 26.6953182 37.7955932)",,,
"[115553968, 115553973]",,residential,False,"[False, True]",155.097,,"LINESTRING (26.6958922 37.7935188, 26.6958801 37.7934827, 26.6958553 37.7934509, 26.6958091 37.7934043, 26.69551 37.7931621, 26.6954208 37.7930964, 26.6953487 37.7930456, 26.6953196 37.7930297, 26.6952817 37.7930289, 26.6952351 37.793035, 26.6950202 37.7931009, 26.6949762 37.7931049, 26.6949246 37.7930948, 26.6947422 37.7930076, 26.6947201 37.7929881, 26.6947114 37.7929608, 26.694708 37.7928808, 26.6947037 37.7928532, 26.6946926 37.7928265, 26.6946651 37.792797)",,,
437014011,,secondary,False,True,76.244,,"LINESTRING (26.6958922 37.7935188, 26.6958909 37.7936147, 26.6958788 37.7936835, 26.6958286 37.7938421, 26.6957119 37.7941868)",,,
1186145889,,secondary,True,False,73.219,Καρμανιόλων,"LINESTRING (26.6958922 37.7935188, 26.6957896 37.7935272, 26.6957078 37.7935365, 26.6955969 37.7935574, 26.6955646 37.7935635, 26.6951908 37.7936443, 26.6950815 37.7936661)",,,
1186101341,,secondary,False,True,14.805,,"LINESTRING (26.6939396 37.7938717, 26.6941025 37.7938377)",,,
37371774,,secondary,False,False,113.80199999999999,Αλέξη Σεβαστάκη,"LINESTRING (26.6939396 37.7938717, 26.6933348 37.7939876, 26.6926843 37.7941234)",,,
132346498,,secondary,False,False,12.765,Καρλόβασι - Λέκκα,"LINESTRING (26.6939396 37.7938717, 26.6939335 37.7938136, 26.6939161 37.7937588)",,,
25300232,2,primary,False,True,141.69,Κωνσταντίνου Κανάρη,"LINESTRING (26.6917858 37.7960362, 26.6919889 37.7961183, 26.6925618 37.7963655, 26.6932033 37.7966436)",,ΕΟ62,
37371774,,secondary,False,True,214.852,Αλέξη Σεβαστάκη,"LINESTRING (26.6917858 37.7960362, 26.6920513 37.7953029, 26.6922887 37.794613, 26.6923993 37.7942797, 26.6924214 37.7942251, 26.692457 37.7941806)",,,
25300233,,secondary,False,True,160.203,,"LINESTRING (26.6957119 37.7941868, 26.6956952 37.7942577, 26.6956414 37.7944858, 26.6955316 37.7948571, 26.6953625 37.7954141, 26.6953182 37.7955932)",,,
89269688,,secondary,False,False,110.422,,"LINESTRING (26.6957119 37.7941868, 26.6957856 37.7941822, 26.695843 37.7941843, 26.6959392 37.7942018, 26.6968543 37.7943888, 26.6969356 37.7943915)",,,
437014011,,secondary,False,False,76.244,,"LINESTRING (26.6957119 37.7941868, 26.6958286 37.7938421, 26.6958788 37.7936835, 26.6958909 37.7936147, 26.6958922 37.7935188)",,,
974642036,,residential,False,False,12.211,Δημοσθένους,"LINESTRING (26.6935513 37.7954125, 26.6936821 37.7954496)",,,
115541891,,residential,False,False,147.375,,"LINESTRING (26.6935513 37.7954125, 26.6931859 37.7961989, 26.6931771 37.7962344, 26.6931845 37.7962598, 26.693275 37.7963345, 26.6932891 37.7963557, 26.6932945 37.7963843, 26.6932033 37.7966436)",,,
974642036,,residential,False,True,192.423,Δημοσθένους,"LINESTRING (26.6935513 37.7954125, 26.6931993 37.7952551, 26.6931195 37.7952175, 26.6929565 37.7951391, 26.6928801 37.795083, 26.6927876 37.7949897, 26.6927259 37.7949192, 26.6926866 37.7948821, 26.6925649 37.7947947, 26.6925059 37.7947576, 26.6924791 37.7947195, 26.6924818 37.7946845, 26.6926843 37.7941234)",,,
37371774,,secondary,False,False,21.11,Αλέξη Σεβαστάκη,"LINESTRING (26.6926843 37.7941234, 26.6925321 37.7941504, 26.692457 37.7941806)",,,
37371774,,secondary,False,True,113.80199999999999,Αλέξη Σεβαστάκη,"LINESTRING (26.6926843 37.7941234, 26.6933348 37.7939876, 26.6939396 37.7938717)",,,
974642036,,residential,False,False,192.423,Δημοσθένους,"LINESTRING (26.6926843 37.7941234, 26.6924818 37.7946845, 26.6924791 37.7947195, 26.6925059 37.7947576, 26.6925649 37.7947947, 26.6926866 37.7948821, 26.6927259 37.7949192, 26.6927876 37.7949897, 26.6928801 37.795083, 26.6929565 37.7951391, 26.6931195 37.7952175, 26.6931993 37.7952551, 26.6935513 37.7954125)",,,
89269709,,unclassified,False,False,19.224,,"LINESTRING (26.6953182 37.7955932, 26.6955348 37.7956176)",,,
25300233,,secondary,False,False,160.203,,"LINESTRING (26.6953182 37.7955932, 26.6953625 37.7954141, 26.6955316 37.7948571, 26.6956414 37.7944858, 26.6956952 37.7942577, 26.6957119 37.7941868)",,,
25300233,,secondary,False,True,188.29399999999998,,"LINESTRING (26.6953182 37.7955932, 26.6951492 37.7961496, 26.6950259 37.796618, 26.6949548 37.7968236, 26.6948797 37.7970546, 26.6947992 37.7972348)",,,
89269709,,unclassified,False,True,65.884,,"LINESTRING (26.6953182 37.7955932, 26.694691 37.7955161, 26.6945773 37.7955021)",,,
1186101341,,secondary,False,False,14.805,,"LINESTRING (26.6941025 37.7938377, 26.6939396 37.7938717)",,,
89269678,,unclassified,True,False,183.93099999999998,,"LINESTRING (26.6941025 37.7938377, 26.6941018 37.7940237, 26.6940884 37.7941965, 26.6940643 37.7943448, 26.6940013 37.7945367, 26.6939248 37.7947332, 26.6938014 37.7950899, 26.6936821 37.7954496)",,,
974642036,,residential,False,True,12.211,Δημοσθένους,"LINESTRING (26.6936821 37.7954496, 26.6935513 37.7954125)",,,
89269709,,unclassified,False,False,79.006,,"LINESTRING (26.6936821 37.7954496, 26.6937806 37.7954671, 26.693892 37.7954777, 26.6943907 37.7954955, 26.6945773 37.7955021)",,,
"[89269688, 244582434, 244582438]",,secondary,False,False,69.84100000000001,,"LINESTRING (26.700171 37.7927372, 26.7002696 37.7927138, 26.700566 37.7926789, 26.7009562 37.7926476)",yes,,
89269688,,secondary,False,True,27.483,,"LINESTRING (26.700171 37.7927372, 26.7000993 37.7927674, 26.6999115 37.7928744)",,,
115601439,,residential,False,True,358.65600000000006,,"LINESTRING (26.700171 37.7927372, 26.7002153 37.7928469, 26.70023 37.7929089, 26.700232 37.7929862, 26.7002267 37.7933635, 26.70022 37.793549, 26.7002575 37.7937079, 26.7003031 37.7938817, 26.7003407 37.7940534, 26.7003554 37.7942166, 26.7003568 37.7946055, 26.7003514 37.7949055, 26.700346 37.7951651, 26.7003534 37.7954502, 26.7003568 37.7956314, 26.7003863 37.7957543, 26.7004238 37.7958296, 26.7004909 37.7959249)",,,
89269688,,secondary,False,False,125.576,,"LINESTRING (26.6987333 37.7935071, 26.6988292 37.793479, 26.6989506 37.7934292, 26.6990815 37.7933536, 26.6999115 37.7928744)",,,
89269688,,secondary,False,True,120.884,,"LINESTRING (26.6987333 37.7935071, 26.6986401 37.7935198, 26.6982993 37.7935316, 26.6981278 37.7935437, 26.6980031 37.7935765, 26.6979052 37.7936253, 26.6977201 37.7937694, 26.6975404 37.7939188)",,,
115499371,,unclassified,False,True,157.235,,"LINESTRING (26.6987333 37.7935071, 26.6986321 37.7942208, 26.6985825 37.7943978, 26.6985328 37.7945536, 26.6985168 37.7947242, 26.6985127 37.7948678, 26.6985114 37.794907)",,,
115492629,,unclassified,False,False,19.752000000000002,,"LINESTRING (26.6996681 37.795944, 26.6996027 37.7959498, 26.6995635 37.7959533, 26.6994441 37.7959578)",,,
115492629,,unclassified,False,True,62.745999999999995,,"LINESTRING (26.6996681 37.795944, 26.6997576 37.7959374, 26.6998223 37.7959392, 26.7001207 37.7959832, 26.7002287 37.7959898, 26.7003246 37.7959888, 26.7003755 37.7959816)",,,
115499370,,unclassified,False,True,165.629,,"LINESTRING (26.6996681 37.795944, 26.699646 37.7959016, 26.6996212 37.7958587, 26.699593 37.7957856, 26.6995668 37.7957278, 26.6995186 37.7956727, 26.6994394 37.7956324, 26.6993315 37.7956075, 26.69908 37.7955408, 26.6990089 37.7955153, 26.6989553 37.7954857, 26.6987883 37.7953458, 26.6987461 37.7953103, 26.6986898 37.795278, 26.6986388 37.7952509, 26.6986073 37.7952149, 26.6985865 37.7951534, 26.6985218 37.7949413, 26.6985114 37.794907)",,,
115492627,,residential,False,False,97.54199999999999,,"LINESTRING (26.6942681 37.7963403, 26.694303 37.796245, 26.6943996 37.7960616, 26.6944693 37.7959122, 26.6945297 37.7957596, 26.6945592 37.7956049, 26.6945773 37.7955021)",,,
