osmid,oneway,name,highway,reversed,length,geometry,lanes,width,junction
26487909,False,Σταλλού,tertiary,True,25.849,"LINESTRING (22.3778844 38.5284133, 22.3779325 38.5281839)",,,
138153312,False,Σιμοπούλου,tertiary,True,29.121000000000002,"LINESTRING (22.3778844 38.5284133, 22.3779732 38.5284246, 22.377992 38.5284281, 22.3780056 38.5284321, 22.378019 38.5284378, 22.3780473 38.5284549, 22.3780661 38.52847, 22.3780775 38.5284817, 22.3780865 38.5284916, 22.3780935 38.5285067, 22.3780999 38.5285259, 22.3781015 38.5285386, 22.3781008 38.5285671)",,,
176037724,True,,tertiary,False,33.05,"LINESTRING (22.3778844 38.5284133, 22.3775971 38.5283928, 22.3775791 38.528393, 22.377568 38.5283961, 22.3775606 38.528402, 22.3775537 38.528409, 22.3775486 38.5284186, 22.3775407 38.5284384)",1,,
26487908,False,,residential,True,6.119,"LINESTRING (22.380057 38.5311509, 22.3801133 38.5311179)",,,
572757187,False,,residential,True,72.729,"LINESTRING (22.380057 38.5311509, 22.3805974 38.53165)",,,
176038697,False,,residential,False,156.589,"LINESTRING (22.380057 38.5311509, 22.3799081 38.5311772, 22.3797753 38.5311845, 22.3795755 38.5311761, 22.3791102 38.531152, 22.3787239 38.5311415, 22.3785777 38.5311342, 22.3784785 38.5311027, 22.3783055 38.5310125)",,,
572757187,False,,residential,False,112.386,"LINESTRING (22.380057 38.5311509, 22.3795728 38.5306799, 22.3792443 38.5303652)",,,
379714125,False,Γιδόγιαννου Γ.,secondary,False,54.963,"LINESTRING (22.3814812 38.5292011, 22.3810706 38.5288254)",2,,
379714125,False,Γιδόγιαννου Γ.,secondary,True,61.542,"LINESTRING (22.3814812 38.5292011, 22.3819412 38.5296216)",2,,
131518226,False,Δελφών,residential,False,83.398,"LINESTRING (22.3814812 38.5292011, 22.3817691 38.5289425, 22.3821009 38.5286289)",,,
457738842,False,Σαλώνων,secondary,False,16.367,"LINESTRING (22.3827331 38.5239206, 22.3828755 38.5238244)",2,,
457738842,False,Σαλώνων,secondary,True,13.756,"LINESTRING (22.3827331 38.5239206, 22.3826147 38.5240026)",2,,
"[200440424, 131512473]",False,"['Ψαρρού Δ.', 'Χατζηγεωργίου Γ.']",residential,False,298.55400000000003,"LINESTRING (22.3827331 38.5239206, 22.3825689 38.5237848, 22.3818956 38.5231752, 22.3818487 38.5231516, 22.3818085 38.5231553, 22.3817548 38.5231878, 22.3811586 38.523577, 22.3805518 38.5240314, 22.3802783 38.5242407)",,,
200440422,False,Πρίγκη Ευάγγελου,residential,True,117.098,"LINESTRING (22.3802783 38.5242407, 22.3812035 38.5250056)",,,
