osmid,oneway,name,highway,reversed,length,lanes,maxspeed,geometry,bridge,junction
114305286,True,Δημάρχου Ανδρεαδάκη,secondary,False,58.631,,,"LINESTRING (22.8750871 38.438202, 22.8757564 38.4382585)",,
130870056,True,Καλλιαγκάκη,tertiary,False,48.19,,,"LINESTRING (22.8750871 38.438202, 22.875181 38.4377749)",,
356731909,True,Θεσσαλονίκης,tertiary,False,78.624,1,,"LINESTRING (22.8789371 38.4384858, 22.8789234 38.4391928)",,
750914744,True,Θεσσαλονίκης,secondary,False,34.683,,,"LINESTRING (22.8789371 38.4384858, 22.8789344 38.4381739)",,
225172018,True,Φίλωνος,tertiary,False,51.433,,50,"LINESTRING (22.8777694 38.4384326, 22.8778301 38.4379725)",,
225172221,True,Δημάρχου Ανδρεαδάκη,secondary,False,101.874,,,"LINESTRING (22.8777694 38.4384326, 22.8789371 38.4384858)",,
114305479,False,Δημητρίου Παπασπύρου,secondary,False,120.38,2,50,"LINESTRING (22.8805087 38.4387051, 22.8818004 38.4390903)",,
114305479,False,Δημητρίου Παπασπύρου,secondary,True,77.268,2,50,"LINESTRING (22.8805087 38.4387051, 22.8796889 38.4384395)",,
131194445,True,Υψηλάντου,living_street,False,63.641,,,"LINESTRING (22.8805087 38.4387051, 22.8804097 38.4389301, 22.8803802 38.4389953, 22.8803708 38.4390562, 22.8803503 38.4392594)",,
356731909,True,Θεσσαλονίκης,tertiary,False,105.681,1,,"LINESTRING (22.8789063 38.440075, 22.8788879 38.4410253)",,
356741705,False,Αισχύλου,residential,False,43.107,2,50,"LINESTRING (22.8789063 38.440075, 22.8794011 38.4400844)",,
114305479,False,Δημητρίου Παπασπύρου,secondary,False,48.949,2,50,"LINESTRING (22.8791758 38.4382599, 22.8796889 38.4384395)",,
130870013,False,Γεωργαντά,secondary,False,23.098,,50,"LINESTRING (22.8791758 38.4382599, 22.8789344 38.4381739)",,
225169174,True,Θεσσαλονίκης,secondary,False,33.382,,,"LINESTRING (22.8791758 38.4382599, 22.879031 38.4384375, 22.8789867 38.43847, 22.8789371 38.4384858)",,
1014154317,True,Αισχύλου,residential,False,112.683,1,50,"LINESTRING (22.8776127 38.4400571, 22.8789063 38.440075)",,
130919210,True,Φίλωνος,tertiary,False,89.251,1,,"LINESTRING (22.8776127 38.4400571, 22.8776056 38.4399947, 22.8776039 38.4399357, 22.8776401 38.4392553)",,
750914774,True,Αισχύλου,residential,False,151.763,1,,"LINESTRING (22.8776127 38.4400571, 22.8774637 38.4400708, 22.8771883 38.4400709, 22.8765795 38.4400646, 22.876389 38.4400657, 22.8762375 38.4400814, 22.8761063 38.4400954, 22.8759992 38.4401107, 22.8758804 38.4401375)",,
114305479,False,Δημητρίου Παπασπύρου,secondary,False,73.342,2,50,"LINESTRING (22.8818004 38.4390903, 22.882591 38.4393174)",,
114305479,False,Δημητρίου Παπασπύρου,secondary,True,120.38,2,50,"LINESTRING (22.8818004 38.4390903, 22.8805087 38.4387051)",,
114305475,False,Καραγιαννόπουλου,tertiary,False,21.899,2,50,"LINESTRING (22.8845061 38.4381634, 22.884255 38.4381533)",,
356741707,False,Αισχύλου,residential,False,94.036,,,"LINESTRING (22.8841783 38.4403613, 22.8831025 38.4402894)",,
131036152,False,,residential,True,122.251,,,"LINESTRING (22.8841783 38.4403613, 22.8841134 38.4402992, 22.8840431 38.4402433, 22.8837962 38.4401223, 22.8835512 38.4400171, 22.8833094 38.4399106, 22.883015 38.4397581)",,
356741705,False,Αισχύλου,residential,True,52.019,2,50,"LINESTRING (22.880866 38.4401122, 22.8802689 38.4401009)",,
143347041,True,Αισχύλου,residential,False,54.366,,,"LINESTRING (22.880866 38.4401122, 22.8809629 38.4400751, 22.8814791 38.4400853)",,
