osmid,lanes,highway,oneway,reversed,length,geometry,name,maxspeed,ref
587881232,2,tertiary,False,False,52.648,"LINESTRING (22.8483113 37.9309305, 22.8478852 37.931264)",,,
770603839,,residential,False,False,186.883,"LINESTRING (22.8483113 37.9309305, 22.8486236 37.9313423, 22.8487953 37.9316554, 22.849085 37.9321462, 22.8492397 37.9324402)",,,
828330108,,tertiary,False,False,228.735,"LINESTRING (22.8404314 37.931044, 22.8405258 37.9312916, 22.8406476 37.931739, 22.8407391 37.9321393, 22.8407535 37.9322025, 22.8408576 37.9324604, 22.8411826 37.9330021)",Θεόδωρου Κολοκοτρώνη,30,
587881232,2,tertiary,False,False,71.839,"LINESTRING (22.8478852 37.931264, 22.8473172 37.9317295)",,,
587881232,2,tertiary,False,True,52.648,"LINESTRING (22.8478852 37.931264, 22.8483113 37.9309305)",,,
269338522,,residential,False,True,96.087,"LINESTRING (22.8473172 37.9317295, 22.8467027 37.9310141)",,,
587881232,2,tertiary,False,False,33.73,"LINESTRING (22.8473172 37.9317295, 22.8470425 37.9319418)",,,
587881232,2,tertiary,False,True,71.839,"LINESTRING (22.8473172 37.9317295, 22.8478852 37.931264)",,,
587881232,2,tertiary,False,False,49.393,"LINESTRING (22.846372 37.9325535, 22.8460236 37.9329025)",,,
587881232,2,tertiary,False,True,43.141,"LINESTRING (22.846372 37.9325535, 22.8466979 37.9322629)",,,
770605941,,residential,False,False,65.689,"LINESTRING (22.846372 37.9325535, 22.8466979 37.9330854)",,,
269338524,,residential,False,False,152.782,"LINESTRING (22.8460236 37.9329025, 22.8468506 37.9341118)",,,
587881232,2,tertiary,False,False,118.443,"LINESTRING (22.8460236 37.9329025, 22.8453473 37.9338245)",,,
587881232,2,tertiary,False,True,49.393,"LINESTRING (22.8460236 37.9329025, 22.846372 37.9325535)",,,
828330108,,tertiary,False,False,135.434,"LINESTRING (22.8411826 37.9330021, 22.8419081 37.9340773)",Θεόδωρου Κολοκοτρώνη,30,
770605946,,residential,False,False,253.17399999999998,"LINESTRING (22.8411826 37.9330021, 22.8414436 37.9328887, 22.8419505 37.9327343, 22.8427836 37.932455, 22.8438431 37.9321229)",,,
828330108,,tertiary,False,True,228.735,"LINESTRING (22.8411826 37.9330021, 22.8408576 37.9324604, 22.8407535 37.9322025, 22.8407391 37.9321393, 22.8406476 37.931739, 22.8405258 37.9312916, 22.8404314 37.931044)",Θεόδωρου Κολοκοτρώνη,30,
587881232,2,tertiary,False,True,118.443,"LINESTRING (22.8453473 37.9338245, 22.8460236 37.9329025)",,,
269338523,,residential,False,True,126.332,"LINESTRING (22.8453473 37.9338245, 22.8451471 37.9332989, 22.845111 37.9331504, 22.8450913 37.9330019, 22.8450934 37.9327151)",,,
