osmid,name,highway,oneway,reversed,length,junction,geometry,lanes,maxspeed
182069940,Αίγυπτου,residential,False,True,75.32,,"LINESTRING (23.2808001 41.1795511, 23.2802104 41.1800628)",,
182070044,Τσιουμλέκη,residential,False,False,44.843,,"LINESTRING (23.2808001 41.1795511, 23.2811712 41.179842)",,
182070047,Νικομηδείας,residential,False,True,55.856,,"LINESTRING (23.2786434 41.1795573, 23.2781874 41.1799241)",,
182069914,Τζουμλέκη,residential,False,True,21.247,,"LINESTRING (23.2770117 41.1796432, 23.2770255 41.179834)",,
182069998,Ζώτα,residential,False,True,18.698,,"LINESTRING (23.2770117 41.1796432, 23.2771737 41.179759)",,
182069900,Ελευθερίας,residential,True,False,21.249,roundabout,"LINESTRING (23.2796675 41.1797116, 23.2797029 41.1796895, 23.2797456 41.1796767, 23.2797915 41.1796744, 23.279836 41.1796829, 23.279875 41.1797013, 23.2798911 41.1797147)",,
182069900,Ελευθερίας,residential,True,False,17.872999999999998,roundabout,"LINESTRING (23.2798911 41.1797147, 23.2799202 41.1797556, 23.2799254 41.1797856, 23.2799197 41.1798155, 23.279882 41.1798613)",,
182069897,Γκόλφου,tertiary,False,True,24.529,,"LINESTRING (23.2832148 41.1797317, 23.2834249 41.1798855)",2,
182070067,Γραικόπουλου,residential,False,True,56.898,,"LINESTRING (23.2832148 41.1797317, 23.2832527 41.1802426)",,
182069962,Αθανασούλη,residential,False,True,195.337,,"LINESTRING (23.2811712 41.179842, 23.2812771 41.1815969)",,
182070044,Τσιουμλέκη,residential,False,True,44.843,,"LINESTRING (23.2811712 41.179842, 23.2808001 41.1795511)",,
182070055,Φιλίππου,residential,False,True,52.065,,"LINESTRING (23.2811712 41.179842, 23.280764 41.180196)",,
182069973,Αλεξάνδρου,residential,False,True,35.46,,"LINESTRING (23.279882 41.1798613, 23.2802104 41.1800628)",,
182069900,Ελευθερίας,residential,True,False,17.123,roundabout,"LINESTRING (23.279882 41.1798613, 23.2798725 41.17987, 23.2798317 41.1798882, 23.2797853 41.1798956, 23.2797382 41.1798916, 23.2796952 41.1798766)",,
182069892,Μικράς Ασίας,residential,False,True,8.055,,"LINESTRING (23.2781175 41.1798743, 23.2781874 41.1799241)",,
