nodeId,X,Y
0,85,77
1,83,78
2,92,78
3,93,78
4,102,78
5,82,79
6,140,79
7,83,80
8,139,80
9,102,83
10,86,84
11,118,84
12,128,84
13,113,86
14,128,86
15,95,87
16,113,87
17,91,90
18,108,90
19,128,90
20,119,91
21,128,91
22,100,92
23,117,93
24,133,93
25,134,93
26,139,93
27,85,94
28,139,95
29,112,96
30,104,98
31,120,98
32,119,99
33,127,99
34,134,99
35,139,99
36,149,99
37,134,100
38,139,100
39,139,100
40,149,100
41,113,102
42,139,102
43,168,102
44,170,102
45,172,102
46,160,103
47,173,103
48,149,104
49,173,104
50,139,105
51,169,105
52,171,105
53,105,106
54,109,106
55,114,106
56,120,106
57,139,106
58,169,106
59,169,106
60,171,106
61,108,107
62,127,107
63,139,107
64,149,107
65,133,108
66,169,108
67,171,109
68,139,110
69,148,110
70,169,110
71,121,111
72,127,111
73,133,111
74,148,111
75,152,111
76,165,111
77,93,112
78,94,112
79,94,112
80,139,112
81,160,112
82,162,112
83,164,112
84,165,112
85,165,112
86,165,112
87,167,112
88,128,113
89,139,113
90,148,113
91,152,113
92,165,113
93,165,113
94,165,113
95,166,113
96,167,113
97,128,114
98,139,114
99,148,114
100,166,114
101,166,114
102,100,115
103,101,115
104,115,115
105,116,115
106,119,115
107,121,115
108,121,115
109,122,115
110,126,115
111,128,115
112,131,115
113,132,115
114,133,115
115,134,115
116,137,115
117,139,115
118,139,115
119,148,115
120,101,116
121,102,116
122,104,116
123,107,116
124,110,116
125,121,116
126,147,116
127,148,116
128,166,116
129,100,117
130,148,117
131,160,117
132,161,117
133,163,117
134,165,117
135,166,117
136,166,117
137,167,117
138,167,117
139,167,117
140,167,117
141,168,117
142,168,117
143,168,117
144,169,117
145,169,117
146,170,117
147,170,117
148,170,117
149,170,117
150,171,117
151,171,117
152,100,118
153,100,118
154,121,118
155,148,118
156,169,118
157,169,118
158,169,118
159,169,118
160,169,118
161,154,123
162,106,125
163,134,125
164,135,125
165,156,125
166,89,126
167,102,126
168,107,126
169,100,128
170,157,128
171,157,128
172,92,129
173,101,129
174,120,129
175,122,129
176,124,129
177,126,129
178,127,129
179,132,129
180,100,130
181,102,130
182,133,130
183,98,131
184,117,131
185,131,131
186,132,131
187,99,132
188,115,132
189,96,133
190,137,133
191,138,133
192,140,133
193,112,134
194,136,134
195,142,134
196,152,134
197,94,135
198,102,135
199,122,135
200,136,135
201,150,135
202,152,135
203,154,135
204,125,136
205,146,136
206,147,136
207,155,136
208,101,137
209,122,137
210,136,137
211,145,137
212,108,138
213,115,138
214,117,139
215,139,139
216,92,140
217,147,140
218,162,140
219,97,141
220,116,141
221,118,141
222,147,141
223,163,141
224,90,142
225,114,142
226,137,142
227,149,142
228,150,142
229,89,143
230,95,143
231,113,143
232,114,143
233,122,143
234,123,143
235,124,143
236,149,143
237,150,143
238,163,143
239,88,144
240,94,144
241,137,144
242,160,144
243,112,145
244,126,145
245,152,145
246,153,146
247,155,146
248,157,147
249,158,147
250,109,148
251,110,148
252,131,148
253,160,148
254,105,149
255,107,149
256,127,149
257,163,149
258,126,150
259,139,150
260,165,150
261,99,151
262,151,151
263,123,152
264,169,152
265,91,153
266,95,153
267,96,153
268,118,153
269,120,153
270,88,154
271,89,154
272,167,154
273,168,154
274,168,154
275,88,155
276,151,155
277,168,155
278,169,155
279,87,156
280,139,156
281,158,156
282,161,156
283,162,156
284,87,157
285,140,157
286,151,157
287,152,157
288,154,157
289,169,157
290,137,158
291,140,158
292,169,158
293,169,158
294,87,159
295,134,159
296,169,159
297,87,160
298,131,160
299,134,160
300,169,160
301,117,161
302,134,161
303,169,161
304,117,162
305,122,162
306,134,162
307,167,162
308,87,163
309,102,163
310,104,163
311,116,163
312,117,163
313,141,163
314,159,163
315,96,164
316,98,164
317,100,164
318,141,164
319,90,165
320,92,165
321,135,165
322,141,166
323,125,159
324,125,159
325,126,159
326,126,159
327,127,159
328,127,159
329,128,159
330,129,159
331,130,159
332,131,159
333,132,159
334,133,159
335,133,159
336,134,159
337,141,159
338,142,159
339,144,159
340,144,159
341,144,159
342,144,159
343,121,160
