osmid,oneway,name,highway,maxspeed,junction,reversed,length,geometry,ref,lanes
4873318,True,Mäntyharjuntie,secondary,40,roundabout,False,26.244,"LINESTRING (26.8807468 61.4175679, 26.880755 61.4176149, 26.8807326 61.4176609, 26.8806816 61.4177013, 26.880607 61.4177322, 26.8805161 61.4177506)",,
4873318,True,Mäntyharjuntie,secondary,40,roundabout,False,12.005999999999998,"LINESTRING (26.8801931 61.4176982, 26.8801535 61.4176676, 26.8801302 61.4176334, 26.8801244 61.4175975)",,
49798650,True,Mäntyharjuntie,secondary,40,,False,64.023,"LINESTRING (26.8801931 61.4176982, 26.8799231 61.4176847, 26.8797895 61.4176814, 26.879612 61.4176897, 26.8792609 61.417708, 26.8789942 61.417707)",368,
4873318,True,Mäntyharjuntie,secondary,40,roundabout,False,17.153,"LINESTRING (26.8805354 61.4174598, 26.8806085 61.4174761, 26.8806706 61.4175006, 26.8807177 61.4175319, 26.8807468 61.4175679)",,
49798643,False,Varpasentie,secondary,40,,True,16.198,"LINESTRING (26.8803474 61.4168821, 26.8803379 61.4170277)",381,
22938219,False,Liiketie,residential,,,True,156.075,"LINESTRING (26.8803474 61.4168821, 26.8801411 61.4168646, 26.8798755 61.4168652, 26.8791223 61.4168591, 26.8787446 61.4168577, 26.8784655 61.4168572, 26.8782744 61.416855, 26.8776005 61.4168485, 26.8774172 61.4168467)",,
23415948,False,Savontie,residential,,,False,84.148,"LINESTRING (26.8803474 61.4168821, 26.8805855 61.4169031, 26.8808823 61.4169042, 26.8810273 61.4169047, 26.8817643 61.4169073, 26.8819251 61.4169079)",,
49798643,False,Varpasentie,secondary,40,,False,167.564,"LINESTRING (26.8803474 61.4168821, 26.8803494 61.4167494, 26.8803648 61.4163401, 26.8803655 61.4163201, 26.8803794 61.4159673, 26.8803973 61.4155141, 26.880401 61.4153754)",381,
55830281,False,Mäntyharjuntie,secondary,40,,False,88.696,"LINESTRING (26.8774326 61.4179839, 26.8783388 61.4178041, 26.8786935 61.4177481, 26.8789942 61.417707)",368,2
55830281,False,Mäntyharjuntie,secondary,40,,True,81.16499999999999,"LINESTRING (26.8774326 61.4179839, 26.8766676 61.4181031, 26.8765647 61.4181191, 26.8759734 61.4181964)",368,2
174734526,False,Keskustie,residential,,,True,28.064,"LINESTRING (26.8774326 61.4179839, 26.8773441 61.4178766, 26.87732 61.4178532, 26.8772697 61.4177449)",,
23415826,False,Reissutie,residential,,,True,162.833,"LINESTRING (26.880401 61.4153754, 26.880261 61.4153653, 26.879902 61.415361, 26.8786042 61.4153541, 26.8782992 61.4153516, 26.8775078 61.4153487, 26.8773422 61.4153481)",,
"[49798643, 172550445]",False,Varpasentie,secondary,40,,False,274.41100000000006,"LINESTRING (26.880401 61.4153754, 26.880402 61.4152374, 26.8804002 61.4146908, 26.8804064 61.4144105, 26.8804192 61.4142501, 26.8804443 61.4141172, 26.880481 61.4140084, 26.880532 61.4138712, 26.8806033 61.413731, 26.8806959 61.4135913, 26.8807967 61.4134633, 26.8808977 61.4133584, 26.8810028 61.4132496, 26.8811515 61.4131124, 26.8813024 61.4129903)",381,2
49798643,False,Varpasentie,secondary,40,,True,167.564,"LINESTRING (26.880401 61.4153754, 26.8803973 61.4155141, 26.8803794 61.4159673, 26.8803655 61.4163201, 26.8803648 61.4163401, 26.8803494 61.4167494, 26.8803474 61.4168821)",381,
174735845,False,Pentinpolku,unclassified,,,False,93.78999999999999,"LINESTRING (26.880401 61.4153754, 26.8805386 61.4153836, 26.8809247 61.4154031, 26.8812849 61.4154263, 26.882149 61.4154843)",,
4873318,True,Mäntyharjuntie,secondary,40,roundabout,False,19.099,"LINESTRING (26.8805161 61.4177506, 26.8804268 61.4177549, 26.8803386 61.417747, 26.8802585 61.4177276, 26.8801931 61.4176982)",,
490537297,False,Asematie,unclassified,40,,True,111.849,"LINESTRING (26.8805161 61.4177506, 26.8805323 61.4178032, 26.8805467 61.417852, 26.880559 61.4179351, 26.8805835 61.4180603, 26.8805983 61.4181063, 26.8806185 61.418169, 26.880653 61.4182733, 26.8807264 61.4184526, 26.8807747 61.4185455, 26.8808413 61.4186385, 26.8809263 61.4187321)",4162,
