osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge,width
27351749,Myllytie,tertiary,40,False,True,162.56199999999998,"LINESTRING (22.6938583 61.2818515, 22.6936876 61.2817759, 22.6933891 61.2817292, 22.6920065 61.2817147, 22.6911964 61.2816352, 22.6909444 61.2815695)",,,
64751392,Päätie,tertiary,40,False,False,125.059,"LINESTRING (22.6938583 61.2818515, 22.693934 61.282124, 22.6939741 61.2822685, 22.6941189 61.282699, 22.6942622 61.2829579)",,,
69762867,Myllytie,residential,40,False,False,147.551,"LINESTRING (22.6938583 61.2818515, 22.6942104 61.2818028, 22.6965614 61.2815827)",,,
64751392,Päätie,tertiary,40,False,False,205.595,"LINESTRING (22.6942622 61.2829579, 22.6944759 61.2831564, 22.6946722 61.2833553, 22.6955331 61.283918, 22.6964374 61.2844757)",,,
64751392,Päätie,tertiary,40,False,True,125.05900000000001,"LINESTRING (22.6942622 61.2829579, 22.6941189 61.282699, 22.6939741 61.2822685, 22.693934 61.282124, 22.6938583 61.2818515)",,,
69762768,Kalliotie,residential,40,False,False,205.29500000000002,"LINESTRING (22.6942622 61.2829579, 22.6941614 61.2829796, 22.6938324 61.2830836, 22.6931951 61.2833826, 22.6930346 61.2835385, 22.6927192 61.2838449, 22.6922925 61.2844725)",,,
64751349,Pehulankaari,residential,40,False,False,12.337,"LINESTRING (22.6942846 61.2871718, 22.6944992 61.2872128)",,,
69762745,Kotipellontie,residential,40,False,False,125.838,"LINESTRING (22.6942846 61.2871718, 22.6919315 61.2872241)",,,
64751349,Pehulankaari,residential,40,False,True,106.382,"LINESTRING (22.6942846 61.2871718, 22.6940405 61.2869079, 22.693476 61.2862975)",,,
64751392,Päätie,tertiary,40,False,True,79.519,"LINESTRING (22.6973589 61.2850373, 22.6964374 61.2844757)",,,
64751341,Keikustie,residential,40,False,False,251.76200000000003,"LINESTRING (22.6973589 61.2850373, 22.6963696 61.2854694, 22.6953642 61.285818, 22.6936961 61.2862401, 22.693476 61.2862975)",,,
"[64751392, 161156268]",Päätie,tertiary,40,False,False,160.987,"LINESTRING (22.6973589 61.2850373, 22.6974749 61.2851011, 22.6983739 61.2855954, 22.6985452 61.2856896, 22.6990484 61.2859654, 22.6992193 61.28607, 22.6993211 61.2861356)",,,
64751349,Pehulankaari,residential,40,False,True,12.337,"LINESTRING (22.6944992 61.2872128, 22.6942846 61.2871718)",,,
"[64751349, 161156270]",Pehulankaari,residential,40,False,False,284.231,"LINESTRING (22.6944992 61.2872128, 22.694735 61.2871702, 22.695159 61.2870859, 22.695972 61.2869108, 22.6965071 61.2867956, 22.6968235 61.2867275, 22.6980496 61.2864261, 22.699139 61.2861701, 22.6993211 61.2861356)",,,
"[69762728, 69762843]",Pehulankuja,residential,40,False,False,141.63,"LINESTRING (22.6944992 61.2872128, 22.694431 61.2873257, 22.6938579 61.2878344, 22.6937996 61.2878854, 22.6932791 61.2883408)",,,
"[61751162, 627809414, 627809415]",Äetsäntie,secondary,80,False,False,331.332,"LINESTRING (22.6902039 61.2876328, 22.6898072 61.287253, 22.6895806 61.287024, 22.6875292 61.2849445)",249,yes,
"[64751389, 70980605]",,secondary_link,"['40', '50']",False,True,145.947,"LINESTRING (22.6902039 61.2876328, 22.6905293 61.28756, 22.6914033 61.2872492, 22.6916871 61.2871296, 22.6917869 61.2869897, 22.6917811 61.2868628, 22.691657 61.2867127)",,,
64751341,Keikustie,residential,40,False,False,107.584,"LINESTRING (22.693476 61.2862975, 22.691657 61.2867127)",,,
