osmid,name,highway,maxspeed,access,oneway,reversed,length,geometry,lanes,ref
23711404,Kuruntie,tertiary,40,yes,False,False,219.40800000000002,"LINESTRING (24.0675618 61.9864379, 24.0673311 61.9863276, 24.0668009 61.9860415, 24.0664844 61.9857537, 24.0663546 61.9855841, 24.0662889 61.9854832, 24.0662613 61.9853579, 24.0662924 61.9852029, 24.0664737 61.9849288, 24.0666545 61.9846821)",,
79529280,Ruovedentie,tertiary,50,,False,False,122.31099999999999,"LINESTRING (24.0675618 61.9864379, 24.066349 61.987148, 24.0660672 61.9872838)",2,14314
"[79529280, 79529384]",Ruovedentie,tertiary,"['40', '50']",,False,True,257.641,"LINESTRING (24.0675618 61.9864379, 24.0679304 61.9863077, 24.0680673 61.9862634, 24.0682838 61.9861933, 24.069664 61.9858521, 24.0699027 61.985793, 24.0699743 61.9857753, 24.07045 61.9856577, 24.070876 61.9855294, 24.0712605 61.9854135, 24.0715374 61.9853237, 24.0717687 61.9852375)",2,14314
25649686,Laivarannantie,residential,40,,False,False,107.315,"LINESTRING (24.0717687 61.9852375, 24.071884 61.9852811, 24.0722487 61.9853504, 24.0726944 61.9854306, 24.0730917 61.9854586, 24.0737179 61.985506)",2,
"[79529384, 79529280]",Ruovedentie,tertiary,"['40', '50']",,False,False,257.64099999999996,"LINESTRING (24.0717687 61.9852375, 24.0715374 61.9853237, 24.0712605 61.9854135, 24.070876 61.9855294, 24.07045 61.9856577, 24.0699743 61.9857753, 24.0699027 61.985793, 24.069664 61.9858521, 24.0682838 61.9861933, 24.0680673 61.9862634, 24.0679304 61.9863077, 24.0675618 61.9864379)",2,14314
"[79529384, 79529301]",Ruovedentie,tertiary,40,,False,True,426.626,"LINESTRING (24.0717687 61.9852375, 24.072613 61.9848002, 24.073068 61.9845698, 24.0743237 61.9840209, 24.0751831 61.9836295, 24.0765483 61.9829391, 24.0774198 61.982471)",2,14314
115091149,Urhontie,residential,,,False,False,15.454,"LINESTRING (24.0717687 61.9852375, 24.0716351 61.9851772, 24.0715727 61.9851343)",,
25649686,Laivarannantie,residential,40,,False,False,38.086,"LINESTRING (24.0737179 61.985506, 24.0741164 61.9855336, 24.0744243 61.9855845)",2,
25649686,Laivarannantie,residential,40,,False,True,107.315,"LINESTRING (24.0737179 61.985506, 24.0730917 61.9854586, 24.0726944 61.9854306, 24.0722487 61.9853504, 24.071884 61.9852811, 24.0717687 61.9852375)",2,
25649690,Riihitie,residential,,,False,False,280.335,"LINESTRING (24.0737179 61.985506, 24.0736989 61.9855684, 24.073659 61.9856243, 24.0731311 61.9861863, 24.0729573 61.9862634, 24.0727256 61.9862949, 24.0718492 61.9863835, 24.070766 61.9865717, 24.0695861 61.9867904)",,
706618637,Laivarannantie,residential,30,,False,False,456.28999999999996,"LINESTRING (24.0756304 61.9862615, 24.0756758 61.9867936, 24.0757138 61.9881834, 24.0757435 61.9884837, 24.0757521 61.9885314, 24.0758696 61.9886078, 24.076081 61.9886384, 24.0764001 61.9886394, 24.0769773 61.9886362, 24.0774592 61.9886365, 24.0776976 61.9886294, 24.0777626 61.9886241, 24.0779047 61.9886126, 24.0781629 61.9885846, 24.0783793 61.9885562, 24.0786421 61.988532, 24.0790802 61.9885294, 24.0793293 61.9885439, 24.0795195 61.9885813)",2,
"[706618637, 25649686]",Laivarannantie,residential,"['40', '30']",,False,True,99.7,"LINESTRING (24.0756304 61.9862615, 24.0756219 61.9862293, 24.0754024 61.9860419, 24.0753038 61.9859872, 24.0751513 61.9858948, 24.0747048 61.9856932, 24.0744243 61.9855845)",2,
