osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,width,access
255452479,132,Läyliäistenraitti,secondary,40,False,True,122.827,"LINESTRING (24.4591857 60.6275283, 24.4592111 60.6271416, 24.4592979 60.62681, 24.4594099 60.6265283, 24.4594453 60.6264335)",,
918815118,,,residential,,False,False,66.901,"LINESTRING (24.4591857 60.6275283, 24.4590552 60.6275319, 24.4585415 60.6275043, 24.4579729 60.6274503)",,
222958781,132,Läyliäistenraitti,secondary,40,False,True,8.561,"LINESTRING (24.4613369 60.6225565, 24.4613773 60.6224821)",,
222957444,134,Karkkilantie,secondary,60,True,False,28.496,"LINESTRING (24.4613369 60.6225565, 24.4611246 60.6225337, 24.4608463 60.6224724)",,
255448098,132,Läyliäistenraitti,secondary,40,False,False,100.27699999999999,"LINESTRING (24.4613369 60.6225565, 24.4613094 60.6226122, 24.4612737 60.6226846, 24.4609045 60.623433)",,
222958781,132,Läyliäistenraitti,secondary,40,False,False,8.561,"LINESTRING (24.4613773 60.6224821, 24.4613369 60.6225565)",,
222958781,132,Läyliäistenraitti,secondary,40,False,True,85.351,"LINESTRING (24.4613773 60.6224821, 24.4615094 60.6222189, 24.4617473 60.6217363)",,
255448098,132,Läyliäistenraitti,secondary,40,False,True,62.002,"LINESTRING (24.4594453 60.6264335, 24.4596874 60.6258887)",,
"[61922753, 222957436, 222957437]",,Vesikopintie,residential,,False,False,312.26899999999995,"LINESTRING (24.4594453 60.6264335, 24.4593299 60.6264188, 24.4592525 60.6264089, 24.4591475 60.6263955, 24.4573527 60.626236, 24.4557645 60.6260846, 24.4543237 60.6259656, 24.4538192 60.6259159)",4,
255452479,132,Läyliäistenraitti,secondary,40,False,False,122.827,"LINESTRING (24.4594453 60.6264335, 24.4594099 60.6265283, 24.4592979 60.62681, 24.4592111 60.6271416, 24.4591857 60.6275283)",,
1013279188,,Mäkeläntie,residential,,False,True,91.686,"LINESTRING (24.4594453 60.6264335, 24.4595773 60.6264558, 24.4596656 60.6264665, 24.4600551 60.6265114, 24.4607083 60.6265642, 24.4610933 60.6265891)",6,
108450169,,Toivolantie,residential,40,False,False,29.384,"LINESTRING (24.4632509 60.623708, 24.4633923 60.6237019, 24.4634724 60.6236883, 24.4636411 60.6236378, 24.463749 60.6236192)",,yes
