osmid,oneway,lanes,name,highway,maxspeed,reversed,length,bridge,geometry,junction,tunnel
567946429,True,1,Kirkkojärventie,secondary,50,False,8.015,,"LINESTRING (24.649619 60.2042852, 24.6497458 60.2043202)",,
"[23594973, 38067364, 52739453, 781522928]",True,"['1', '2']",Espoonväylä,secondary,50,False,219.468,yes,"LINESTRING (24.649619 60.2042852, 24.649838 60.204203, 24.6499651 60.204146, 24.6511223 60.2036269, 24.6512018 60.2035815, 24.6514928 60.2034155, 24.6518324 60.2031806, 24.6521696 60.2028825, 24.6522343 60.2028248)",,
140646902,False,2,Kirkkojärventie,secondary,50,True,26.409,,"LINESTRING (24.6522469 60.2048189, 24.6517826 60.2047625)",,
"[4339714, 24605182]",True,2,Kirkkojärventie,secondary,"['50', '30']",False,111.97600000000001,,"LINESTRING (24.6522469 60.2048189, 24.6529888 60.2048634, 24.6537083 60.2049563, 24.6540818 60.2050186, 24.654213 60.2050455)",,
140769066,True,1,Kannusillankatu,unclassified,,False,14.81,,"LINESTRING (24.654213 60.2050455, 24.6541788 60.2051776)",,
1069004120,True,2,Kirkkojärventie,secondary,30,False,66.708,,"LINESTRING (24.654213 60.2050455, 24.6544494 60.2050898, 24.6553311 60.2052717)",,
12165893,True,1,Kannusillankatu,unclassified,,False,14.993,,"LINESTRING (24.6540453 60.2051515, 24.654213 60.2050455)",,
"[46054376, 24605177]",True,1,Kirkkojärventie,secondary,"['30', '50']",False,106.042,,"LINESTRING (24.6540453 60.2051515, 24.6538089 60.2051043, 24.6529392 60.2049388, 24.6522469 60.2048189)",,
6465869,False,,Virastopiha,unclassified,,True,13.56,,"LINESTRING (24.6552398 60.2053849, 24.6553311 60.2052717)",,
"[806902345, 6465869]",False,,Virastopiha,unclassified,,False,132.21200000000002,,"LINESTRING (24.6552398 60.2053849, 24.655178 60.2054621, 24.6550364 60.2056369, 24.6549702 60.2057198, 24.6548661 60.2058501, 24.654767 60.2059808, 24.6547191 60.206045, 24.6545846 60.2062239, 24.6545504 60.2062883, 24.6544283 60.2064848, 24.6544526 60.2064964)",,
1069004099,True,2,Kirkkojärventie,secondary,30,False,62.991,,"LINESTRING (24.6552398 60.2053849, 24.6543532 60.2052117, 24.6541788 60.2051776)",,
6465474,False,,Espoonkatu,residential,,False,11.162,,"LINESTRING (24.6568253 60.2055698, 24.6567555 60.205664)",,
"[46054377, 1231556308, 1069004100]",True,"['1', '2']",Kirkkojärventie,secondary,30,False,174.838,,"LINESTRING (24.6568253 60.2055698, 24.6570182 60.2056258, 24.6576091 60.2057413, 24.6580106 60.2058196, 24.6581894 60.2058544, 24.659002 60.2060128, 24.6594723 60.2061067, 24.6597535 60.2061627)",,
6465474,False,,Espoonkatu,residential,,True,11.162,,"LINESTRING (24.6567555 60.205664, 24.6568253 60.2055698)",,
52739465,False,,Espoonkatu,residential,30,False,135.981,,"LINESTRING (24.6567555 60.205664, 24.656689 60.2057537, 24.6564729 60.2060185, 24.6558315 60.2067974)",,
52739466,True,2,Kirkkojärventie,secondary,30,False,89.332,,"LINESTRING (24.6567555 60.205664, 24.656389 60.2056042, 24.6558711 60.2055068, 24.6554788 60.2054316, 24.6552398 60.2053849)",,
4339720,True,,Siltakatu,secondary,50,False,9.348,,"LINESTRING (24.6522343 60.2028248, 24.6524033 60.2028209)",,
140646900,True,1,Espoonväylä,secondary,50,False,100.83600000000001,,"LINESTRING (24.6522343 60.2028248, 24.6523599 60.2026973, 24.6524522 60.2025776, 24.652534 60.2024555, 24.6526351 60.2022977, 24.6526732 60.2021997, 24.6527556 60.2019606)",,
7859338,False,,Terveyskuja,residential,,True,7.849,,"LINESTRING (24.653138 60.2029719, 24.6530999 60.2030399)",,
7859338,False,,Terveyskuja,residential,,False,194.811,,"LINESTRING (24.653138 60.2029719, 24.6531763 60.2028276, 24.6532082 60.2027103, 24.6532188 60.2025649, 24.6532108 60.202413, 24.6531732 60.2022212, 24.6531595 60.2021374, 24.6531482 60.2019721, 24.6531183 60.2016869, 24.6531329 60.2016609, 24.6531876 60.2016544, 24.6534179 60.2016535, 24.6537639 60.2016551, 24.6540084 60.2016563)",,
"[15244964, 828208221]",True,1,Siltakatu,secondary,"['50', '30']",False,112.133,,"LINESTRING (24.653138 60.2029719, 24.6533609 60.2030118, 24.6541227 60.2031472, 24.6545357 60.2032032, 24.6549328 60.2032577, 24.6550737 60.2032707)",,
"[1270322639, 23733327]",False,,Kamreerintie,residential,30,False,103.55599999999998,,"LINESTRING (24.6551252 60.2034221, 24.6550834 60.2034751, 24.6548139 60.2038168, 24.6547868 60.2038648, 24.6546859 60.2040068, 24.6544813 60.2042964)",,
38067362,True,1,,secondary,30,False,10.122,,"LINESTRING (24.6551252 60.2034221, 24.6550847 60.2034115, 24.655051 60.203396, 24.6550264 60.2033768, 24.6550123 60.2033552)",roundabout,
"[73579777, 15244975]",False,,Asemakuja,unclassified,30,False,127.26400000000001,,"LINESTRING (24.6595229 60.2041477, 24.6594577 60.2042311, 24.6592542 60.2044949, 24.6592154 60.2045413, 24.6589751 60.2048482, 24.6588651 60.2049832, 24.6588267 60.2050312, 24.6587881 60.2050794, 24.6587384 60.2051415, 24.6586811 60.205213)",,
