osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,bridge,width
58664940,True,1,28,Kokkolantie,trunk,50,False,97.345,"LINESTRING (23.9126276 63.9028069, 23.9134594 63.9028397, 23.9139971 63.90289, 23.914319 63.9029198, 23.9144714 63.9029105, 23.9145884 63.9028946)",,,
18941371,True,,28;775,,trunk,50,False,17.332,"LINESTRING (23.9147908 63.9028055, 23.9149838 63.902795, 23.9151407 63.9028085)",roundabout,,
363237095,True,1,775,Valtakatu,secondary,40,False,40.71,"LINESTRING (23.9147908 63.9028055, 23.9149118 63.9026851, 23.9149893 63.9025925, 23.9150974 63.9024653)",,,
18941371,True,,28;775,,trunk,50,False,22.426000000000002,"LINESTRING (23.915213 63.9028413, 23.9153056 63.9028844, 23.9153317 63.9029507, 23.9153143 63.9030254)",roundabout,,
363237090,True,1,28;775,Kajaanintie,trunk,50,False,103.46300000000001,"LINESTRING (23.915213 63.9028413, 23.9154834 63.9029049, 23.9157375 63.9029515, 23.9159746 63.9029869, 23.9163387 63.9030279, 23.916741 63.9030595, 23.9172288 63.9031045)",,,
18941371,True,,28;775,,trunk,50,False,22.426000000000002,"LINESTRING (23.9152562 63.9030719, 23.915173 63.9031104, 23.9150314 63.9031392, 23.9148497 63.9031382)",roundabout,,
363237088,True,1,18077,Junkalantie,tertiary,40,False,43.005,"LINESTRING (23.9152562 63.9030719, 23.9152238 63.9033006, 23.9152229 63.903317, 23.9152146 63.9033412, 23.9151565 63.9034551)",,,
18941371,True,,28;775,,trunk,50,False,11.773,"LINESTRING (23.9148497 63.9031382, 23.9147274 63.9031066, 23.914647 63.9030813)",roundabout,,
18941371,True,,28;775,,trunk,50,False,5.9,"LINESTRING (23.9153143 63.9030254, 23.9152562 63.9030719)",roundabout,,
18941371,True,,28;775,,trunk,50,False,14.347,"LINESTRING (23.9145884 63.9028946, 23.9146619 63.9028425, 23.9147908 63.9028055)",roundabout,,
18941371,True,,28;775,,trunk,50,False,5.08,"LINESTRING (23.9151407 63.9028085, 23.915213 63.9028413)",roundabout,,
153576507,True,,27403,,secondary,40,False,20.157,"LINESTRING (23.9165737 63.9004759, 23.9164988 63.9004449, 23.9164594 63.900403, 23.9164625 63.9003577, 23.9165076 63.9003169)",roundabout,,
363237093,False,,775,Valtakatu,secondary,40,True,120.158,"LINESTRING (23.9165737 63.9004759, 23.9163996 63.9005866, 23.9161681 63.9007369, 23.9159229 63.9009467, 23.9157128 63.9011644, 23.9155742 63.9013235, 23.9154809 63.901438)",,,
