osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,lanes,bridge,junction
24532841,Seurapuistikko,residential,40,False,False,105.256,"LINESTRING (22.4018239 62.6183246, 22.401558 62.6183604, 22.4014389 62.6183784, 22.4012646 62.6184066, 22.4000672 62.6186141, 22.399887 62.6186438)",,,,
172633933,Kurikantie,tertiary,40,False,False,223.67199999999997,"LINESTRING (22.4018239 62.6183246, 22.4019114 62.6185708, 22.4021828 62.6190748, 22.4022868 62.6192632, 22.402325 62.6193324, 22.4023625 62.6193873, 22.4024014 62.6194442, 22.4029077 62.620064, 22.4030924 62.6202426)",6900,,,
172633933,Kurikantie,tertiary,40,False,True,180.53000000000003,"LINESTRING (22.4018239 62.6183246, 22.4017849 62.6182005, 22.4016195 62.6176737, 22.4015527 62.6175417, 22.4012107 62.616904, 22.4010964 62.6167386)",6900,,,
24532841,Seurapuistikko,residential,40,False,True,105.256,"LINESTRING (22.399887 62.6186438, 22.4000672 62.6186141, 22.4012646 62.6184066, 22.4014389 62.6183784, 22.401558 62.6183604, 22.4018239 62.6183246)",,,,
64237045,Keskuspuistikko,residential,40,False,True,86.40199999999999,"LINESTRING (22.399887 62.6186438, 22.3999296 62.6187013, 22.4003241 62.6192096, 22.4003673 62.6192653, 22.4003865 62.6193824)",,,,
64237050,Keskuspuistikko,residential,,False,False,181.78300000000002,"LINESTRING (22.399887 62.6186438, 22.3994974 62.6181203, 22.3994497 62.6180581, 22.3988448 62.6172683, 22.3986511 62.617114)",,2,,
331514015,Seurapuistikko,residential,40,False,False,154.059,"LINESTRING (22.399887 62.6186438, 22.3996849 62.6186793, 22.3990387 62.6187844, 22.3980505 62.6189477, 22.3973524 62.6190631, 22.3970523 62.6191127)",,,,
713421505,Saumantie,tertiary,,False,True,58.381,"LINESTRING (22.396123 62.6143787, 22.3949953 62.6144599)",,,,
64237050,Keskuspuistikko,residential,,False,True,140.38299999999998,"LINESTRING (22.396123 62.6143787, 22.396197 62.6144786, 22.3962994 62.614617, 22.3963992 62.6147519, 22.3965261 62.6149233, 22.3966299 62.6150635, 22.3969083 62.6154396, 22.3970203 62.6155717)",,2,,
713421505,Saumantie,tertiary,,False,False,80.27,"LINESTRING (22.396123 62.6143787, 22.3963794 62.6143447, 22.3967029 62.614287, 22.3969759 62.6142324, 22.3971545 62.6141916, 22.3972834 62.6141531, 22.3975391 62.6140768)",,,,
24532843,Saumantie,tertiary,,False,False,150.117,"LINESTRING (22.389474 62.6149723, 22.3896157 62.6149478, 22.3901828 62.6148497, 22.390977 62.614745, 22.3923081 62.6146371)",,,,
40809297,Nikkarintie,residential,,False,False,444.3689999999999,"LINESTRING (22.389474 62.6149723, 22.3895454 62.6150522, 22.3902195 62.6160005, 22.3910778 62.6173644, 22.3918943 62.6188087)",,,,
34411998,Kankaantie,residential,40,False,False,51.633,"LINESTRING (22.3975391 62.6140768, 22.397759 62.6139929, 22.398321 62.6137831)",,,,
