osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,width,ref,bridge,access
"[1154482504, 584251208, 4216692, 1154482503]",Kristiinankatu,"['residential', 'living_street']","['20', '30']",False,False,96.958,"LINESTRING (22.2651132 60.4486597, 22.265243 60.4485685, 22.2652861 60.4485382, 22.2653553 60.4484896, 22.2654783 60.4484032, 22.2658171 60.4481651, 22.2659562 60.4480674, 22.266059 60.4479944, 22.2661274 60.4479455)",,,,,
59651642,Linnankatu,secondary,30,False,True,200.309,"LINESTRING (22.2651132 60.4486597, 22.2652677 60.4487093, 22.2653338 60.4487315, 22.2658929 60.4489194, 22.266204 60.4490241, 22.266614 60.4491648, 22.2669025 60.4492642, 22.2669954 60.4492963, 22.2670798 60.4493254, 22.2671399 60.4493461, 22.2673907 60.4494326, 22.2676387 60.4495169, 22.2678183 60.449578, 22.267929 60.4496153, 22.2681216 60.4496812)",2,,,,
"[1112764658, 1111836994]",Kristiinankatu,residential,30,False,True,135.015,"LINESTRING (22.2651132 60.4486597, 22.2649928 60.4487444, 22.2649702 60.4487602, 22.2647831 60.4488916, 22.2643846 60.4491717, 22.2643703 60.4491817, 22.2638799 60.4495262, 22.2638358 60.4495572, 22.2636987 60.4496535)","['2', '3']",,,,
"[622241148, 1119612860]",Linnankatu,secondary,30,False,False,199.23,"LINESTRING (22.2651132 60.4486597, 22.2649971 60.4486219, 22.2649293 60.4485995, 22.2647162 60.4485285, 22.2639973 60.4482737, 22.2633478 60.4480468, 22.2632432 60.4480091, 22.2631456 60.4479739, 22.2630797 60.4479507, 22.2623769 60.4477014, 22.2623148 60.4476806, 22.262149 60.4476241)",4,,,,
4306339,Aurakatu,secondary,30,False,False,115.94500000000001,"LINESTRING (22.2681216 60.4496812, 22.2682646 60.449574, 22.2683044 60.4495464, 22.2683455 60.449518, 22.268913 60.4491261, 22.2689466 60.4491016, 22.2692386 60.4489013, 22.2693435 60.4488304)",2,,,,
59651642,Linnankatu,secondary,30,False,False,200.30899999999997,"LINESTRING (22.2681216 60.4496812, 22.267929 60.4496153, 22.2678183 60.449578, 22.2676387 60.4495169, 22.2673907 60.4494326, 22.2671399 60.4493461, 22.2670798 60.4493254, 22.2669954 60.4492963, 22.2669025 60.4492642, 22.266614 60.4491648, 22.266204 60.4490241, 22.2658929 60.4489194, 22.2653338 60.4487315, 22.2652677 60.4487093, 22.2651132 60.4486597)",2,,,,
694645860,Aurakatu,unclassified,30,False,True,137.819,"LINESTRING (22.2681216 60.4496812, 22.2679763 60.4497771, 22.2678916 60.4498371, 22.2678577 60.4498612, 22.2677152 60.4499615, 22.2674867 60.4501224, 22.2671813 60.4503374, 22.2669117 60.4505273, 22.2668671 60.4505587, 22.2668207 60.4505899, 22.2666717 60.4506935)",2,,,,
"[1118382921, 1118382891, 1118382892]",Linnankatu,secondary,30,False,True,145.406,"LINESTRING (22.2681216 60.4496812, 22.2682882 60.4497369, 22.2683898 60.4497704, 22.2689153 60.4499365, 22.2690485 60.4499786, 22.2690768 60.4499875, 22.269236 60.4500435, 22.2693619 60.4500878, 22.2695764 60.450162, 22.2700953 60.4503416, 22.2701992 60.4503804, 22.2703042 60.4504227)",2,,,,
4079586,Ajurinkatu,residential,30,False,True,12.354,"LINESTRING (22.2596201 60.4556413, 22.2597247 60.4555429)",,,,,
"[1169768649, 812512302, 633967822, 1110289939, 977422332]",Humalistonkatu,tertiary,30,False,True,197.92099999999996,"LINESTRING (22.2579503 60.4514744, 22.2580697 60.451383, 22.2581107 60.4513517, 22.2581363 60.4513321, 22.2582999 60.4512069, 22.2583747 60.4511723, 22.2584739 60.4511233, 22.2587005 60.4509575, 22.2587643 60.4509109, 22.2589506 60.4507774, 22.2591623 60.4506199, 22.2592569 60.4505514, 22.2596727 60.450258, 22.2598465 60.4501353, 22.2599139 60.4500877, 22.2600139 60.4500171)","['2', '3']",,,,
