osmid,name,highway,oneway,reversed,length,geometry,junction,maxspeed,access
"[617247090, 35416310]","['Torikatu', 'Merikatu']",residential,False,"[False, True]",113.697,"LINESTRING (22.9689472 59.8219277, 22.9690751 59.8218412, 22.9695034 59.8215036, 22.9695795 59.8214516, 22.9690197 59.8212983, 22.9687896 59.8212405)",,,
617247091,Torikatu,residential,False,False,75.394,"LINESTRING (22.9689472 59.8219277, 22.9690202 59.8219625, 22.9694449 59.8224911, 22.9694876 59.8225443)",,,
1158478428,Rantakatu,residential,False,True,112.648,"LINESTRING (22.9689472 59.8219277, 22.9688103 59.8218953, 22.9670236 59.8216283)",,,
718133597,Korsmaninkatu,secondary,True,False,31.380000000000003,"LINESTRING (22.9668799 59.8263553, 22.9666647 59.8263375, 22.9665157 59.8263316, 22.9664037 59.8263223, 22.9663241 59.8263166)",,,
69885594,Vuorikatu,residential,False,True,38.592,"LINESTRING (22.9661418 59.8261147, 22.9661951 59.8260712, 22.9662347 59.8260405, 22.9665153 59.8258228)",,,
"[1025152976, 1025152977]",,secondary,True,False,9.068999999999999,"LINESTRING (22.9661418 59.8261147, 22.9662179 59.8261288, 22.9662825 59.8261535)",roundabout,,
364886187,Korsmaninkatu,secondary,False,False,230.44299999999998,"LINESTRING (22.9627405 59.8245664, 22.9633949 59.8249743, 22.9638592 59.8252393, 22.964731 59.8257075, 22.9649496 59.8257959, 22.9651839 59.825885, 22.9653443 59.8259512, 22.9656241 59.8260296)",,,
364886189,Bulevardi,secondary,False,True,84.638,"LINESTRING (22.9627405 59.8245664, 22.9629723 59.8245012, 22.9638413 59.8242403, 22.9640433 59.8241785)",,,
22814800,Nycanderinkatu,residential,False,True,135.97,"LINESTRING (22.9640433 59.8241785, 22.9639831 59.8241059, 22.9634892 59.8236017, 22.9628984 59.823101)",,,
31742465,Bulevardi,tertiary,False,True,194.653,"LINESTRING (22.9640433 59.8241785, 22.9641191 59.8241604, 22.9672813 59.8235343)",,,
364886189,Bulevardi,secondary,False,False,84.638,"LINESTRING (22.9640433 59.8241785, 22.9638413 59.8242403, 22.9629723 59.8245012, 22.9627405 59.8245664)",,,
364886190,Nycanderinkatu,secondary,False,False,86.543,"LINESTRING (22.9640433 59.8241785, 22.9641098 59.8242583, 22.9642791 59.8244749, 22.9645897 59.8248724, 22.9646162 59.8249015)",,,
