osmid,name,highway,maxspeed,oneway,reversed,length,width,geometry,lanes,ref
162072708,Jokiniementie,tertiary,40,False,False,32.981,,"LINESTRING (24.4498954 60.7174269, 24.4492985 60.7173746)",,
162072708,Jokiniementie,tertiary,40,False,True,32.981,,"LINESTRING (24.4492985 60.7173746, 24.4498954 60.7174269)",,
162072683,Kuusistontie,residential,40,False,False,232.223,6,"LINESTRING (24.4492985 60.7173746, 24.449269 60.7174362, 24.4490357 60.7178724, 24.4489043 60.7180397, 24.4487541 60.7181473, 24.4484081 60.7183264, 24.4481707 60.7184477, 24.4480191 60.7185795, 24.4478461 60.7188767, 24.4477063 60.7192609)",,
162072708,Jokiniementie,tertiary,40,False,False,124.25999999999999,,"LINESTRING (24.4492985 60.7173746, 24.447834 60.7171545, 24.4471242 60.7170321)",,
162072699,Opintie,residential,40,False,False,101.467,5,"LINESTRING (24.4471242 60.7170321, 24.4471547 60.7169637, 24.4472212 60.7168213, 24.4475193 60.7161403)",,
162072708,Jokiniementie,tertiary,40,False,False,165.834,,"LINESTRING (24.4471242 60.7170321, 24.4468063 60.7170222, 24.4466455 60.717017, 24.4461414 60.7170449, 24.4458446 60.7170613, 24.4451231 60.7171149, 24.4444662 60.7171857, 24.4442722 60.7172102, 24.4441146 60.7172253)",,
162072708,Jokiniementie,tertiary,40,False,True,124.25999999999999,,"LINESTRING (24.4471242 60.7170321, 24.447834 60.7171545, 24.4492985 60.7173746)",,
27922358,Pilpalantie,tertiary,40,False,False,130.67000000000002,,"LINESTRING (24.4417865 60.7178024, 24.4417434 60.7176528, 24.4411771 60.7170183, 24.4408405 60.7167303)",,
162072708,Jokiniementie,tertiary,40,False,True,142.27800000000002,,"LINESTRING (24.4417865 60.7178024, 24.4421193 60.7177038, 24.4434121 60.7173566, 24.4441146 60.7172253)",,
162096748,Holvitie,residential,40,False,False,181.64800000000002,,"LINESTRING (24.4417865 60.7178024, 24.4415063 60.7178692, 24.4408484 60.7179831, 24.4406378 60.7180194, 24.4402047 60.7181859, 24.4397319 60.7183651, 24.4394084 60.718538, 24.4392392 60.7187571)",,
255448105,Yhdystie,tertiary,40,False,True,120.63200000000002,,"LINESTRING (24.4417865 60.7178024, 24.4418126 60.7179783, 24.4418277 60.7181976, 24.4418575 60.718464, 24.4419796 60.7187106, 24.4420519 60.7188754)",,
27922253,Yhdystie,tertiary,40,False,False,183.067,,"LINESTRING (24.4436234 60.7217862, 24.4433425 60.7211797, 24.4431698 60.7208243, 24.4428675 60.7202624, 24.4428224 60.7201874)",2,
369141091,Lopen kantatie,primary,80,True,False,245.755,,"LINESTRING (24.4436234 60.7217862, 24.4466728 60.7216043, 24.4481121 60.7215305)",1,54
51844066,Kauppatie,residential,40,False,False,208.881,,"LINESTRING (24.4420519 60.7188754, 24.4417635 60.7189225, 24.441035 60.7190542, 24.4405305 60.7191392, 24.440352 60.719172, 24.4393966 60.7193474, 24.4393267 60.7193602, 24.4391466 60.7193933, 24.438446 60.7195219)",,
255448105,Yhdystie,tertiary,40,False,False,120.632,,"LINESTRING (24.4420519 60.7188754, 24.4419796 60.7187106, 24.4418575 60.718464, 24.4418277 60.7181976, 24.4418126 60.7179783, 24.4417865 60.7178024)",,
255448105,Yhdystie,tertiary,40,False,True,151.794,,"LINESTRING (24.4420519 60.7188754, 24.44236 60.7193832, 24.4424658 60.7195577, 24.4428224 60.7201874)",,
65537142,Kaivokuja,residential,30,False,False,51.445,,"LINESTRING (24.4325303 60.7207453, 24.4331418 60.7210983)",,
51844066,Kauppatie,residential,40,False,True,139.369,,"LINESTRING (24.4325303 60.7207453, 24.4334355 60.7205401, 24.4341091 60.7203874, 24.4348557 60.7202185)",,
71493980,Rinnetie,residential,,False,False,50.954,,"LINESTRING (24.4384597 60.7200136, 24.4383112 60.71972, 24.4382968 60.7196683, 24.438235 60.7195692)",,
72323277,Rinnetie,residential,,False,True,247.42300000000003,,"LINESTRING (24.4384597 60.7200136, 24.4386886 60.7203263, 24.4392358 60.7207159, 24.4395912 60.7209363, 24.4398395 60.7211482, 24.4399747 60.7214466, 24.4398996 60.7215843, 24.4400123 60.7217194, 24.4401571 60.7217824, 24.440369 60.7218139, 24.440569 60.7218232)",,
51844066,Kauppatie,residential,40,False,False,197.537,,"LINESTRING (24.438235 60.7195692, 24.43771 60.7196673, 24.4370853 60.7197839, 24.4366881 60.719865, 24.436555 60.719883, 24.435663 60.72005, 24.4354226 60.720095, 24.4348557 60.7202185)",,
51844066,Kauppatie,residential,40,False,True,12.683,,"LINESTRING (24.438235 60.7195692, 24.4383926 60.7195393, 24.438446 60.7195219)",,
71493980,Rinnetie,residential,,False,True,50.954,,"LINESTRING (24.438235 60.7195692, 24.4382968 60.7196683, 24.4383112 60.71972, 24.4384597 60.7200136)",,
65537142,Kaivokuja,residential,30,False,True,51.445,,"LINESTRING (24.4331418 60.7210983, 24.4325303 60.7207453)",,
51844066,Kauppatie,residential,40,False,False,139.369,,"LINESTRING (24.4348557 60.7202185, 24.4341091 60.7203874, 24.4334355 60.7205401, 24.4325303 60.7207453)",,
51844066,Kauppatie,residential,40,False,True,197.537,,"LINESTRING (24.4348557 60.7202185, 24.4354226 60.720095, 24.435663 60.72005, 24.436555 60.719883, 24.4366881 60.719865, 24.4370853 60.7197839, 24.43771 60.7196673, 24.438235 60.7195692)",,
349583222,Peltotie,residential,,False,True,115.13000000000001,,"LINESTRING (24.4348557 60.7202185, 24.4347876 60.720165, 24.4345243 60.7199266, 24.4342943 60.7196948, 24.4339011 60.7194269, 24.4337897 60.7193268)",,
162072691,Kalliotie,residential,40,False,True,159.849,4,"LINESTRING (24.4487837 60.7207418, 24.4483212 60.7194543, 24.4483364 60.7193929, 24.4483532 60.7193249)",,
162072683,Kuusistontie,residential,40,False,True,232.22299999999998,6,"LINESTRING (24.4477063 60.7192609, 24.4478461 60.7188767, 24.4480191 60.7185795, 24.4481707 60.7184477, 24.4484081 60.7183264, 24.4487541 60.7181473, 24.4489043 60.7180397, 24.4490357 60.7178724, 24.449269 60.7174362, 24.4492985 60.7173746)",,
