osmid,highway,oneway,reversed,length,lanes,name,geometry,maxspeed,ref
"[24243521, 185005429]",residential,False,True,101.05,2,Puistotie,"LINESTRING (29.8474814 62.7643492, 29.8476695 62.7643409, 29.8479529 62.7643301, 29.8487063 62.7643117, 29.8490543 62.7643032, 29.8494631 62.7642932)",,
1112380040,tertiary,False,False,118.09400000000001,2,Keskuskatu,"LINESTRING (29.8474814 62.7643492, 29.8474979 62.7644902, 29.8475219 62.7650705, 29.8475443 62.7652771, 29.8475596 62.7654105)",30,
644522724,tertiary,False,True,21.434,2,Keskuskatu,"LINESTRING (29.8481674 62.7699357, 29.8481416 62.7697433)",30,
495033559,residential,False,True,136.543,2,Kiveläntie,"LINESTRING (29.8481674 62.7699357, 29.8480135 62.7699353, 29.8462355 62.7699193, 29.8454842 62.7699126)",30,
24243535,residential,False,False,91.91,2,Puutarhatie,"LINESTRING (29.8423643 62.7681606, 29.8433171 62.7682149, 29.8441568 62.7682627)",30,
24243535,residential,False,False,195.15,2,Puutarhatie,"LINESTRING (29.8441568 62.7682627, 29.8460401 62.7683534, 29.8476058 62.7684329, 29.847858 62.7684486, 29.8479688 62.7684555)",30,
24243535,residential,False,True,91.91,2,Puutarhatie,"LINESTRING (29.8441568 62.7682627, 29.8433171 62.7682149, 29.8423643 62.7681606)",30,
65416319,residential,False,False,152.664,2,Kiveläntie,"LINESTRING (29.8441568 62.7682627, 29.8440167 62.7689611, 29.844153 62.7696298)",30,
24243535,residential,False,True,195.15,2,Puutarhatie,"LINESTRING (29.8479688 62.7684555, 29.847858 62.7684486, 29.8476058 62.7684329, 29.8460401 62.7683534, 29.8441568 62.7682627)",30,
296456475,tertiary,False,False,143.46699999999998,2,Keskuskatu,"LINESTRING (29.8479688 62.7684555, 29.8479814 62.7685492, 29.8481118 62.7695211, 29.8481416 62.7697433)",30,
296456475,tertiary,False,True,148.013,2,Keskuskatu,"LINESTRING (29.8479688 62.7684555, 29.847954 62.7682679, 29.8478069 62.7671265)",30,
24243548,residential,False,False,326.26800000000003,2,Yhdystie,"LINESTRING (29.8475596 62.7654105, 29.8477442 62.7654074, 29.8493448 62.765377, 29.8497797 62.7653689, 29.8507447 62.7653555, 29.8515455 62.7653444, 29.8528818 62.7653141, 29.8536543 62.7653131, 29.8539664 62.7653047)",30,
296456475,tertiary,False,False,44.416,2,Keskuskatu,"LINESTRING (29.8475596 62.7654105, 29.8475824 62.7656157, 29.8476178 62.765809)",30,
1112380040,tertiary,False,True,118.094,2,Keskuskatu,"LINESTRING (29.8475596 62.7654105, 29.8475443 62.7652771, 29.8475219 62.7650705, 29.8474979 62.7644902, 29.8474814 62.7643492)",30,
24243548,residential,False,True,326.268,2,Yhdystie,"LINESTRING (29.8539664 62.7653047, 29.8536543 62.7653131, 29.8528818 62.7653141, 29.8515455 62.7653444, 29.8507447 62.7653555, 29.8497797 62.7653689, 29.8493448 62.765377, 29.8477442 62.7654074, 29.8475596 62.7654105)",30,
"[629587212, 296456478]",trunk,False,False,603.827,"['2', '3']",Kajaanintie,"LINESTRING (29.8539664 62.7653047, 29.8539747 62.7654345, 29.8539768 62.7655325, 29.8540108 62.7662729, 29.854106 62.767055, 29.8542684 62.7683884, 29.8545903 62.7707269)",80,6
24243521,residential,False,False,51.338,2,Puistotie,"LINESTRING (29.8504676 62.7642505, 29.8494631 62.7642932)",,
24243521,residential,False,True,51.338,2,Puistotie,"LINESTRING (29.8494631 62.7642932, 29.8504676 62.7642505)",,
"[24243521, 185005429]",residential,False,False,101.05,2,Puistotie,"LINESTRING (29.8494631 62.7642932, 29.8490543 62.7643032, 29.8487063 62.7643117, 29.8479529 62.7643301, 29.8476695 62.7643409, 29.8474814 62.7643492)",,
41973884,residential,False,False,617.458,2,Mäntytie,"LINESTRING (29.8494631 62.7642932, 29.8494689 62.7641228, 29.8493527 62.7631704, 29.8493405 62.763088, 29.8494443 62.7629871, 29.8504486 62.7629517, 29.8520006 62.7630546, 29.8520708 62.7631189, 29.8522113 62.7642084, 29.852134 62.764292, 29.8514037 62.7646744, 29.8511719 62.7647291, 29.8506927 62.7647458, 29.8497884 62.7647773, 29.8495848 62.7647194, 29.8494631 62.7642932)",30,
41973884,residential,False,True,617.4580000000001,2,Mäntytie,"LINESTRING (29.8494631 62.7642932, 29.8495848 62.7647194, 29.8497884 62.7647773, 29.8506927 62.7647458, 29.8511719 62.7647291, 29.8514037 62.7646744, 29.852134 62.764292, 29.8522113 62.7642084, 29.8520708 62.7631189, 29.8520006 62.7630546, 29.8504486 62.7629517, 29.8494443 62.7629871, 29.8493405 62.763088, 29.8493527 62.7631704, 29.8494689 62.7641228, 29.8494631 62.7642932)",30,
65416313,residential,False,True,362.4889999999999,2,Karpalokaari,"LINESTRING (29.8523247 62.7679707, 29.8523294 62.7680635, 29.8523379 62.7682324, 29.8523453 62.7683778, 29.8523539 62.7685469, 29.8523627 62.7687218, 29.8523705 62.7688763, 29.852377 62.7690039, 29.8522789 62.769186, 29.8520207 62.7693149, 29.8518164 62.7693872, 29.8514843 62.7694744, 29.8508146 62.7696064, 29.850347 62.7696782, 29.8497726 62.7697008, 29.8483133 62.7697369, 29.8481416 62.7697433)",30,
644522724,tertiary,False,False,21.434,2,Keskuskatu,"LINESTRING (29.8481416 62.7697433, 29.8481674 62.7699357)",30,
65416313,residential,False,False,362.48900000000003,2,Karpalokaari,"LINESTRING (29.8481416 62.7697433, 29.8483133 62.7697369, 29.8497726 62.7697008, 29.850347 62.7696782, 29.8508146 62.7696064, 29.8514843 62.7694744, 29.8518164 62.7693872, 29.8520207 62.7693149, 29.8522789 62.769186, 29.852377 62.7690039, 29.8523705 62.7688763, 29.8523627 62.7687218, 29.8523539 62.7685469, 29.8523453 62.7683778, 29.8523379 62.7682324, 29.8523294 62.7680635, 29.8523247 62.7679707)",30,
296456475,tertiary,False,True,143.46699999999998,2,Keskuskatu,"LINESTRING (29.8481416 62.7697433, 29.8481118 62.7695211, 29.8479814 62.7685492, 29.8479688 62.7684555)",30,
