osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,est_width,bridge,junction
73463231,True,1,1521,Nikkiläntie,tertiary,40,False,166.765,"LINESTRING (25.2654312 60.3770653, 25.2657632 60.377015, 25.266143 60.3769707, 25.2664479 60.3769311, 25.2665662 60.3769156, 25.2668479 60.3768855, 25.2679803 60.3767471, 25.2681304 60.3767281, 25.2682232 60.3767138, 25.2682844 60.3767069, 25.2683684 60.3766918)",,,
440163398,False,2,1521,Nikkiläntie,tertiary,40,True,60.094,"LINESTRING (25.2654312 60.3770653, 25.2648433 60.3770847, 25.2643392 60.3770886)",,,
73501515,False,,,Iso Kylätie,tertiary,30,False,42.976,"LINESTRING (25.2630449 60.371996, 25.2635177 60.3723038)",,,
73501515,False,,,Iso Kylätie,tertiary,30,True,9.874,"LINESTRING (25.2630449 60.371996, 25.2629316 60.3719271)",,,
73539190,False,1,,Pieni koulupolku,residential,40,True,9.48,"LINESTRING (25.2630449 60.371996, 25.2629296 60.3720594)",2,,
"[55945825, 1222794259]",False,2,,Iso Kylätie,tertiary,30,True,153.5,"LINESTRING (25.266078 60.3739216, 25.2661252 60.3740186, 25.2661722 60.3740955, 25.2662373 60.3741693, 25.2666106 60.3745328, 25.2667538 60.3746646, 25.2667853 60.3746935, 25.2669479 60.3748511, 25.2671309 60.3750253, 25.2671752 60.3750692, 25.2672663 60.3751668)",,,
717074909,True,1,,Iso Kylätie,tertiary,30,False,33.635999999999996,"LINESTRING (25.266078 60.3739216, 25.2659947 60.3738538, 25.2659506 60.3737979, 25.2658952 60.3737376, 25.2657807 60.3736589)",,,
"[1222932577, 73496426, 26732751]",False,"['1', '2']",,Uudensillantie,tertiary,40,False,79.676,"LINESTRING (25.2702055 60.3731851, 25.2704784 60.3731711, 25.2709875 60.3731407, 25.2714113 60.3731213, 25.2716475 60.3731139)",,yes,
26732751,False,2,,Uudensillantie,tertiary,40,True,105.36600000000001,"LINESTRING (25.2702055 60.3731851, 25.2700811 60.3731915, 25.2693086 60.3732277, 25.269138 60.3732354, 25.268297 60.3732732)",,,
"[73496421, 41215326]",False,,,"['Segristie', 'Kirkkoniityntie']",residential,30,True,291.58000000000004,"LINESTRING (25.2702055 60.3731851, 25.2703232 60.3735765, 25.2703525 60.3736685, 25.2704171 60.3737613, 25.2705217 60.3738632, 25.2707555 60.3740199, 25.2708817 60.3741378, 25.2709432 60.3742199, 25.2710063 60.3743416, 25.27113 60.3747196, 25.2711334 60.3747597, 25.2710032 60.3747637, 25.2707812 60.3747795, 25.2695302 60.3748379, 25.2694019 60.3748439, 25.2692083 60.3748559)",,,
73496434,False,,,Kirkkoniityntie,residential,,False,160.098,"LINESTRING (25.2702055 60.3731851, 25.2701903 60.3731471, 25.2700254 60.372807, 25.2695483 60.3720329, 25.2693776 60.371806)",,,
"[1222932577, 73496426, 26732751]",False,"['1', '2']",,Uudensillantie,tertiary,40,True,79.67599999999999,"LINESTRING (25.2716475 60.3731139, 25.2714113 60.3731213, 25.2709875 60.3731407, 25.2704784 60.3731711, 25.2702055 60.3731851)",,yes,
73463257,False,2,,Iso Kylätie,residential,40,False,140.596,"LINESTRING (25.2695402 60.3782951, 25.2696039 60.3783996, 25.2697954 60.3786929, 25.2698225 60.378735, 25.2701014 60.3791798, 25.2703034 60.3795019)",,,
73463257,False,2,,Iso Kylätie,residential,40,True,109.135,"LINESTRING (25.2695402 60.3782951, 25.269014 60.3774438, 25.2689572 60.3773569)",,,
"[855784601, 936593229]",False,,,Jussaksentie,residential,40,False,125.245,"LINESTRING (25.2695402 60.3782951, 25.2693808 60.3783194, 25.2691593 60.3783508, 25.2674254 60.3785845, 25.2673446 60.3785965)",,,
"[936593229, 32701069]",False,,,Jussaksentie,residential,40,True,201.945,"LINESTRING (25.2695402 60.3782951, 25.2696485 60.3782786, 25.2701255 60.378206, 25.2702146 60.3781925, 25.2703653 60.3781698, 25.2712012 60.3780431, 25.2712326 60.3780375, 25.2715281 60.3779925, 25.2720201 60.3779176, 25.2721929 60.3778913, 25.2726775 60.3778175, 25.2728648 60.377789, 25.2730517 60.3777605)",,,
23478441,False,2,,Metsätie,residential,40,True,75.106,"LINESTRING (25.2576174 60.3771497, 25.2564814 60.3767743)",,,
481115271,False,,,Suursuontie,residential,40,True,39.65,"LINESTRING (25.2576174 60.3771497, 25.2580447 60.3768624)",,,
481115271,False,,,Suursuontie,residential,40,False,30.032,"LINESTRING (25.2576174 60.3771497, 25.2575734 60.3771818, 25.2573106 60.3773732)",,,
73501515,False,,,Iso Kylätie,tertiary,30,True,29.31,"LINESTRING (25.2638329 60.3725164, 25.2635177 60.3723038)",,,
73501515,False,,,Iso Kylätie,tertiary,30,False,122.55399999999999,"LINESTRING (25.2638329 60.3725164, 25.2639748 60.3726055, 25.264234 60.3727683, 25.2648398 60.3730863, 25.2650751 60.3731925, 25.2653309 60.3732943, 25.2653705 60.3733097)",,,
450133567,False,,,Eteläinen koulutie,residential,,False,316.758,"LINESTRING (25.2638329 60.3725164, 25.2636753 60.3725706, 25.2630447 60.3727842, 25.2624103 60.3729997, 25.2622536 60.3730687, 25.2620911 60.3731669, 25.2618749 60.3733081, 25.2617535 60.3734166, 25.2616863 60.3734974, 25.2616354 60.3735837, 25.2613304 60.3742001, 25.261163 60.3744312, 25.2610252 60.3745738, 25.2608459 60.3747272, 25.2607738 60.3747888)",,,
32701112,False,,,Suursuonkuja,residential,,False,155.896,"LINESTRING (25.2607738 60.3747888, 25.2602995 60.3751717, 25.2601777 60.37527, 25.2598327 60.3755295, 25.2592469 60.3759701)",,,
105919643,False,,,Puistikkotie,residential,,False,205.64800000000002,"LINESTRING (25.2607738 60.3747888, 25.2606254 60.3747659, 25.2587967 60.3744831, 25.2585501 60.3744382, 25.2572122 60.374223)",,,
450133567,False,,,Eteläinen koulutie,residential,,True,316.758,"LINESTRING (25.2607738 60.3747888, 25.2608459 60.3747272, 25.2610252 60.3745738, 25.261163 60.3744312, 25.2613304 60.3742001, 25.2616354 60.3735837, 25.2616863 60.3734974, 25.2617535 60.3734166, 25.2618749 60.3733081, 25.2620911 60.3731669, 25.2622536 60.3730687, 25.2624103 60.3729997, 25.2630447 60.3727842, 25.2636753 60.3725706, 25.2638329 60.3725164)",,,
32761807,False,,,Isotalontie,residential,,True,135.209,"LINESTRING (25.2655729 60.3788183, 25.2656382 60.3789162, 25.2657263 60.3790482, 25.2658054 60.3791669, 25.2659518 60.379413, 25.2659977 60.3794901, 25.2661417 60.3797323, 25.2661597 60.3797625, 25.2662732 60.3799529, 25.2662902 60.3799813)",,,
855784601,False,,,Jussaksentie,residential,40,True,100.767,"LINESTRING (25.2655729 60.3788183, 25.2656859 60.3788217, 25.2661628 60.3787609, 25.2665402 60.3787106, 25.2673446 60.3785965)",,,
