osmid,oneway,ref,name,highway,reversed,length,bridge,lanes,geometry,maxspeed,junction
116404322,True,2821,Hämeentie,secondary,False,11.342,,,"LINESTRING (23.6238577 60.814478, 23.6240449 60.8144325)",,
"[51356160, 51356161, 9615114]",True,2821,Rautatienkatu,secondary,False,192.432,yes,1,"LINESTRING (23.6238577 60.814478, 23.622898 60.8141188, 23.6222568 60.8138512, 23.6213328 60.8134868, 23.6212334 60.8134499, 23.6210735 60.8134077)",,
"[227713338, 72126061]",False,,Wahreninkatu,residential,True,108.082,,,"LINESTRING (23.6238577 60.814478, 23.6237108 60.8145475, 23.6236472 60.8145679, 23.6231228 60.8147378, 23.6222395 60.8150433)",,
227713334,True,,Vapaudenkatu,tertiary,False,140.81900000000002,,2,"LINESTRING (23.6325205 60.8148024, 23.632245 60.8148694, 23.6305721 60.8154723, 23.6304042 60.815533)",,
227713366,True,2821,Hämeentie,secondary,False,11.543,,,"LINESTRING (23.6325205 60.8148024, 23.6324118 60.8147769, 23.6323418 60.8147476)",,
"[227713353, 227713332]",True,2821,Hämeentie,secondary,False,44.135000000000005,,,"LINESTRING (23.6318136 60.8145205, 23.6320666 60.8145427, 23.6322164 60.8145771, 23.6323103 60.8146053, 23.6323662 60.8146278, 23.6324901 60.8147096)",,
227713343,False,2821,Hämeentie,secondary,True,150.341,,2,"LINESTRING (23.6318136 60.8145205, 23.6312743 60.8144707, 23.6308424 60.8144434, 23.6305184 60.8144347, 23.629904 60.8144356, 23.6292095 60.8144395, 23.6290547 60.8144385)",,
25911897,False,,Sibeliuksenkatu,residential,False,138.013,,,"LINESTRING (23.6290547 60.8144385, 23.6290579 60.814534, 23.6291005 60.8146976, 23.6291422 60.814725, 23.6301801 60.8153973, 23.630244 60.8154388, 23.6303094 60.8154814)",,
227713343,False,2821,Hämeentie,secondary,False,150.341,,2,"LINESTRING (23.6290547 60.8144385, 23.6292095 60.8144395, 23.629904 60.8144356, 23.6305184 60.8144347, 23.6308424 60.8144434, 23.6312743 60.8144707, 23.6318136 60.8145205)",,
227713343,False,2821,Hämeentie,secondary,True,119.335,,2,"LINESTRING (23.6290547 60.8144385, 23.6288776 60.814439, 23.626854 60.8144492)",,
227713343,False,2821,Hämeentie,secondary,False,119.335,,2,"LINESTRING (23.626854 60.8144492, 23.6288776 60.814439, 23.6290547 60.8144385)",,
227713347,True,2821,Hämeentie,secondary,False,36.285,,,"LINESTRING (23.626854 60.8144492, 23.6266035 60.8144847, 23.6264832 60.8144842, 23.6261952 60.8144855)",,
227713330,True,2821,Hämeentie,secondary,False,5.771,,,"LINESTRING (23.6341342 60.814695, 23.6340278 60.8146963)",,
227713360,True,,I linja,residential,False,19.43,,,"LINESTRING (23.6341342 60.814695, 23.634144 60.8147425, 23.6341493 60.814778, 23.6341519 60.8148694)",,
25911791,False,,Kehräämönkatu,residential,False,157.74,,,"LINESTRING (23.6221714 60.8162016, 23.6224018 60.8158229, 23.6223929 60.8157262, 23.6229508 60.815496, 23.6223344 60.8150979, 23.6222395 60.8150433)",,
25911791,False,,Kehräämönkatu,residential,True,157.74,,,"LINESTRING (23.6222395 60.8150433, 23.6223344 60.8150979, 23.6229508 60.815496, 23.6223929 60.8157262, 23.6224018 60.8158229, 23.6221714 60.8162016)",,
"[227713338, 72126061]",False,,Wahreninkatu,residential,False,108.082,,,"LINESTRING (23.6222395 60.8150433, 23.6231228 60.8147378, 23.6236472 60.8145679, 23.6237108 60.8145475, 23.6238577 60.814478)",,
72126061,False,,Wahreninkatu,residential,True,73.349,,,"LINESTRING (23.6222395 60.8150433, 23.6216556 60.8152588, 23.6214631 60.8152848, 23.6210545 60.8152359)",,
"[25911842, 25911835]",False,,"['Lindvallinkatu', 'Pispalankatu']",residential,"[False, True]",433.188,,,"LINESTRING (23.6336754 60.8198929, 23.6337622 60.8198279, 23.6346512 60.819162, 23.6348716 60.8189003, 23.6350879 60.8186434, 23.6355929 60.8180438, 23.6357365 60.8180203, 23.6358801 60.818033, 23.6366926 60.8183275, 23.6383312 60.8189197, 23.6384086 60.8189471, 23.6386327 60.8190265)",,
1222934310,False,,Urheilukentänkatu,tertiary,False,32.760999999999996,,2,"LINESTRING (23.6336754 60.8198929, 23.6333911 60.8198291, 23.6331143 60.8197848)",40,
25911897,False,,Sibeliuksenkatu,residential,False,7.703,,,"LINESTRING (23.6303094 60.8154814, 23.6304042 60.815533)",,
"[227713364, 25911893]",True,,Vapaudenkatu,tertiary,False,137.317,,2,"LINESTRING (23.6303094 60.8154814, 23.6305014 60.8154242, 23.631951 60.8149195, 23.6321201 60.8148448, 23.6321741 60.814821, 23.6323418 60.8147476)",,
25911897,False,,Sibeliuksenkatu,residential,True,138.013,,,"LINESTRING (23.6303094 60.8154814, 23.630244 60.8154388, 23.6301801 60.8153973, 23.6291422 60.814725, 23.6291005 60.8146976, 23.6290579 60.814534, 23.6290547 60.8144385)",,
