osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,tunnel,junction
31265406,False,2,3933,Saimaantie,tertiary,40,False,61.202,"LINESTRING (28.5056532 61.1194433, 28.5050373 61.1198143, 28.5049403 61.1198727)",,
31265406,False,2,3933,Saimaantie,tertiary,40,True,113.447,"LINESTRING (28.5056532 61.1194433, 28.5058059 61.119354, 28.5063658 61.1190265, 28.5068268 61.1187559, 28.5070138 61.1186634)",,
218245608,False,,3933,Saimaantie,tertiary,40,True,128.415,"LINESTRING (28.4928696 61.1265586, 28.4930276 61.1265229, 28.4932916 61.1264633, 28.4945684 61.1261749, 28.4950387 61.1260722)",,
31099711,True,2,6,Kuutonen,trunk,100,False,170.619,"LINESTRING (28.5014411 61.1225319, 28.5020917 61.1228307, 28.5037879 61.1235661)",,
214651659,True,1,,,trunk_link,,False,125.79299999999999,"LINESTRING (28.5014411 61.1225319, 28.502083 61.1227293, 28.5023535 61.1227811, 28.5025118 61.1227946, 28.5027287 61.1227934, 28.5028895 61.1227613, 28.5030298 61.122712, 28.5031753 61.1226356, 28.5033822 61.122499)",,
30914979,False,,,Evakkotie,residential,,True,137.982,"LINESTRING (28.499078 61.1240758, 28.4988034 61.1239734, 28.4970686 61.1233024)",,
218245608,False,,3933,Saimaantie,tertiary,40,False,143.411,"LINESTRING (28.499078 61.1240758, 28.4977304 61.1249594, 28.4974668 61.1251036)",,
218245608,False,,3933,Saimaantie,tertiary,40,True,117.061,"LINESTRING (28.499078 61.1240758, 28.4994869 61.1237846, 28.5002711 61.1231948)",,
"[31103472, 218245612]",False,,,"['Paavontie', 'Väinöntie']",residential,,True,430.611,"LINESTRING (28.4961628 61.1191106, 28.4961101 61.1192234, 28.4960922 61.1192585, 28.502414 61.1212498, 28.5025497 61.1212874)",,
31265406,False,2,3933,Saimaantie,tertiary,40,False,99.044,"LINESTRING (28.5049403 61.1198727, 28.5038885 61.1204917, 28.5037771 61.1205638)",,
31265406,False,2,3933,Saimaantie,tertiary,40,True,61.202,"LINESTRING (28.5049403 61.1198727, 28.5050373 61.1198143, 28.5056532 61.1194433)",,
221181202,False,,,Kammarintie,residential,,False,134.228,"LINESTRING (28.5049403 61.1198727, 28.5050757 61.1199168, 28.5064695 61.1203703, 28.5067377 61.1204151, 28.5069668 61.1204269, 28.5071073 61.1204341)",,
214651651,True,1,,,trunk_link,,False,131.74,"LINESTRING (28.5033822 61.122499, 28.5031033 61.1229144, 28.5031237 61.1230684, 28.5033852 61.123305, 28.5037879 61.1235661)",,
218245613,False,,,,trunk_link,,True,136.072,"LINESTRING (28.5033822 61.122499, 28.5035053 61.1222588, 28.503546 61.1220918, 28.5034966 61.1218722, 28.5034087 61.1216992, 28.5032585 61.1215852, 28.5030587 61.1214714, 28.5028601 61.1213916)",,
30914979,False,,,Evakkotie,residential,,True,47.434,"LINESTRING (28.4970686 61.1233024, 28.4963883 61.1230303)",,
30914979,False,,,Evakkotie,residential,,False,137.982,"LINESTRING (28.4970686 61.1233024, 28.4988034 61.1239734, 28.499078 61.1240758)",,
34047648,False,,,Kesolantie,residential,,False,90.655,"LINESTRING (28.5071073 61.1204341, 28.5070206 61.1212483)",,
34047648,False,,,Kesolantie,residential,,True,202.40699999999998,"LINESTRING (28.5071073 61.1204341, 28.5070855 61.1203921, 28.5072868 61.1189618, 28.507292 61.1188437, 28.5072123 61.1187836, 28.507129 61.1187279, 28.5070138 61.1186634)",,
221181202,False,,,Kammarintie,residential,,True,134.228,"LINESTRING (28.5071073 61.1204341, 28.5069668 61.1204269, 28.5067377 61.1204151, 28.5064695 61.1203703, 28.5050757 61.1199168, 28.5049403 61.1198727)",,
34047648,False,,,Kesolantie,residential,,False,66.887,"LINESTRING (28.5072925 61.1230758, 28.5071327 61.1231202, 28.506971 61.1232036, 28.5065039 61.1235318)",,
34047648,False,,,Kesolantie,residential,,True,205.08499999999998,"LINESTRING (28.5072925 61.1230758, 28.5071727 61.1229659, 28.5071287 61.1227538, 28.5070229 61.1218909, 28.5070206 61.1212483)",,
