osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref,junction,bridge,width
76987275,,Ahlströmintie,unclassified,,False,False,110.507,"LINESTRING (25.1072712 64.6654633, 25.1071851 64.666016, 25.1071897 64.666295, 25.1072206 64.6663766, 25.1072666 64.6664523)",,,,
"[71014699, 76987275, 71014703, 76987354, 42728414]",1,Ahlströmintie,unclassified,,False,True,250.05499999999998,"LINESTRING (25.1072712 64.6654633, 25.1073021 64.6652602, 25.1072911 64.6651946, 25.1072485 64.6651368, 25.1071864 64.6650925, 25.1070624 64.6650464, 25.1069289 64.6650183, 25.1064757 64.6649637, 25.1060276 64.6649128, 25.1056299 64.6648698, 25.1034769 64.6646192, 25.1034445 64.6646148, 25.1030918 64.6645671, 25.1030235 64.6645591)",,,yes,
"[76987253, 1006736021]",2,Tuomiojantie,tertiary,"['40', '50']",False,False,200.29600000000002,"LINESTRING (25.0963866 64.6630665, 25.0965318 64.6631746, 25.096972 64.6634517, 25.0971853 64.6635616, 25.0974275 64.6636715, 25.0976754 64.663775, 25.0977141 64.6637912, 25.0979572 64.6638767, 25.0983148 64.6640027, 25.0984687 64.6640537, 25.0986522 64.6641117, 25.0988454 64.6641701, 25.0989938 64.6642129, 25.0991972 64.6642539, 25.0993874 64.6642885)",8121,,,
76987253,2,Tuomiojantie,tertiary,40,False,True,310.86300000000006,"LINESTRING (25.0963866 64.6630665, 25.0962542 64.6629666, 25.0959467 64.6627115, 25.0953399 64.6621587, 25.0950396 64.6619066, 25.0948737 64.661782, 25.0945906 64.661595, 25.09433 64.6614319, 25.0941604 64.6613371, 25.0939368 64.6612242, 25.0936878 64.6611117, 25.09343 64.6609976, 25.0932263 64.6609156, 25.092945 64.6608236, 25.0927878 64.6607734)",8121,,,
76987313,,Asemantie,tertiary,50,False,False,267.215,"LINESTRING (25.0963866 64.6630665, 25.0966008 64.6630083, 25.0968245 64.6629374, 25.0971083 64.662835, 25.0974497 64.6627133, 25.0977047 64.6625984, 25.0978844 64.6625058, 25.0979276 64.6624786, 25.0980317 64.6624131, 25.0981648 64.6623063, 25.0983338 64.6621249, 25.098521 64.6618729, 25.0987896 64.6614611, 25.0989436 64.661163, 25.0989123 64.6611035, 25.0988811 64.6610441)",8123,,,
217692856,2,,residential,20,False,True,44.357,"LINESTRING (25.0963866 64.6630665, 25.0961984 64.6631168, 25.0957567 64.663203, 25.0955555 64.6632459)",,,,
42728406,2,Siikasavontie,residential,50,False,False,81.441,"LINESTRING (25.1005541 64.6660216, 25.1006858 64.6659367, 25.101242 64.6655783, 25.1015025 64.6654119)",,,,
42728406,2,Siikasavontie,residential,50,False,True,55.908,"LINESTRING (25.1005541 64.6660216, 25.1003985 64.666121, 25.1003381 64.6661596, 25.1000411 64.6663492, 25.0999 64.6664393)",,,,
217692764,,Ruukinkuja,residential,,False,False,39.873,"LINESTRING (25.1005541 64.6660216, 25.1003957 64.6659832, 25.1003532 64.6659729, 25.0998486 64.6658506, 25.0998249 64.6658449)",,,,
86299131,,Rapakontie,residential,,False,True,111.037,"LINESTRING (25.0896358 64.6618227, 25.0905304 64.6619901, 25.0917446 64.6622494)",,,,3
217692720,,Kyyräntie,residential,,False,True,190.625,"LINESTRING (25.0896358 64.6618227, 25.0900398 64.6616274, 25.092554 64.660851, 25.0927878 64.6607734)",,,,3
217692791,,Virastotie,residential,20,False,True,97.00299999999999,"LINESTRING (25.0975456 64.6650422, 25.0968477 64.6646364, 25.0966487 64.6645207, 25.0964626 64.6644125, 25.0963372 64.6643396)",,,,
