osmid,name,highway,maxspeed,oneway,reversed,length,lanes,ref,geometry,bridge,access,junction,width,tunnel
49273902,Kirkkokatu,residential,40,False,True,10.989,,,"LINESTRING (25.6620066 60.9845644, 25.6622057 60.9845434)",,,,,
244673736,Vesijärvenkatu,primary,40,True,False,108.53200000000001,2,167,"LINESTRING (25.6620066 60.9845644, 25.6619454 60.98444, 25.6617202 60.9838095, 25.6616468 60.9836043)",,,,,
"[1192924634, 49273899]",Kirkkokatu,residential,30,False,False,141.553,2,,"LINESTRING (25.6620066 60.9845644, 25.6618412 60.9845833, 25.661729 60.9845956, 25.6594343 60.9848168)",,,,,
1120162157,Vesijärvenkatu,primary,50,True,False,11.3,2,167,"LINESTRING (25.6592005 60.9784488, 25.6592698 60.9785447)",,,,,
1077457555,Loviisankatu,primary,,True,False,11.515,2,,"LINESTRING (25.6592698 60.9785447, 25.6590757 60.9785878)",,,,,
"[1077457557, 35319102]",Vesijärvenkatu,primary,"['40', '50']",True,False,175.877,2,167,"LINESTRING (25.6592698 60.9785447, 25.6593474 60.9786463, 25.6598101 60.9791326, 25.660049 60.9794271, 25.6601 60.9794906, 25.660146 60.9795543, 25.6603939 60.9798975, 25.6604715 60.9800135)",,,,,
36947892,Karjalankatu,secondary,,True,False,12.859,,,"LINESTRING (25.6693958 60.9809388, 25.6695769 60.9808636)",,,,,
39017842,Oikokatu,residential,,True,False,50.217,,,"LINESTRING (25.6693958 60.9809388, 25.6689775 60.9808347, 25.6685544 60.9807461)",,,,,
39017843,Oikokatu,residential,,True,False,24.768,,,"LINESTRING (25.6693958 60.9809388, 25.6693737 60.9810026, 25.6693352 60.9810578, 25.6692918 60.981097, 25.6692379 60.9811457)",,,,,
35423498,Saimaankatu,secondary,,True,False,39.938,,,"LINESTRING (25.6669743 60.9823392, 25.6667325 60.9821879, 25.6666092 60.982145, 25.66643 60.9821089)",,,,,
479469950,Saimaankatu,secondary,,True,False,43.001999999999995,3,,"LINESTRING (25.6669743 60.9823392, 25.6668803 60.9820709, 25.6668324 60.9819587)",,,,,
479469950,Saimaankatu,secondary,,True,False,11.226,3,,"LINESTRING (25.6668324 60.9819587, 25.6667886 60.98186)",,,,,
39017841,Aleksanterinkatu,secondary,50,True,False,27.387,2,,"LINESTRING (25.6668324 60.9819587, 25.6666518 60.9820262, 25.66643 60.9821089)",,,,,
220850690,Kauppakatu,tertiary,40,False,True,8.689,,,"LINESTRING (25.6646647 60.9823742, 25.6646299 60.9822979)",,,,,
48977884,Kauppakatu,tertiary,40,False,False,107.954,,,"LINESTRING (25.6646647 60.9823742, 25.6647158 60.982502, 25.6649701 60.9832219, 25.6650129 60.9833302)",,,,,
220850687,Aleksanterinkatu,secondary,40,True,False,41.14,2,,"LINESTRING (25.6646647 60.9823742, 25.6644315 60.9823864, 25.6641388 60.9823994, 25.6639046 60.9823972)",,,,,
221958084,Kirkkokatu,residential,40,True,False,7.733,,,"LINESTRING (25.6652502 60.9842311, 25.665391 60.984218)",,,,,
"[221958091, 221958094, 221958046]",Kauppakatu,tertiary,40,True,False,47.699,,,"LINESTRING (25.6652502 60.9842311, 25.6652082 60.9841193, 25.6651808 60.9840354, 25.6651669 60.9839503, 25.6651627 60.9838053)",,,,,
