osmid,oneway,lanes,name,highway,reversed,length,geometry,ref,width,junction,bridge
27794252,True,4,Boulevard de l'Indépendance,primary,False,102.133,"LINESTRING (2.1123127 13.5229324, 2.1132123 13.522652)",,,,
38652284,False,,Rue LI - 18,residential,False,88.041,"LINESTRING (2.1123127 13.5229324, 2.1123026 13.5228435, 2.1123072 13.5228081, 2.112316 13.5227783, 2.1123381 13.522745, 2.1127437 13.5222981)",,,,
142841829,False,2,Avenue Martin Luther King,tertiary,False,319.747,"LINESTRING (2.1068054 13.5214817, 2.1067075 13.5220194, 2.1065721 13.522614, 2.1063192 13.5236179, 2.1062631 13.5238769, 2.1062476 13.5241294, 2.1062558 13.5242985)",Rue PL - 1,,,
27809293,False,,Rue de la Magia,unclassified,False,43.159,"LINESTRING (2.1067411 13.5280148, 2.1063419 13.528012)",,,,
27809293,False,,Rue de la Magia,unclassified,True,11.612,"LINESTRING (2.1067411 13.5280148, 2.1068483 13.5280083)",,,,
278473311,True,,Boulevard du Zarmaganda,primary,False,80.112,"LINESTRING (2.1067411 13.5280148, 2.1067035 13.5277227, 2.106638 13.5273014)",N 24,8,,
163995462,False,,Rue IB - 20,residential,False,36.11,"LINESTRING (2.1061247 13.5292913, 2.1064586 13.5292828)",,,,
163995462,False,,Rue IB - 20,residential,True,17.636,"LINESTRING (2.1061247 13.5292913, 2.1059616 13.5292945)",,,,
163995462,False,,Rue IB - 20,residential,True,36.11,"LINESTRING (2.1064586 13.5292828, 2.1061247 13.5292913)",,,,
163995462,False,,Rue IB - 20,residential,False,52.856,"LINESTRING (2.1054735 13.5293219, 2.1059616 13.5292945)",,,,
193679222,False,2,Rue Li - 2,unclassified,True,54.623,"LINESTRING (2.111176 13.5210423, 2.1113226 13.5205722)",,,,
193679222,False,2,Rue Li - 2,unclassified,False,30.707,"LINESTRING (2.111176 13.5210423, 2.111162 13.5211698, 2.1111627 13.5212475, 2.1111744 13.5213168)",,,,
583532532,True,,Rue Li - 2,unclassified,False,48.119,"LINESTRING (2.1114443 13.5217469, 2.1114792 13.521876, 2.1115087 13.5219581, 2.1115619 13.522164)",,4,,
942827072,True,2,,trunk,False,14.778,"LINESTRING (2.1114443 13.5217469, 2.1114096 13.5217756, 2.1113677 13.5217929, 2.1113223 13.5217972)",,,roundabout,
319542458,False,,Rue LI - 16,residential,False,89.105,"LINESTRING (2.1117824 13.5225449, 2.1123308 13.5219467)",,,,
672289002,False,,Rue ide Kabekoira,unclassified,False,58.983,"LINESTRING (2.1117824 13.5225449, 2.1120501 13.5230071)",,,,
672289002,False,,Rue ide Kabekoira,unclassified,True,48.602,"LINESTRING (2.1117824 13.5225449, 2.1115619 13.522164)",,,,
942827068,True,,,trunk,False,11.440999999999999,"LINESTRING (2.109983 13.5237541, 2.1099653 13.5238025, 2.1099349 13.5238447)",,6,roundabout,
449328988,True,,Boulevard du Zarmaganda,primary,False,55.429,"LINESTRING (2.1063952 13.5249339, 2.1064646 13.5254278)",N 24,8,,
142658241,True,1,Boulevard de l'Indépendance,trunk,False,42.127,"LINESTRING (2.1067613 13.5246086, 2.1065801 13.5246142, 2.1063718 13.5246194)",,8,,
142658244,True,,,trunk_link,False,57.891,"LINESTRING (2.1067613 13.5246086, 2.1066295 13.5246542, 2.1065569 13.5246844, 2.1064999 13.5247201, 2.1064735 13.5247472, 2.1064503 13.524775, 2.106423 13.5248252, 2.1063952 13.5249339)",,,,
142841829,False,2,Avenue Martin Luther King,tertiary,True,319.747,"LINESTRING (2.1062558 13.5242985, 2.1062476 13.5241294, 2.1062631 13.5238769, 2.1063192 13.5236179, 2.1065721 13.522614, 2.1067075 13.5220194, 2.1068054 13.5214817)",Rue PL - 1,,,
448227052,True,1,Boulevard du Zarmaganda,tertiary,False,23.454,"LINESTRING (2.1062558 13.5242985, 2.1062849 13.5244287, 2.1062927 13.5244561, 2.1063103 13.5245023)",N 24,4,,
27794252,True,4,Boulevard de l'Indépendance,primary,False,29.58,"LINESTRING (2.1120501 13.5230071, 2.1123127 13.5229324)",,,,
672289002,False,,Rue ide Kabekoira,unclassified,True,58.983,"LINESTRING (2.1120501 13.5230071, 2.1117824 13.5225449)",,,,
"[320045272, 167908072, 142658248]",True,"['2', '4']",Boulevard de l'Indépendance,primary,False,271.89099999999996,"LINESTRING (2.1123769 13.5230073, 2.1116093 13.5232529, 2.1109486 13.5234634, 2.1107148 13.5235333, 2.1104843 13.5235986, 2.1103285 13.5236366, 2.110167 13.5236976, 2.109983 13.5237541)",N 1,,,yes
