osmid,highway,oneway,reversed,length,geometry,name,junction
255018618,residential,False,True,183.932,"LINESTRING (7.9905854 13.7560668, 7.9890718 13.7553087)",,
284313537,secondary,False,True,61.659,"LINESTRING (7.9905854 13.7560668, 7.9905822 13.7555123)",,
"[284313537, 445524334]",secondary,False,False,197.875,"LINESTRING (7.9905854 13.7560668, 7.9905893 13.7567614, 7.9905941 13.7576077, 7.9905954 13.7578463)",,
254800710,residential,False,False,108.687,"LINESTRING (7.9886802 13.7562091, 7.9890718 13.7553087)",,
255018625,residential,False,False,122.95,"LINESTRING (7.9886802 13.7562091, 7.9878445 13.7554583)",,
255018625,residential,False,True,78.078,"LINESTRING (7.9886802 13.7562091, 7.9892106 13.7566862)",,
255018625,residential,False,False,195.221,"LINESTRING (7.9905257 13.7578906, 7.9895352 13.7569781, 7.9892106 13.7566862)",,
445524333,secondary,True,False,9.182,"LINESTRING (7.9905257 13.7578906, 7.9905582 13.7578601, 7.9905954 13.7578463)",Rond point Tribune,roundabout
254800724,residential,False,False,13.82,"LINESTRING (7.9898741 13.7527207, 7.9899419 13.7526153)",,
254800724,residential,False,True,64.654,"LINESTRING (7.9898741 13.7527207, 7.9895569 13.7532138)",,
284299106,residential,False,True,116.731,"LINESTRING (7.9898741 13.7527207, 7.9888257 13.7524657)",,
445524333,secondary,True,False,14.646,"LINESTRING (7.9907115 13.7579571, 7.9906959 13.7579983, 7.9906634 13.7580288, 7.9906205 13.7580427)",Rond point Tribune,roundabout
246814298,residential,False,False,62.97,"LINESTRING (7.9860083 13.7555519, 7.9860274 13.7561179)",,
246814298,residential,False,True,62.614,"LINESTRING (7.9860083 13.7555519, 7.9859894 13.7549891)",,
374266723,residential,False,False,196.229,"LINESTRING (7.9860083 13.7555519, 7.987788 13.7559069)",,
374266669,residential,False,False,50.254,"LINESTRING (7.987788 13.7559069, 7.9878445 13.7554583)",,
374266669,residential,False,True,60.262,"LINESTRING (7.987788 13.7559069, 7.9877234 13.7564452)",,
374266723,residential,False,True,196.229,"LINESTRING (7.987788 13.7559069, 7.9860083 13.7555519)",,
246814280,residential,False,True,158.76,"LINESTRING (7.9905555 13.7596807, 7.9890861 13.7597195)",,
284291273,secondary,False,True,99.218,"LINESTRING (7.9905555 13.7596807, 7.9905858 13.7587889)",Route Mayahi,
374266515,unclassified,False,False,53.437,"LINESTRING (7.9875651 13.7592554, 7.9875457 13.7587752)",,
374266515,unclassified,False,True,57.12,"LINESTRING (7.9875651 13.7592554, 7.9875858 13.7597687)",,
374266523,residential,False,True,152.376,"LINESTRING (7.9875651 13.7592554, 7.9861567 13.7593359)",,
374266523,residential,False,False,152.376,"LINESTRING (7.9861567 13.7593359, 7.9875651 13.7592554)",,
983659203,residential,False,False,53.299,"LINESTRING (7.9861567 13.7593359, 7.9861857 13.7598144)",,
983659203,residential,False,True,58.734,"LINESTRING (7.9861567 13.7593359, 7.9861249 13.7588086)",,
374266515,unclassified,False,False,70.797,"LINESTRING (7.9875457 13.7587752, 7.98752 13.758139)",,
374266515,unclassified,False,True,53.437,"LINESTRING (7.9875457 13.7587752, 7.9875651 13.7592554)",,
374266563,residential,False,True,153.498,"LINESTRING (7.9875457 13.7587752, 7.9861249 13.7588086)",,
374266563,residential,False,False,153.498,"LINESTRING (7.9861249 13.7588086, 7.9875457 13.7587752)",,
983659203,residential,False,False,58.734,"LINESTRING (7.9861249 13.7588086, 7.9861567 13.7593359)",,
983659203,residential,False,True,68.08,"LINESTRING (7.9861249 13.7588086, 7.9860879 13.7581974)",,
246814282,residential,False,False,58.812,"LINESTRING (7.9865885 13.7567861, 7.9871261 13.7568702)",,
246814282,residential,False,True,59.237,"LINESTRING (7.9865885 13.7567861, 7.986047 13.7567015)",,
374266613,residential,False,True,98.721,"LINESTRING (7.9865885 13.7567861, 7.9866128 13.7576736)",,
374266615,residential,False,True,50.274,"LINESTRING (7.9875798 13.7576409, 7.9871146 13.7576565)",,
374266669,residential,False,False,76.461,"LINESTRING (7.9875798 13.7576409, 7.9876618 13.7569579)",,
374266669,residential,False,True,55.762,"LINESTRING (7.9875798 13.7576409, 7.98752 13.758139)",,
374266614,residential,False,False,87.442,"LINESTRING (7.9871146 13.7576565, 7.9871261 13.7568702)",,
374266615,residential,False,False,50.274,"LINESTRING (7.9871146 13.7576565, 7.9875798 13.7576409)",,
374266615,residential,False,True,54.23,"LINESTRING (7.9871146 13.7576565, 7.9866128 13.7576736)",,
374266613,residential,False,False,98.721,"LINESTRING (7.9866128 13.7576736, 7.9865885 13.7567861)",,
374266615,residential,False,False,54.23,"LINESTRING (7.9866128 13.7576736, 7.9871146 13.7576565)",,
374266615,residential,False,True,58.218,"LINESTRING (7.9866128 13.7576736, 7.9860741 13.7576919)",,
246814298,residential,False,False,56.229,"LINESTRING (7.9860741 13.7576919, 7.9860879 13.7581974)",,
374266615,residential,False,False,58.218,"LINESTRING (7.9860741 13.7576919, 7.9866128 13.7576736)",,
246814298,residential,False,True,110.167,"LINESTRING (7.9860741 13.7576919, 7.9860721 13.7576191, 7.986047 13.7567015)",,
246814298,residential,False,False,64.928,"LINESTRING (7.9860274 13.7561179, 7.986047 13.7567015)",,
246814298,residential,False,True,62.97,"LINESTRING (7.9860274 13.7561179, 7.9860083 13.7555519)",,
374266716,residential,False,False,186.758,"LINESTRING (7.9860274 13.7561179, 7.9877234 13.7564452)",,
374266669,residential,False,False,60.262,"LINESTRING (7.9877234 13.7564452, 7.987788 13.7559069)",,
374266669,residential,False,True,39.564,"LINESTRING (7.9877234 13.7564452, 7.9876809 13.7567986)",,
374266716,residential,False,True,186.758,"LINESTRING (7.9877234 13.7564452, 7.9860274 13.7561179)",,
246814298,residential,False,False,62.614,"LINESTRING (7.9859894 13.7549891, 7.9860083 13.7555519)",,
