osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,maxspeed,bridge,access
24830451,Maskavas iela,residential,False,False,206.188,"LINESTRING (26.2212859 56.8473924, 26.222248 56.84798, 26.2235242 56.8487852)",,,,,
793502500,Lazdonas iela,secondary,False,False,197.558,"LINESTRING (26.2212859 56.8473924, 26.2206769 56.8477227, 26.220433 56.8478487, 26.2201789 56.8479647, 26.218815 56.8485419)",P84,,,,
8114252,Rīgas iela,secondary,False,False,71.191,"LINESTRING (26.2168616 56.8494394, 26.2167692 56.8494149, 26.2157547 56.8492322)",P37,2,50,,
207314833,Lazdonas iela,secondary,True,False,31.429,"LINESTRING (26.2168616 56.8494394, 26.2169883 56.8493659, 26.2171545 56.849276, 26.2172289 56.8492408)",P84,,,,
887989300,Saules iela,secondary,False,True,60.099999999999994,"LINESTRING (26.2168616 56.8494394, 26.2170301 56.8495261, 26.2174305 56.8497766, 26.2175283 56.8498378)",P37;P84,,,,
62782697,Orehovozujevas iela,residential,False,False,129.078,"LINESTRING (26.2238955 56.8540723, 26.2227034 56.8543702, 26.2219552 56.8545432)",,,,,
793484378,Saules iela,secondary,False,False,96.163,"LINESTRING (26.2238955 56.8540723, 26.2237106 56.8539102, 26.2229561 56.8533775)",P37;P84,,,,
793484378,Saules iela,secondary,False,True,155.301,"LINESTRING (26.2238955 56.8540723, 26.2240294 56.8542601, 26.2241315 56.854435, 26.2242148 56.854604, 26.2244497 56.8550801, 26.2245732 56.8553932, 26.2245805 56.8554159)",P37;P84,,,,
793502496,Raiņa iela,secondary,False,True,156.79,"LINESTRING (26.2206206 56.8518252, 26.2204477 56.8519078, 26.2202039 56.8520204, 26.2196275 56.8522818, 26.2195627 56.8523122, 26.2193869 56.8523946, 26.2192754 56.8524469, 26.2187724 56.8526828, 26.2186562 56.8527386)",P30,,50,,
"[793484378, 953700461, 953700455]",Saules iela,secondary,False,True,156.659,"LINESTRING (26.2206206 56.8518252, 26.2207574 56.8519131, 26.2209916 56.8520637, 26.2213948 56.8523284, 26.2216172 56.8524712, 26.2217125 56.8525323, 26.2221976 56.8528458, 26.2222814 56.8529023)",P37;P84,,,,
"[522952513, 1126098354]",Saules iela,secondary,False,False,208.74599999999998,"LINESTRING (26.2206206 56.8518252, 26.2204734 56.8517318, 26.2198227 56.8513118, 26.2197873 56.8512875, 26.2191763 56.8508899, 26.2187756 56.850644, 26.2187116 56.8506015, 26.2185154 56.850474, 26.2183952 56.8503959)",P37;P84,,,,
"[888087752, 887989993, 888087753, 24453189]",Blaumaņa iela,tertiary,False,False,84.03799999999998,"LINESTRING (26.2137968 56.8501406, 26.2141311 56.8502087, 26.2143836 56.8502545, 26.2145333 56.8502835, 26.214743 56.8503272, 26.2148701 56.8503611, 26.2149712 56.8503938, 26.2150638 56.8504331)",,,,yes,
