osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,junction,maxspeed,width
159654421,True,P76,Brīvības iela,secondary,False,142.765,"LINESTRING (25.8634316 56.4992262, 25.8622494 56.4996849, 25.8620933 56.4997441, 25.8619403 56.4997932, 25.8618069 56.4998226, 25.8616742 56.4998455, 25.8615621 56.4998583, 25.8614457 56.4998673)",,,,
1199530895,True,,Akmeņu iela,residential,False,76.31700000000001,"LINESTRING (25.8634316 56.4992262, 25.8634075 56.4992029, 25.8628159 56.4986299)",,,,
24699216,False,P76,Brīvības iela,secondary,True,78.899,"LINESTRING (25.8704989 56.494422, 25.8701423 56.494763, 25.8699008 56.4950493)",,,,
"[204799060, 204792246]",False,,Dambja iela,residential,True,261.381,"LINESTRING (25.8704989 56.494422, 25.8706714 56.4944802, 25.8707093 56.4944933, 25.8707613 56.4945086, 25.8708153 56.4945229, 25.8710082 56.4945642, 25.871113 56.4945866, 25.8716493 56.4946971, 25.8736024 56.4953106, 25.8738149 56.4953886, 25.874018 56.4954631, 25.8741213 56.4955074, 25.8742138 56.4955529)",,,,
"[1243039368, 1243039367]",False,P76,Brīvības iela,secondary,False,75.036,"LINESTRING (25.8704989 56.494422, 25.8705978 56.4943401, 25.8707285 56.4942477, 25.8708135 56.4941876, 25.8712739 56.4939012)",,,,
1039905639,True,V783,,secondary,False,34.16199999999999,"LINESTRING (25.8722368 56.493112, 25.8722976 56.4931231, 25.8723495 56.4931292, 25.8723883 56.4931334, 25.8724131 56.4931358, 25.8724385 56.4931373, 25.8724643 56.4931377, 25.8724904 56.4931371, 25.8725436 56.4931326, 25.8726081 56.4931224, 25.8726561 56.4931126, 25.8727064 56.4931008, 25.8727679 56.4930818)",,,,
1229880519,True,,,secondary,False,19.427,"LINESTRING (25.8722368 56.493112, 25.8722897 56.4931624, 25.8723175 56.4932186, 25.8723183 56.4932768)",1,roundabout,,
42869211,False,P76,Vienības iela,secondary,True,198.30300000000003,"LINESTRING (25.875953 56.4940329, 25.8753093 56.4939282, 25.8734626 56.4936164, 25.8728616 56.4935151)",,,,
836930874,True,P76,Vienības iela,secondary,False,23.122,"LINESTRING (25.875953 56.4940329, 25.8759842 56.4939951, 25.876031 56.4939624, 25.8760905 56.493937, 25.8761594 56.4939201, 25.8762336 56.4939129)",,roundabout,,
24699206,True,P76,Brīvības iela,secondary,False,155.829,"LINESTRING (25.869199 56.495933, 25.8691412 56.4960535, 25.8689284 56.4962659, 25.8689026 56.4962917, 25.8687091 56.4964748, 25.8685225 56.4966514, 25.8685032 56.4966696, 25.8683199 56.496856, 25.8680129 56.4971679)",,,,
