osmid,lanes,ref,name,highway,oneway,reversed,length,bridge,geometry,width,maxspeed
318703759,,,,residential,False,True,16.677,,"LINESTRING (27.533465 56.092019, 27.5333143 56.0921432)",,
318703759,,,,residential,False,False,47.662,,"LINESTRING (27.533465 56.092019, 27.5333322 56.0917721, 27.5333187 56.0916014)",,
318703760,,,,residential,False,True,130.07899999999998,,"LINESTRING (27.533465 56.092019, 27.5338679 56.0916381, 27.5341861 56.0912434, 27.5342125 56.0912035, 27.5341731 56.0911726, 27.5338262 56.0910805)",,
318703759,,,,residential,False,True,65.924,,"LINESTRING (27.5338262 56.0910805, 27.5333187 56.0916014)",,
318703759,,,,residential,False,False,78.129,,"LINESTRING (27.5338262 56.0910805, 27.5343135 56.0905392, 27.5344217 56.0904634)",,
318703760,,,,residential,False,False,130.079,,"LINESTRING (27.5338262 56.0910805, 27.5341731 56.0911726, 27.5342125 56.0912035, 27.5341861 56.0912434, 27.5338679 56.0916381, 27.533465 56.092019)",,
318703761,,,,residential,False,False,70.989,,"LINESTRING (27.5343998 56.0911841, 27.5349278 56.0906177)",,
147576585,,,Brīvības iela,unclassified,False,False,35.778,,"LINESTRING (27.5349278 56.0906177, 27.5344217 56.0904634)",,
318703761,,,,residential,False,True,70.989,,"LINESTRING (27.5349278 56.0906177, 27.5343998 56.0911841)",,
147576585,,,Brīvības iela,unclassified,False,True,326.17300000000006,,"LINESTRING (27.5349278 56.0906177, 27.5354562 56.0907672, 27.5359323 56.0909364, 27.5365648 56.0911613, 27.5366372 56.0912354, 27.5366506 56.0912944, 27.5361282 56.0918935, 27.535864 56.0921965, 27.5357868 56.0922914, 27.5357436 56.0927138, 27.5357214 56.0928099, 27.5356414 56.0928974)",,
318703759,,,,residential,False,False,65.924,,"LINESTRING (27.5333187 56.0916014, 27.5338262 56.0910805)",,
318705846,,,,residential,False,False,87.585,,"LINESTRING (27.5333187 56.0916014, 27.5320575 56.0912473)",,
318703759,,,,residential,False,True,47.662,,"LINESTRING (27.5333187 56.0916014, 27.5333322 56.0917721, 27.533465 56.092019)",,
318705846,,,,residential,False,True,87.585,,"LINESTRING (27.5320575 56.0912473, 27.5333187 56.0916014)",,
147576585,,,Brīvības iela,unclassified,False,False,63.974,,"LINESTRING (27.5350015 56.0933486, 27.5356414 56.0928974)",,
147576585,,,Brīvības iela,unclassified,False,True,49.504000000000005,,"LINESTRING (27.5350015 56.0933486, 27.5345973 56.0936291, 27.5345015 56.0936956)",,
318705858,,,,residential,False,False,83.367,,"LINESTRING (27.5350015 56.0933486, 27.5351314 56.0933873, 27.5352343 56.0935873, 27.5354109 56.0936527, 27.5359689 56.0937926)",,
318705858,,,,residential,False,False,30.785,,"LINESTRING (27.5359689 56.0937926, 27.5358102 56.0939591, 27.5357498 56.0940407)",,
318705858,,,,residential,False,True,83.367,,"LINESTRING (27.5359689 56.0937926, 27.5354109 56.0936527, 27.5352343 56.0935873, 27.5351314 56.0933873, 27.5350015 56.0933486)",,
