osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,junction
331338485,Skolas iela,secondary,False,False,142.091,"LINESTRING (26.6941091 57.5362788, 26.6932604 57.537423, 26.6932347 57.5374672)",P19,,
260781630,Kalna iela,residential,False,False,211.85899999999998,"LINESTRING (26.6977084 57.5363986, 26.6959603 57.5364039, 26.6947248 57.5360978, 26.6942917 57.5360541)",,,
260781654,Jāņa iela,residential,False,False,45.116,"LINESTRING (26.6883561 57.5406791, 26.6877838 57.540414)",,,
260781654,Jāņa iela,residential,False,True,200.897,"LINESTRING (26.6883561 57.5406791, 26.6909435 57.5418349)",,,
260781657,Elīnas Zālītes iela,residential,False,False,254.55200000000002,"LINESTRING (26.6883561 57.5406791, 26.6877861 57.5410216, 26.6878286 57.5410993, 26.6903569 57.5422029)",,,
260781635,Tirgus iela,secondary,False,True,104.488,"LINESTRING (26.6939202 57.5409194, 26.6952411 57.5415362)",P39,,
260781646,Lauku iela,residential,False,True,104.216,"LINESTRING (26.6939202 57.5409194, 26.6928266 57.5416501)",,,
260781635,Tirgus iela,secondary,False,False,70.012,"LINESTRING (26.6939202 57.5409194, 26.6936056 57.5407777, 26.6930153 57.5405187)",P39,,
44077673,Dzirnavu iela,secondary,False,False,36.87,"LINESTRING (26.6856563 57.5417495, 26.68546 57.5420639)",P19,2,
44077673,Dzirnavu iela,secondary,False,True,59.331,"LINESTRING (26.6856563 57.5417495, 26.6858308 57.5415303, 26.6861008 57.5412731)",P19,2,
260781659,,residential,False,False,233.70799999999997,"LINESTRING (26.6856563 57.5417495, 26.686345 57.541944, 26.687812 57.5425259, 26.6881451 57.5426779, 26.6881806 57.542719, 26.6881607 57.5427833, 26.6877452 57.5430659)",,,
172794233,Stacijas iela,residential,False,False,191.59,"LINESTRING (26.6909435 57.5418349, 26.6930153 57.5405187)",,,
172794233,Stacijas iela,residential,False,True,53.85,"LINESTRING (26.6909435 57.5418349, 26.6903569 57.5422029)",,,
260781653,Jāņa iela,residential,False,True,70.901,"LINESTRING (26.6909435 57.5418349, 26.6918873 57.5422222)",,,
260781654,Jāņa iela,residential,False,False,200.897,"LINESTRING (26.6909435 57.5418349, 26.6883561 57.5406791)",,,
172794233,Stacijas iela,residential,False,False,53.85,"LINESTRING (26.6903569 57.5422029, 26.6909435 57.5418349)",,,
172794233,Stacijas iela,residential,False,True,44.05,"LINESTRING (26.6903569 57.5422029, 26.689903 57.5425153)",,,
260781657,Elīnas Zālītes iela,residential,False,True,254.552,"LINESTRING (26.6903569 57.5422029, 26.6878286 57.5410993, 26.6877861 57.5410216, 26.6883561 57.5406791)",,,
260786312,Vaidavas iela,residential,False,True,85.428,"LINESTRING (26.6941417 57.5422171, 26.6932239 57.5428067)",,,
