osmid,oneway,ref,name,highway,reversed,length,geometry,lanes,junction
38030969,False,P126,Talsu iela,primary,True,22.746,"LINESTRING (22.5923442 57.369894, 22.5923862 57.3696907)",,
38030969,False,P126,Talsu iela,primary,False,23.011,"LINESTRING (22.5923442 57.369894, 22.5922884 57.3700304, 22.5922617 57.3700961)",,
117466503,False,,,unclassified,False,80.13999999999999,"LINESTRING (22.5923442 57.369894, 22.5924973 57.3700309, 22.5926534 57.3701703, 22.5930347 57.3705111)",,
117466511,False,,Ezera iela,unclassified,False,348.27899999999994,"LINESTRING (22.5923442 57.369894, 22.5927583 57.3697324, 22.5930958 57.3695901, 22.5939374 57.3694105, 22.5939676 57.369403, 22.5946183 57.3692413, 22.5951135 57.3691484, 22.5954034 57.3691313, 22.5958579 57.3691216, 22.5961721 57.3690808, 22.5965423 57.3689725, 22.5965957 57.3689534, 22.5968623 57.3688584, 22.5971356 57.3687809, 22.5972911 57.3687369, 22.5976042 57.368679)",,
38030936,False,,Ambrakas iela,tertiary,False,30.189,"LINESTRING (22.5860209 57.3732422, 22.5861428 57.373217, 22.5865036 57.373166)",,
117466501,False,,Saules iela,unclassified,False,147.233,"LINESTRING (22.5860209 57.3732422, 22.5852793 57.3727733, 22.5844274 57.3722347)",,
38030936,False,,Ambrakas iela,tertiary,False,98.309,"LINESTRING (22.5865036 57.373166, 22.586523 57.3731055, 22.5865677 57.3730528, 22.586585 57.3730323, 22.5867457 57.3729291, 22.5869304 57.3728105, 22.5870394 57.3727405, 22.5875143 57.3724857)",,
38030936,False,,Ambrakas iela,tertiary,True,30.189,"LINESTRING (22.5865036 57.373166, 22.5861428 57.373217, 22.5860209 57.3732422)",,
38030941,False,,Jaunā iela,residential,False,64.547,"LINESTRING (22.5865036 57.373166, 22.586743 57.3731686, 22.58758 57.373178)",2,
923538560,False,V1412,Krišjāņa Valdemāra iela,secondary,False,5.675,"LINESTRING (22.5915426 57.3706656, 22.5914501 57.3706548)",,
"[522527641, 887477802]",True,,,primary,False,29.408,"LINESTRING (22.5915426 57.3706656, 22.5915471 57.3706286, 22.5915689 57.3705934, 22.5916066 57.3705623, 22.5916576 57.3705374, 22.591704 57.3705235, 22.5917812 57.3705117, 22.591863 57.3705134)",,roundabout
38030969,False,P126,Talsu iela,primary,True,23.011,"LINESTRING (22.5922617 57.3700961, 22.5922884 57.3700304, 22.5923442 57.369894)",,
411755662,True,,,primary,False,55.645,"LINESTRING (22.5922617 57.3700961, 22.5922391 57.3702039, 22.5921532 57.370376, 22.5921146 57.3704606, 22.5920993 57.370494, 22.5920397 57.3705804)",,
38030941,False,,Jaunā iela,residential,True,178.24,"LINESTRING (22.5905483 57.3732611, 22.5904882 57.3732589, 22.5901917 57.3732481, 22.5897757 57.373233, 22.5890123 57.3732052, 22.5885682 57.373189, 22.5884017 57.3731871, 22.5882199 57.3731851, 22.58758 57.373178)",2,
410271195,False,P126,Lielā iela,primary,True,85.156,"LINESTRING (22.5905483 57.3732611, 22.5905697 57.37302, 22.5906171 57.3728925, 22.5906542 57.3728202, 22.590704 57.3727491, 22.5908819 57.3725254)",2,
410271195,False,P126,Lielā iela,primary,False,2.046,"LINESTRING (22.5908954 57.3725085, 22.5908819 57.3725254)",2,
38030946,False,,Celtnieku iela,residential,False,48.685,"LINESTRING (22.5908954 57.3725085, 22.5909561 57.3725227, 22.5913522 57.3726152, 22.5916608 57.3726471)",2,
410271195,False,P126,Lielā iela,primary,True,129.93300000000002,"LINESTRING (22.5908954 57.3725085, 22.5909231 57.3724753, 22.5912341 57.3721027, 22.5913497 57.371937, 22.5914426 57.3717835, 22.591503 57.3716619, 22.5915624 57.371505, 22.591592 57.3714073)",2,
38030946,False,,Celtnieku iela,residential,False,8.141,"LINESTRING (22.5935477 57.3725957, 22.5936771 57.3725735)",2,
38030946,False,,Celtnieku iela,residential,True,52.885000000000005,"LINESTRING (22.5935477 57.3725957, 22.5931552 57.3726526, 22.5928448 57.372724, 22.5927083 57.3727357)",2,
863020785,False,,,residential,False,94.672,"LINESTRING (22.5935477 57.3725957, 22.5938074 57.3731167, 22.5943573 57.3730198)",,
38030946,False,,Celtnieku iela,residential,False,19.884,"LINESTRING (22.5940482 57.3725095, 22.5943006 57.3723935)",2,
38030946,False,,Celtnieku iela,residential,True,23.359,"LINESTRING (22.5940482 57.3725095, 22.5936771 57.3725735)",2,
863020784,False,,,residential,False,59.692,"LINESTRING (22.5940482 57.3725095, 22.5943573 57.3730198)",,
38030946,False,,Celtnieku iela,residential,True,31.297,"LINESTRING (22.595173 57.3720183, 22.5947913 57.3722103)",2,
38030948,False,,Parka iela,residential,True,44.951,"LINESTRING (22.595173 57.3720183, 22.5957379 57.3722841)",,
38030948,False,,Parka iela,residential,False,81.918,"LINESTRING (22.595173 57.3720183, 22.5950173 57.3718534, 22.5947008 57.3713288)",,
38030948,False,,Parka iela,residential,False,20.463,"LINESTRING (22.5960009 57.3724014, 22.5957379 57.3722841)",,
38030948,False,,Parka iela,residential,True,35.843,"LINESTRING (22.5960009 57.3724014, 22.5964308 57.3726254)",,
117466506,False,,Vārnu iela,unclassified,False,76.911,"LINESTRING (22.5960009 57.3724014, 22.596512 57.3722185, 22.5966939 57.3721647, 22.5971555 57.3721742)",,
38030948,False,,Parka iela,residential,True,104.488,"LINESTRING (22.5942034 57.3704282, 22.5947008 57.3713288)",,
863018434,False,,Dzirnavu iela,residential,True,70.675,"LINESTRING (22.5942034 57.3704282, 22.5933816 57.3704865, 22.5932387 57.3704966, 22.5930347 57.3705111)",,
921338933,False,,,living_street,True,126.90299999999999,"LINESTRING (22.5942034 57.3704282, 22.5945459 57.3703403, 22.5947416 57.3703071, 22.5950183 57.3702602, 22.5953727 57.3702001, 22.5961963 57.3700481)",,
39836224,False,V1412,Krišjāņa Valdemāra iela,secondary,False,13.489,"LINESTRING (22.5861126 57.3703148, 22.5858894 57.3702996)",,
39836224,False,V1412,Krišjāņa Valdemāra iela,secondary,True,333.623,"LINESTRING (22.5861126 57.3703148, 22.5867494 57.3703574, 22.5869918 57.3703497, 22.587075 57.370347, 22.5873157 57.3703205, 22.5876402 57.3702848, 22.5877417 57.3702818, 22.5880685 57.3702722, 22.5882681 57.3702642, 22.5889103 57.370256, 22.589415 57.370247, 22.5894471 57.3702474, 22.5895221 57.3702482, 22.5896464 57.3702496, 22.5899582 57.3702531, 22.5902723 57.3702765, 22.5903174 57.3702799, 22.5903687 57.3702837, 22.5904572 57.3703032, 22.590547 57.370323, 22.5908852 57.3704504, 22.5910001 57.3704937, 22.5910609 57.370516, 22.5914501 57.3706548)",,
39836229,False,,Ausekļa iela,residential,False,482.922,"LINESTRING (22.5861126 57.3703148, 22.5861436 57.3702331, 22.586173 57.3701556, 22.5863194 57.3699419, 22.586397 57.369879, 22.5866708 57.3696477, 22.5871766 57.3692825, 22.5877919 57.3688443, 22.5881875 57.3687074, 22.5885594 57.3685374, 22.5887822 57.3683096, 22.5891361 57.3680295, 22.5893045 57.3678886, 22.5896269 57.3677503, 22.5914015 57.3672187)",,
39836224,False,V1412,Krišjāņa Valdemāra iela,secondary,False,91.162,"LINESTRING (22.5831429 57.370037, 22.5816411 57.369909)",,
134578368,False,,Dzelzceļa iela,residential,True,134.775,"LINESTRING (22.5831429 57.370037, 22.5823763 57.3711764)",,
39836224,False,V1412,Krišjāņa Valdemāra iela,secondary,True,167.305,"LINESTRING (22.5831429 57.370037, 22.5839625 57.3701011, 22.5841352 57.3701176, 22.5853578 57.3702342, 22.5858894 57.3702996)",,
