osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref
978141608,True,Jelgavas iela,primary,40,False,42.809,"LINESTRING (25.072492 56.6160864, 25.0731655 56.6161907)",,
140892493,False,,residential,,True,81.465,"LINESTRING (25.0792397 56.6190358, 25.0792214 56.6190592, 25.0791104 56.6191981, 25.0790207 56.6194017, 25.0788703 56.6196569, 25.078859 56.6197343)",,
"[355344197, 978141609, 978141610, 740541807, 740541808, 978614897]",True,Brīvības iela,primary,"['40', '30']",False,507.612,"LINESTRING (25.0792397 56.6190358, 25.0786488 56.6189065, 25.076706 56.6184257, 25.0763379 56.618326, 25.0761028 56.6182634, 25.0760365 56.6182453, 25.0759105 56.6182143, 25.0757169 56.6181662, 25.0755507 56.618125, 25.075341 56.6180729, 25.0750682 56.6180033, 25.0746376 56.6178935, 25.0742262 56.617752, 25.074044 56.6176536, 25.0738662 56.6175498, 25.0736025 56.6173405, 25.0734054 56.6170834, 25.0733631 56.6170283, 25.072903 56.6164372)",1,P87
"[978141575, 978142217, 978141577, 978141579, 978142221, 140892342]",False,Strūgu iela,residential,,False,201.423,"LINESTRING (25.0816868 56.6193498, 25.0816989 56.6193159, 25.0818274 56.6189629, 25.0818985 56.6186816, 25.0819597 56.6184498, 25.0819876 56.6183096, 25.0819818 56.6182659, 25.0818219 56.6180143, 25.081782 56.6178651, 25.0818727 56.6175729)",,
140892342,False,Strūgu iela,residential,,True,83.092,"LINESTRING (25.0816868 56.6193498, 25.0816721 56.6193793, 25.0815457 56.6197371, 25.0814085 56.6200811)",,
355344197,True,Brīvības iela,primary,40,False,154.087,"LINESTRING (25.0816868 56.6193498, 25.0810026 56.6192962, 25.0802758 56.6192129, 25.0797128 56.6191218, 25.0792397 56.6190358)",1,P87
"[978142218, 978302372, 140892373]",False,Rātūža iela,residential,,False,92.825,"LINESTRING (25.0837109 56.619425, 25.0837244 56.6193816, 25.0838653 56.6189293, 25.0839215 56.6187314, 25.0839124 56.6186721, 25.0839014 56.6186003)",,
140892373,False,Rātūža iela,residential,,True,88.7,"LINESTRING (25.0837109 56.619425, 25.0837 56.6194546, 25.0835056 56.6199282, 25.0834501 56.620047, 25.0834042 56.6202043)",,
355344197,True,Brīvības iela,primary,40,False,124.148,"LINESTRING (25.0837109 56.619425, 25.0829082 56.6194079, 25.0816868 56.6193498)",1,P87
24455038,True,Jelgavas iela,primary,40,False,108.25899999999999,"LINESTRING (25.0841608 56.6171016, 25.0848756 56.6171426, 25.0859136 56.6172324)",1,
