osmid,lanes,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry,access,bridge
1249486410,2,P16;P17,Rīgas iela,primary,50,roundabout,True,False,11.436,"LINESTRING (25.4226772 57.5379794, 25.4227599 57.5379348, 25.4228235 57.5379141)",,
312131389,2,P16;P17,Rīgas iela,primary,50,roundabout,True,False,37.19,"LINESTRING (25.4231823 57.5380954, 25.4231046 57.538141, 25.4229682 57.5381756, 25.4228111 57.5381627, 25.4226962 57.5381119, 25.4226757 57.5380878)",,
27137591,2,,Diakonāta iela,residential,50,,False,True,54.295,"LINESTRING (25.4207065 57.5365559, 25.420766 57.5365065, 25.4211502 57.5361751, 25.4211888 57.5361419)",,
1156559547,2,,Diakonāta iela,residential,50,,False,False,17.062,"LINESTRING (25.4207065 57.5365559, 25.4207956 57.5365867, 25.4208695 57.5366195, 25.4209156 57.5366572)",,
1250775253,,,,residential,,,False,True,45.894999999999996,"LINESTRING (25.4207065 57.5365559, 25.4205914 57.5365361, 25.4204132 57.5365291, 25.4201067 57.5365291, 25.4199438 57.5365294)",,
"[27137505, 794343095]",2,,Diakonāta iela,secondary,50,,False,False,79.023,"LINESTRING (25.422031 57.5380649, 25.4220008 57.5380482, 25.421989 57.5380417, 25.4219629 57.5379974, 25.4217145 57.537636, 25.4215401 57.5374078)",no,
1108376331,2,P16,Rīgas iela,primary,50,,True,False,39.722,"LINESTRING (25.422031 57.5380649, 25.4225848 57.5379921, 25.4226772 57.5379794)",,
138992485,2,,Georga apiņa iela,living_street,20,,False,True,77.51599999999999,"LINESTRING (25.418644 57.5360853, 25.4186761 57.536062, 25.4186878 57.5360535, 25.4188335 57.5359476, 25.4189497 57.5358632, 25.4191178 57.535741, 25.4192234 57.5356643, 25.4194157 57.5355246)",,
1108376330,2,,Leona Paegles iela,secondary,50,,False,False,70.863,"LINESTRING (25.418644 57.5360853, 25.4186915 57.5361053, 25.4192939 57.5363628, 25.4193113 57.5363703, 25.4195764 57.5364798)",,
"[1184463856, 37389179, 789797173, 1184463855]",2,P17,Lāčplēša iela,secondary,"['20', '30']",,False,True,181.79999999999998,"LINESTRING (25.4249508 57.5401066, 25.4249705 57.5399898, 25.4251131 57.5397695, 25.4251197 57.5397593, 25.4251337 57.5397377, 25.4251698 57.5396939, 25.4252807 57.53954, 25.425448 57.5393091, 25.4256061 57.5390907, 25.4256172 57.5390753, 25.4256497 57.5390303, 25.4256745 57.5389931, 25.4257778 57.5388383, 25.4258121 57.5387367, 25.4258133 57.5386475, 25.4257408 57.5385612)",,
789797174,2,P17,Tērbatas iela,secondary,50,,False,True,107.419,"LINESTRING (25.4249508 57.5401066, 25.4250574 57.5401886, 25.4254975 57.5404648, 25.4259672 57.5407328, 25.4261392 57.5408309)",,
37389181,2,P17,Tērbatas iela,secondary,50,,False,True,8.408,"LINESTRING (25.4286633 57.5422565, 25.4287528 57.5423149)",,
41659304,2,,Lucas iela,residential,50,,False,True,103.98700000000001,"LINESTRING (25.4286633 57.5422565, 25.4286978 57.5422264, 25.4287199 57.542207, 25.4287303 57.5421979, 25.429334 57.5416709, 25.4294831 57.5415294, 25.4295613 57.5414552)",,
789797174,2,P17,Tērbatas iela,secondary,50,,False,False,131.42499999999998,"LINESTRING (25.4286633 57.5422565, 25.4285782 57.542209, 25.4280329 57.5419044, 25.4278233 57.5417895, 25.4276877 57.5417159, 25.42761 57.5416737, 25.4275171 57.5416233, 25.4272255 57.5414629, 25.4271279 57.5414092)",,
27116869,2,,Tālavas iela,living_street,20,,False,False,110.49,"LINESTRING (25.4298264 57.5365619, 25.4299146 57.5358505, 25.4299719 57.5355715)",,
27116869,2,,Tālavas iela,living_street,20,,False,True,63.627,"LINESTRING (25.4298264 57.5365619, 25.429816 57.5366605, 25.4297663 57.5371332)",,
829393307,2,,Teodora Ūdera iela,living_street,20,,False,True,173.706,"LINESTRING (25.4298264 57.5365619, 25.4293578 57.5364979, 25.4285098 57.536249, 25.4272594 57.5358441)",,
27116839,,,Pārgaujas iela,living_street,20,,False,False,33.015,"LINESTRING (25.4264405 57.5365578, 25.4265765 57.5364393, 25.4267306 57.536305)",,
27116839,,,Pārgaujas iela,living_street,20,,False,False,123.925,"LINESTRING (25.4272594 57.5358441, 25.4273243 57.5357862, 25.4283309 57.5348895)",,
27116839,,,Pārgaujas iela,living_street,20,,False,True,60.189,"LINESTRING (25.4272594 57.5358441, 25.4271863 57.5359078, 25.4267306 57.536305)",,
829393307,2,,Teodora Ūdera iela,living_street,20,,False,False,173.70600000000002,"LINESTRING (25.4272594 57.5358441, 25.4285098 57.536249, 25.4293578 57.5364979, 25.4298264 57.5365619)",,
"[293594899, 829393307]",2,,Teodora Ūdera iela,"['living_street', 'residential']",20,,False,True,146.73700000000002,"LINESTRING (25.4272594 57.5358441, 25.4266146 57.5356328, 25.4259471 57.5354141, 25.4257695 57.5353559, 25.4254067 57.5352407, 25.425294 57.5352084, 25.4251542 57.5351628)",,
27116869,2,,Tālavas iela,living_street,20,,False,False,63.627,"LINESTRING (25.4297663 57.5371332, 25.429816 57.5366605, 25.4298264 57.5365619)",,
