osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name
"[1117835040, 184327531]",True,2,A6;P8,trunk,50,False,395.83,"LINESTRING (24.7212088 56.7446122, 24.7210973 56.7447594, 24.7197252 56.7457693, 24.7193085 56.7460974, 24.7184601 56.7467398, 24.7180694 56.7470356, 24.717456 56.7474904, 24.7174368 56.7475039)",
"[1168986161, 9966982]",False,2,P8,primary,50,False,87.35300000000001,"LINESTRING (24.7212088 56.7446122, 24.7211066 56.7445676, 24.721008 56.7445245, 24.7207317 56.7444135, 24.7200615 56.7441419)",Ķeguma prospekts
38581783,False,2,P8,primary,50,False,117.525,"LINESTRING (24.7278102 56.748784, 24.7283569 56.7487564, 24.7289812 56.7487843, 24.7297036 56.7488993)",Celtnieku iela
38581783,False,2,P8,primary,50,True,113.02199999999999,"LINESTRING (24.7278102 56.748784, 24.7271605 56.7488515, 24.7266458 56.7489288, 24.7260089 56.7490212)",Celtnieku iela
139193635,False,,,residential,,False,38.799,"LINESTRING (24.7278102 56.748784, 24.7278096 56.7486844, 24.7276712 56.7484469)",Purva iela
9966982,False,2,P8,primary,50,False,96.731,"LINESTRING (24.7200615 56.7441419, 24.7194146 56.7438675, 24.7191654 56.7437627, 24.7188084 56.7436085)",Ķeguma prospekts
"[1168986161, 9966982]",False,2,P8,primary,50,True,87.35300000000001,"LINESTRING (24.7200615 56.7441419, 24.7207317 56.7444135, 24.721008 56.7445245, 24.7211066 56.7445676, 24.7212088 56.7446122)",Ķeguma prospekts
9966982,False,2,P8,primary,50,True,100.606,"LINESTRING (24.7174966 56.7430598, 24.7180606 56.7432963, 24.7185872 56.7435183, 24.7188084 56.7436085)",Ķeguma prospekts
38581783,False,2,P8,primary,50,False,103.594,"LINESTRING (24.7177369 56.7477699, 24.7178395 56.7478145, 24.7179066 56.747842, 24.7182551 56.7479914, 24.7183503 56.7480319, 24.7190708 56.7483469)",Celtnieku iela
9966982,False,2,P8,primary,50,False,100.606,"LINESTRING (24.7188084 56.7436085, 24.7185872 56.7435183, 24.7180606 56.7432963, 24.7174966 56.7430598)",Ķeguma prospekts
