osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,access,junction
4690559,True,3,A803,West Bridge Street,primary,30 mph,False,86.737,"LINESTRING (-3.7915567 56.000398, -3.7911147 56.0004295, -3.7908746 56.0004397, -3.7904703 56.0004448, -3.7901661 56.0004434)",,,
4690559,True,3,A803,West Bridge Street,primary,30 mph,False,3.178,"LINESTRING (-3.7888433 56.000304, -3.7887938 56.0002969)",,,
56018892,False,,,Chapel Lane,residential,,True,40.218,"LINESTRING (-3.7888433 56.000304, -3.7888934 55.9999434)",,,
4892229,True,,A803,West Bridge Street,primary,30 mph,False,44.602999999999994,"LINESTRING (-3.7887938 56.0002969, -3.7883103 56.0002137, -3.7882303 56.0001844, -3.7881554 56.000135)",,,
"[4690564, 4690565, 4892230]",True,,A803,"['West Bridge Street', 'Garrison Place', 'Hope Street']",primary,30 mph,False,172.33,"LINESTRING (-3.7887938 56.0002969, -3.7887254 56.0003011, -3.7883429 56.0003315, -3.7882108 56.0003539, -3.7881359 56.000375, -3.7881096 56.0004272, -3.7881085 56.0005026, -3.7881532 56.000767, -3.7881607 56.0008061, -3.7881828 56.0010064, -3.7881891 56.001063, -3.7881711 56.0011483, -3.7881247 56.0012427, -3.7880199 56.0013867, -3.7879023 56.0015103)",,,
28893497,False,,,,unclassified,30 mph,True,8.475,"LINESTRING (-3.7879023 56.0015103, -3.7878158 56.0014514)",,,
4690565,True,,A803,Garrison Place,primary,30 mph,False,131.923,"LINESTRING (-3.7879023 56.0015103, -3.7877096 56.0016336, -3.7875064 56.0017228, -3.7872857 56.0017957, -3.7870926 56.0018438, -3.7868551 56.0018646, -3.786711 56.0018678, -3.7860964 56.0018689, -3.7859928 56.0018691)",,,
"[10427615, 10427614, 9657263]",False,,,Hope Street,unclassified,30 mph,False,175.19799999999998,"LINESTRING (-3.7879023 56.0015103, -3.7880254 56.0015883, -3.7880936 56.0016333, -3.7881735 56.0017117, -3.7882123 56.0017934, -3.7882367 56.0018551, -3.7882472 56.0018822, -3.7882609 56.0019476, -3.7883063 56.0023153, -3.7883275 56.0024611, -3.7883445 56.0025781, -3.7883715 56.0027644, -3.7883808 56.0027979, -3.7884022 56.0028404, -3.7885984 56.0029879)",yes,,
4690568,True,,A803,Princes Street,primary,30 mph,False,31.396,"LINESTRING (-3.7825655 56.0004161, -3.7827052 56.0004696, -3.7827928 56.0005032, -3.782891 56.0005358, -3.7829949 56.0005636)",,,
467493312,False,,A803,Princes Street,primary,30 mph,True,47.673,"LINESTRING (-3.7825655 56.0004161, -3.7824786 56.0003742, -3.7824151 56.0003283, -3.7823698 56.0002825, -3.782335 56.0002375, -3.7823073 56.0001884, -3.7822452 56.0000387)",,,
466439337,True,,,Orchard Street,residential,30 mph,False,11.217,"LINESTRING (-3.7815626 55.9998875, -3.7814882 55.9999794)",,,
"[4690569, 239825407]",False,,A803,"['Kerse Lane', 'Princes Street']",primary,30 mph,False,45.410999999999994,"LINESTRING (-3.7815626 55.9998875, -3.7818032 55.9999005, -3.7819666 55.9999144, -3.7821253 55.9999406, -3.782185 55.9999727, -3.7822287 56.0000068)",,,
