osmid,name,highway,oneway,reversed,length,geometry,bridge,lanes,ref,junction
5215664,Long Lane,tertiary,False,False,56.637,"LINESTRING (0.1488173 51.4645446, 0.1491295 51.4643918, 0.1494772 51.4642444)",,,,
"[5215664, 5227739, 4956351]",Long Lane,tertiary,False,True,146.065,"LINESTRING (0.1488173 51.4645446, 0.148707 51.4645974, 0.1481252 51.4648884, 0.1471861 51.4653768)",yes,2,,
5215668,Palmar Crescent,residential,False,False,198.517,"LINESTRING (0.1488173 51.4645446, 0.1474584 51.463822, 0.1472667 51.4636908, 0.147103 51.4635446, 0.1469623 51.4634151, 0.1468336 51.4632764)",,,,
5196675,Erith Road,primary,False,False,37.778999999999996,"LINESTRING (0.1531582 51.4610108, 0.1532056 51.4611211, 0.1532749 51.4613425)",,2,A220,
5215584,Long Lane,tertiary,False,True,43.415000000000006,"LINESTRING (0.1531582 51.4610108, 0.1530071 51.4610626, 0.1529119 51.4611448, 0.1527684 51.4613029)",,2,,
38348184,Erith Road,primary,False,True,57.769000000000005,"LINESTRING (0.1531582 51.4610108, 0.1531532 51.4608033, 0.1531144 51.4605919, 0.1530998 51.4604931)",,,A220,
606175962,Bowness Road,residential,False,False,291.65700000000004,"LINESTRING (0.1549414 51.4639838, 0.1540266 51.4643246, 0.1538713 51.4643533, 0.1535642 51.4643778, 0.1514904 51.4642948, 0.1513705 51.4642631, 0.151007 51.4640831)",,,,
606175964,Erith Road,primary,True,False,6.712,"LINESTRING (0.1549414 51.4639838, 0.1549748 51.464012, 0.1549853 51.4640154, 0.1550011 51.4640167, 0.1550139 51.4640159)",,,A220,
5227739,Long Lane,tertiary,False,False,88.963,"LINESTRING (0.1422423 51.4678725, 0.1424535 51.467712, 0.1430995 51.4672771)",,2,,
525135546,Long Lane,tertiary,True,False,11.638,"LINESTRING (0.1422423 51.4678725, 0.1421977 51.4678645, 0.1421399 51.4678665, 0.1420845 51.4678861)",,,,roundabout
5227777,Belvedere Road,tertiary,False,False,102.669,"LINESTRING (0.1420845 51.4678861, 0.1418996 51.4677446, 0.1415253 51.4674214, 0.1412403 51.4671287)",,,,
5227777,Belvedere Road,tertiary,False,True,102.669,"LINESTRING (0.1412403 51.4671287, 0.1415253 51.4674214, 0.1418996 51.4677446, 0.1420845 51.4678861)",,,,
584792085,Belvedere Road,tertiary,False,False,45.994,"LINESTRING (0.1412403 51.4671287, 0.1410171 51.4668707, 0.1409401 51.4667601)",,,,
5227744,Grace Avenue,residential,False,True,195.706,"LINESTRING (0.1409401 51.4667601, 0.1433653 51.4658573)",,,,
584792085,Belvedere Road,tertiary,False,True,45.994,"LINESTRING (0.1409401 51.4667601, 0.1410171 51.4668707, 0.1412403 51.4671287)",,,,
5196675,Erith Road,primary,False,False,128.364,"LINESTRING (0.1532749 51.4613425, 0.1533921 51.4617879, 0.1534141 51.4618715, 0.1534356 51.461944, 0.1534929 51.4621368, 0.1536839 51.4624644)",,2,A220,
5196675,Erith Road,primary,False,True,37.778999999999996,"LINESTRING (0.1532749 51.4613425, 0.1532056 51.4611211, 0.1531582 51.4610108)",,2,A220,
34249881,Silverdale Road,residential,False,True,240.728,"LINESTRING (0.151007 51.4640831, 0.1540446 51.4630317)",,,,
606175962,Bowness Road,residential,False,False,51.14,"LINESTRING (0.151007 51.4640831, 0.1504205 51.4638038)",,,,
606175962,Bowness Road,residential,False,True,291.65700000000004,"LINESTRING (0.151007 51.4640831, 0.1513705 51.4642631, 0.1514904 51.4642948, 0.1535642 51.4643778, 0.1538713 51.4643533, 0.1540266 51.4643246, 0.1549414 51.4639838)",,,,
32634484,Long Lane,tertiary,False,True,81.673,"LINESTRING (0.1504205 51.4638038, 0.1494772 51.4642444)",,,,
606175962,Bowness Road,residential,False,True,51.14,"LINESTRING (0.1504205 51.4638038, 0.151007 51.4640831)",,,,
5215584,Long Lane,tertiary,False,False,323.307,"LINESTRING (0.1504205 51.4638038, 0.150537 51.4637506, 0.150622 51.463695, 0.1507224 51.4635963, 0.1511487 51.4631048, 0.1516183 51.4625883, 0.1521502 51.4620061, 0.1527684 51.4613029)",,2,,
5215584,Long Lane,tertiary,False,False,43.415000000000006,"LINESTRING (0.1527684 51.4613029, 0.1529119 51.4611448, 0.1530071 51.4610626, 0.1531582 51.4610108)",,2,,
5215584,Long Lane,tertiary,False,True,323.307,"LINESTRING (0.1527684 51.4613029, 0.1521502 51.4620061, 0.1516183 51.4625883, 0.1511487 51.4631048, 0.1507224 51.4635963, 0.150622 51.463695, 0.150537 51.4637506, 0.1504205 51.4638038)",,2,,
101407826,The Chase,residential,False,True,114.44200000000001,"LINESTRING (0.1527684 51.4613029, 0.1512541 51.461365, 0.1512482 51.4612814)",,,,
5215589,Pelham Road,residential,False,True,19.113,"LINESTRING (0.152051 51.4605449, 0.1517762 51.4605601)",,,,
"[5215585, 33891942]",Lane End,residential,False,"[False, True]",53.664,"LINESTRING (0.152051 51.4605449, 0.1521085 51.4609493, 0.1519856 51.4609524)",,,,
