osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,width
22726585,2,A862,Newton Road,primary,30 mph,False,False,134.961,"LINESTRING (-4.4313965 57.5955858, -4.4314239 57.595942, -4.4314389 57.5961344, -4.4314673 57.5963057, -4.4315795 57.5967947)",,
27048074,2,A834,Caberfeidh Terrace,primary,30 mph,False,False,71.714,"LINESTRING (-4.4313965 57.5955858, -4.4316148 57.5955796, -4.4322698 57.595549, -4.432596 57.595534)",,
200088510,2,A862,Greenhill Street,primary,30 mph,False,True,242.00799999999998,"LINESTRING (-4.4313965 57.5955858, -4.4313695 57.5951117, -4.4312855 57.5948883, -4.431112 57.5946592, -4.4309299 57.5944995, -4.4306893 57.5943415, -4.4304227 57.5942164, -4.4301125 57.5941261, -4.4298113 57.5940597, -4.4295373 57.5940126, -4.4293069 57.5939787)",,
22726585,2,A862,Newton Road,primary,30 mph,False,True,134.96099999999998,"LINESTRING (-4.4315795 57.5967947, -4.4314673 57.5963057, -4.4314389 57.5961344, -4.4314239 57.595942, -4.4313965 57.5955858)",,
38701451,,,Mart Road,tertiary,20 mph,False,False,208.491,"LINESTRING (-4.4315795 57.5967947, -4.4314622 57.5968076, -4.4312077 57.5968094, -4.4311268 57.5968067, -4.4308166 57.5967963, -4.4305415 57.5967437, -4.4302012 57.596584, -4.4300827 57.5965166, -4.4299638 57.5964356, -4.4298261 57.5963388, -4.4296852 57.596267, -4.4294469 57.5962119, -4.4292128 57.5962039, -4.4289796 57.5962229, -4.42884 57.5962459, -4.428534 57.5963056)",,
200088510,2,A862,Greenhill Street,primary,30 mph,False,False,44.218,"LINESTRING (-4.4266753 57.5937674, -4.427407 57.5938335)",,
200088510,2,A862,Greenhill Street,primary,30 mph,False,True,23.979,"LINESTRING (-4.4266753 57.5937674, -4.4262949 57.5936971)",,
"[39038666, 294910711]",1,,Mitchell Road,unclassified,30 mph,False,False,351.691,"LINESTRING (-4.4266753 57.5937674, -4.4267267 57.5936888, -4.4268149 57.5936422, -4.4272226 57.5936306, -4.4279577 57.5935608, -4.4285096 57.5934566, -4.4286096 57.5934297, -4.428591 57.5933448, -4.4284395 57.5933148, -4.4280268 57.5933599, -4.427936 57.5933698, -4.4278591 57.5933198, -4.4279314 57.5932811, -4.4287239 57.5932099, -4.4287914 57.5931849, -4.4287961 57.5931387, -4.4286329 57.5931249, -4.4283532 57.5931649, -4.4280316 57.5931699, -4.4278102 57.5931549, -4.4277693 57.5931462, -4.4274539 57.5930792, -4.4272701 57.5930326, -4.4271686 57.5930334, -4.4271184 57.5930245)",,
88965481,2,,Ferry Road,unclassified,20 mph,False,True,11.055,"LINESTRING (-4.4236441 57.5949175, -4.4235808 57.5949593, -4.4234973 57.594968)",,
147681045,1,,Station Road,tertiary,20 mph,True,False,201.231,"LINESTRING (-4.4236441 57.5949175, -4.4234725 57.5948278, -4.4234039 57.594759, -4.423328 57.5946599, -4.4233051 57.5946071, -4.4232909 57.5945446, -4.4233792 57.5940581, -4.4235723 57.593174)",,
