osmid,oneway,lanes,ref,name,highway,maxspeed,junction,reversed,length,geometry,bridge,access
4073672,True,3,A40,Abbey Way,primary,30 mph,circular,False,20.59,"LINESTRING (-0.754329 51.6307215, -0.7544162 51.6306527, -0.7545511 51.6306025)",,
"[4073673, 317010467, 98648997, 98648991]",True,1,A40,Abbey Way,primary,30 mph,,False,443.4920000000001,"LINESTRING (-0.754329 51.6307215, -0.7542975 51.6305814, -0.7540673 51.6303606, -0.752173 51.6285811, -0.7513856 51.6278393, -0.7509752 51.6274528, -0.7510223 51.6273574)",yes,
"[314655906, 314926943, 4073671]",True,"['2', '3']",A40,Oxford Road,primary,30 mph,,False,123.777,"LINESTRING (-0.7548041 51.6310016, -0.7548272 51.6310677, -0.7548471 51.6311063, -0.7553372 51.6315114, -0.7554791 51.631661, -0.7555789 51.6317422, -0.7556063 51.631766, -0.755703 51.6318484, -0.7557184 51.6318623, -0.7557651 51.631898, -0.7557941 51.6319202)",,
314655907,True,3,A40,Abbey Way,primary,30 mph,circular,False,14.966000000000001,"LINESTRING (-0.7548041 51.6310016, -0.7547482 51.6310543, -0.7546729 51.6311084)",,
"[868337738, 4073711]",False,,,The Pastures,tertiary,30 mph,,"[False, True]",174.987,"LINESTRING (-0.761217 51.633948, -0.7611451 51.6340845, -0.7611029 51.6342416, -0.7610876 51.6343712, -0.7611292 51.6345372, -0.7611962 51.6346137, -0.7613009 51.6346819, -0.7616892 51.6348834, -0.7618505 51.6350049, -0.762134 51.6352722)",,
"[27092776, 27092777, 4073702]",False,,,Desborough Avenue,tertiary,,,True,142.403,"LINESTRING (-0.761217 51.633948, -0.7612883 51.6338169, -0.7615003 51.6335473, -0.7615915 51.6333902, -0.7617003 51.6331732, -0.7619148 51.6327454)",yes,
868337737,False,,A40,West Wycombe Road,primary,30 mph,,True,126.717,"LINESTRING (-0.761217 51.633948, -0.7609199 51.6338624, -0.7604879 51.6337196, -0.7601249 51.6335908, -0.7596544 51.6333588)",,
26635259,False,,,Bellfield Road,tertiary,30 mph,,True,12.724,"LINESTRING (-0.7562645 51.6324217, -0.7563663 51.6323263)",,
26635259,False,,,Bellfield Road,tertiary,30 mph,,False,59.285,"LINESTRING (-0.7562645 51.6324217, -0.7562223 51.6324651, -0.7561956 51.6325005, -0.7561639 51.6325437, -0.7560705 51.632679, -0.7559634 51.6328012, -0.7559357 51.6328313, -0.755881 51.6328981)",,
"[98604504, 98604523]",True,2,A40,Oxford Road,primary,30 mph,,False,42.873,"LINESTRING (-0.7562645 51.6324217, -0.7562022 51.6323922, -0.756135 51.6323512, -0.756078 51.6323111, -0.7559187 51.6321578, -0.7558788 51.6321232)",,
4073702,False,,,Desborough Avenue,tertiary,,,False,33.833,"LINESTRING (-0.7624475 51.6318152, -0.7623719 51.6319029, -0.7622638 51.6320964)",,
4073713,False,,,,tertiary,,,False,14.772000000000002,"LINESTRING (-0.7624475 51.6318152, -0.7623971 51.6317635, -0.7623368 51.6317015)",,
4073713,False,,,,tertiary,,,True,14.772000000000002,"LINESTRING (-0.7623368 51.6317015, -0.7623971 51.6317635, -0.7624475 51.6318152)",,
4236181,False,2,,Desborough Avenue,tertiary,30 mph,,False,53.408,"LINESTRING (-0.7623368 51.6317015, -0.7624409 51.6316205, -0.7624666 51.6316005, -0.7624799 51.6315802, -0.7626806 51.6312755)",,
26455766,False,,,Desborough Road,tertiary,30 mph,,False,76.356,"LINESTRING (-0.7623368 51.6317015, -0.762184 51.6317183, -0.7616154 51.6316489, -0.7612731 51.6315591)",,
4073672,True,3,A40,Abbey Way,primary,30 mph,circular,False,60.762,"LINESTRING (-0.7545511 51.6306025, -0.7546518 51.6305957, -0.7548266 51.6306699, -0.7548782 51.6307272, -0.7549024 51.6308068, -0.7548611 51.6309271, -0.7548041 51.6310016)",,
4693979,True,2,A4128,Archway,primary,30 mph,,False,172.429,"LINESTRING (-0.7544299 51.6311103, -0.754307 51.6311874, -0.754281 51.631223, -0.7540523 51.6315359, -0.7539864 51.6316261, -0.7536621 51.6319777, -0.7533446 51.6322919, -0.7531676 51.6324401)",,
314655282,True,3,A40,Abbey Way,primary,30 mph,circular,False,17.775,"LINESTRING (-0.7544299 51.6311103, -0.7543191 51.6310637, -0.754235 51.6310074)",,
314650816,True,,,Glenisters Road,primary_link,30 mph,,False,25.855,"LINESTRING (-0.7525543 51.6326818, -0.7527993 51.6328577)",,no
