osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,junction,width,tunnel
"[1130627066, 4253954]",Savoy Court,residential,5 mph,False,True,48.611,"LINESTRING (-0.1210689 51.5105787, -0.1209989 51.5105129, -0.1207524 51.510291, -0.1206716 51.5102182)",,,,,,
200596105,Strand,primary,20 mph,True,False,124.97299999999998,"LINESTRING (-0.1210689 51.5105787, -0.1213792 51.5104611, -0.1214473 51.5104323, -0.1219408 51.5102412, -0.122591 51.5099742)",2,A4,,,,
1263687028,Whitehall Place,residential,20 mph,False,True,9.74,"LINESTRING (-0.1267073 51.5056213, -0.1268388 51.5055901)",,,yes,,,
"[332620705, 4256797]",Whitehall Place,residential,20 mph,False,False,87.857,"LINESTRING (-0.1267073 51.5056213, -0.1266372 51.5056415, -0.1258807 51.5058521, -0.1255486 51.505944)",,,yes,,,
"[1065112868, 1008674252, 482974061, 1008674253, 217573431]",Whitehall,primary,20 mph,True,False,88.58100000000002,"LINESTRING (-0.1267073 51.5056213, -0.1266553 51.5055024, -0.126597 51.5053955, -0.1265213 51.5052456, -0.1264412 51.5050475, -0.1264184 51.5049961, -0.1263571 51.5048554)",2,A3212,,,,
217573432,Northumberland Avenue,primary,20 mph,False,True,82.938,"LINESTRING (-0.1249151 51.5069448, -0.1237567 51.5067538)",,A400,,,,
230503366,Great Scotland Yard,residential,20 mph,False,True,99.326,"LINESTRING (-0.1249151 51.5069448, -0.1250766 51.5066278, -0.1251751 51.5065085, -0.1252829 51.5064494, -0.1254226 51.5063989, -0.1257722 51.506306)",,,,,,
300869141,Northumberland Avenue,primary,20 mph,False,False,40.367999999999995,"LINESTRING (-0.1249151 51.5069448, -0.1251052 51.5069757, -0.1251663 51.5069856, -0.1252235 51.5069974, -0.1254736 51.5070488)",,A400,,,,
43118739,Charing Cross,primary,20 mph,True,False,7.628,"LINESTRING (-0.1278265 51.5075453, -0.1277771 51.5075573, -0.1277216 51.5075659)",4,,,circular,,
"[776630481, 776630483, 498958812, 1127848230]",The Mall,tertiary,20 mph,False,False,113.529,"LINESTRING (-0.130808 51.5058624, -0.1306096 51.5059382, -0.1305263 51.5059712, -0.130437 51.5060098, -0.1300842 51.506155, -0.1296231 51.5063459, -0.1294312 51.506417)",4,,,,,
49798167,Charing Cross Road,primary,20 mph,False,False,42.43500000000001,"LINESTRING (-0.1282876 51.5102148, -0.1281611 51.5100047, -0.12805 51.5098763, -0.1280424 51.5098659)",,A400,,,,
"[49798450, 4082596]",Charing Cross Road,primary,20 mph,False,True,123.97299999999998,"LINESTRING (-0.1282876 51.5102148, -0.1283364 51.5103179, -0.1283608 51.5104051, -0.1283889 51.5105256, -0.1283973 51.5105651, -0.1284035 51.5107126, -0.1284126 51.5108875, -0.1284058 51.5109673, -0.1284044 51.5109927, -0.1283961 51.5111379, -0.1283941 51.5111935, -0.1283927 51.5112341, -0.1283895 51.511322)",2,A400,,,,
"[49798450, 4082596]",Charing Cross Road,primary,20 mph,False,False,123.97299999999998,"LINESTRING (-0.1283895 51.511322, -0.1283927 51.5112341, -0.1283941 51.5111935, -0.1283961 51.5111379, -0.1284044 51.5109927, -0.1284058 51.5109673, -0.1284126 51.5108875, -0.1284035 51.5107126, -0.1283973 51.5105651, -0.1283889 51.5105256, -0.1283608 51.5104051, -0.1283364 51.5103179, -0.1282876 51.5102148)",2,A400,,,,
4382813,Charing Cross Road,primary,20 mph,False,False,59.434,"LINESTRING (-0.1283895 51.511322, -0.1283838 51.5114352, -0.1283819 51.5114884, -0.1283812 51.5115011, -0.1283762 51.511599, -0.1283715 51.5116901, -0.1283705 51.5117331, -0.1283797 51.5118562)",2,A400,,,,
4382813,Charing Cross Road,primary,20 mph,False,True,59.434,"LINESTRING (-0.1283797 51.5118562, -0.1283705 51.5117331, -0.1283715 51.5116901, -0.1283762 51.511599, -0.1283812 51.5115011, -0.1283819 51.5114884, -0.1283838 51.5114352, -0.1283895 51.511322)",2,A400,,,,
"[4260282, 1065127955, 1065127956]",Great Newport Street,unclassified,20 mph,True,False,87.802,"LINESTRING (-0.1283797 51.5118562, -0.1275666 51.5118666, -0.1274339 51.5118679, -0.1273755 51.5118686, -0.1273014 51.5118696, -0.1272474 51.5118708, -0.1271903 51.5118694, -0.1271113 51.5118671)",,,,,,
2263979,Pall Mall,primary,20 mph,False,False,20.443,"LINESTRING (-0.132375 51.5072375, -0.1326271 51.5071417)",,A4,,,,
4266580,Waterloo Place,residential,20 mph,True,False,100.806,"LINESTRING (-0.132375 51.5072375, -0.1323283 51.5071803, -0.1316944 51.506436)",,,,,,
211489821,Pall Mall,primary,20 mph,True,False,101.41,"LINESTRING (-0.132375 51.5072375, -0.1323021 51.507309, -0.132259 51.5073256, -0.1321875 51.5073527, -0.1318358 51.5074739, -0.1313586 51.5076382, -0.1313028 51.5076566, -0.1312377 51.5076771, -0.1311359 51.5077052)",1,A4,,,,
436945579,Haymarket,primary,20 mph,True,False,50.762,"LINESTRING (-0.1324028 51.5092299, -0.1323782 51.5092019, -0.1321722 51.5089672, -0.1320508 51.5088294)",3,A4,,,,
4356098,Coventry Street,residential,20 mph,True,False,77.61,"LINESTRING (-0.1333442 51.5100968, -0.1326677 51.5102149, -0.1322679 51.5102926)",1,,,,,
4369048,Haymarket,primary,20 mph,True,False,53.919,"LINESTRING (-0.1333442 51.5100968, -0.1332422 51.510054, -0.132875 51.5097156)",2,A4,,,,
4356098,Coventry Street,residential,20 mph,True,False,7.923,"LINESTRING (-0.1322679 51.5102926, -0.1321604 51.5103171)",1,,,,,
