osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,junction,bridge,width,tunnel,access
"[3236892, 51265917, 716035934]",True,2,A4,St Cloud Way,primary,40 mph,False,305.403,"LINESTRING (-0.715624 51.5243654, -0.7158379 51.5244498, -0.7161221 51.5244912, -0.7165903 51.5245601, -0.7174017 51.5246419, -0.717694 51.5246597, -0.7181135 51.5246645, -0.7188023 51.5246014, -0.7191034 51.5245638, -0.7193535 51.5245325, -0.7195402 51.5245264, -0.7197191 51.5245301, -0.7198379 51.5245188, -0.719934 51.5244877)",,,,,
766063264,True,2,A4,,primary,40 mph,False,24.113999999999997,"LINESTRING (-0.715624 51.5243654, -0.7156372 51.524474, -0.715579 51.5245757)",roundabout,,,,
224772145,True,2,A4,,primary,40 mph,False,84.47299999999998,"LINESTRING (-0.715579 51.5245757, -0.715406 51.5246367, -0.71527 51.5246762, -0.7151541 51.5246871, -0.7150067 51.5246754, -0.7149055 51.5246316, -0.7146577 51.5244108, -0.7146323 51.5243839)",roundabout,,,,
1191548922,True,2,A4,,primary,40 mph,False,8.073,"LINESTRING (-0.719934 51.5244877, -0.719961 51.5244555, -0.7199973 51.5244271)",roundabout,,,,
"[1033847883, 8133253]",True,1,,Market Street,unclassified,"['20 mph', '40 mph']",False,42.136,"LINESTRING (-0.7199973 51.5244271, -0.7200685 51.5242852, -0.7201193 51.5240571)",,,,,
1194883074,True,2,A4,,primary,40 mph,False,20.064,"LINESTRING (-0.7199973 51.5244271, -0.7200745 51.5243909, -0.7201659 51.5243714, -0.7202626 51.5243706)",roundabout,,,,
1194883074,True,2,A4,,primary,40 mph,False,8.52,"LINESTRING (-0.7202626 51.5243706, -0.7203223 51.5243799, -0.7203779 51.5243964)",roundabout,,,,
"[3322114, 1191623757]",True,"['2', '3']",A4,Bad Godesberg Way,primary,40 mph,False,334.811,"LINESTRING (-0.7203779 51.5243964, -0.7205574 51.5243939, -0.7212072 51.524258, -0.7214752 51.5241994, -0.7215317 51.5241849, -0.7218562 51.5241059, -0.722384 51.5239636, -0.7229745 51.5236894, -0.723801 51.5231624, -0.7240806 51.5230142, -0.7242009 51.5227652)",,,,,
224772139,True,2,A4,,primary,40 mph,False,25.28,"LINESTRING (-0.7203779 51.5243964, -0.720448 51.5244329, -0.7204978 51.5244805, -0.7205228 51.5245352, -0.7205209 51.524592)",roundabout,,,,
224772139,True,2,A4,,primary,40 mph,False,9.599,"LINESTRING (-0.7205209 51.524592, -0.7205015 51.5246334, -0.7204676 51.5246711)",roundabout,,,,
15091395,True,1,B4447,Cookham Road,secondary,30 mph,False,91.08500000000001,"LINESTRING (-0.7204676 51.5246711, -0.720353 51.5248764, -0.7203174 51.5249617, -0.7203014 51.525035, -0.7202933 51.5250958, -0.7202976 51.5251824, -0.7203265 51.5253407, -0.7203334 51.5253928, -0.7203304 51.5254296, -0.7203231 51.525473)",,,,,
1194883073,True,2,A4,,primary,40 mph,False,33.288,"LINESTRING (-0.7204676 51.5246711, -0.7203999 51.5247136, -0.7203143 51.524741, -0.7202193 51.5247506, -0.7201242 51.5247414, -0.7200384 51.5247143)",roundabout,,,,
1194883072,True,2,A4,,primary,40 mph,False,5.675,"LINESTRING (-0.7200384 51.5247143, -0.719979 51.5246791)",roundabout,,,,
