osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,tunnel,access,bridge,junction
3869359,True,1,A487,New Street,primary,20 mph,False,21.28,"LINESTRING (-5.2619185 51.8848006, -5.2619705 51.884722, -5.2619828 51.8846709, -5.2619749 51.8846163)",,,,
548866489,False,2,A487,Heol Non,primary,20 mph,False,37.116,"LINESTRING (-5.2619185 51.8848006, -5.2615778 51.8849842, -5.2615111 51.8850201)",,,,
182685357,True,1,A487,Heol Non,primary,20 mph,False,27.575,"LINESTRING (-5.2622054 51.884627, -5.2619185 51.8848006)",,,,
135410221,True,1,,,primary,20 mph,False,16.473999999999997,"LINESTRING (-5.2622054 51.884627, -5.2620999 51.8846405, -5.2620405 51.8846349, -5.2619749 51.8846163)",,,,
998821124,False,2,A487,Heol Fawr,primary,20 mph,False,177.89600000000002,"LINESTRING (-5.2620522 51.8806929, -5.2630817 51.8807289, -5.2635736 51.8807618, -5.2641057 51.8808081, -5.2646187 51.8808863)",,,,
998821124,False,2,A487,Heol Fawr,primary,20 mph,True,121.334,"LINESTRING (-5.2620522 51.8806929, -5.2617857 51.8806795, -5.26118 51.8806664, -5.2607401 51.8806815, -5.260291 51.880721)",,,,
998821124,False,2,A487,Heol Fawr,primary,20 mph,True,36.027,"LINESTRING (-5.2651257 51.8809701, -5.2646187 51.8808863)",,,,
182685355,True,1,,Sgwâr y Groes,primary,20 mph,False,56.331999999999994,"LINESTRING (-5.2651257 51.8809701, -5.2653716 51.8809727, -5.2658015 51.8809832, -5.2659458 51.880988)",,,,
"[4984729, 128360411, 4984732, 128360421]",False,,,"['Y Popls', 'The Pebbles']",unclassified,20 mph,False,283.636,"LINESTRING (-5.2659386 51.881266, -5.266675 51.8813717, -5.2670038 51.8814168, -5.2672464 51.8814353, -5.2674843 51.8814327, -5.2675517 51.8814314, -5.267649 51.8814108, -5.2677897 51.8813782, -5.2680286 51.8813212, -5.2685455 51.8811647, -5.2687938 51.8811381, -5.2692368 51.8811536, -5.2692753 51.8811687, -5.2692967 51.881186, -5.2693056 51.8812242, -5.2692754 51.8812648, -5.2691876 51.8813806, -5.2691676 51.8814293, -5.2691635 51.8814848, -5.2691854 51.8815542)",building_passage,,,
24888815,True,1,A487,Heol Non,primary,20 mph,False,88.014,"LINESTRING (-5.2659386 51.881266, -5.265913 51.8813317, -5.2658487 51.8814306, -5.2656921 51.8816378, -5.2653862 51.8819776)",,,,
182685354,True,1,,Sgwâr y Groes,primary,20 mph,False,64.88,"LINESTRING (-5.2659386 51.881266, -5.2657869 51.8812253, -5.2656668 51.881179, -5.2654623 51.8811, -5.2653291 51.8810486, -5.2651257 51.8809701)",,,,
182685353,True,1,A487,Heol Newydd,primary,20 mph,False,21.902,"LINESTRING (-5.2641141 51.8816769, -5.2642365 51.881495)",,,,
55588128,False,,,Feidr Efengyl,residential,20 mph,True,94.73400000000001,"LINESTRING (-5.2641141 51.8816769, -5.2644585 51.8818085, -5.2650472 51.8818772, -5.2653862 51.8819776)",,,,
24888815,True,1,A487,Heol Non,primary,20 mph,False,41.764,"LINESTRING (-5.2649913 51.8824138, -5.264688 51.8827394)",,,,
8017462,False,,,Ffordd Caerfai,tertiary,20 mph,False,227.329,"LINESTRING (-5.2616814 51.8780041, -5.261477 51.8783211, -5.2606834 51.8794788, -5.2604165 51.8798934)",,,,
60783331,False,2,,Maes-y-Dre,residential,20 mph,False,202.53199999999998,"LINESTRING (-5.2616814 51.8780041, -5.2621407 51.8782031, -5.2622946 51.8783514, -5.2624428 51.8787515, -5.2625184 51.8789333, -5.2626946 51.8790676, -5.2629325 51.8790928, -5.2631787 51.8790788, -5.2635065 51.8791801)",,yes,,
8017459,False,2,,Stryd yr Afr,tertiary,20 mph,False,42.452,"LINESTRING (-5.2691296 51.8806459, -5.2691781 51.8806202, -5.2692425 51.8805679, -5.269291 51.8805156, -5.2693624 51.8803604, -5.2694054 51.8803122)",,yes,,
8017459,False,2,,Stryd yr Afr,tertiary,20 mph,True,142.09799999999998,"LINESTRING (-5.2691296 51.8806459, -5.2690038 51.8806734, -5.2687838 51.8806968, -5.268582 51.8806955, -5.2682103 51.8806957, -5.2680037 51.8807059, -5.2676649 51.8807368, -5.2674449 51.8807644, -5.267093 51.8808259)",,yes,,
8017459,False,2,,Stryd yr Afr,tertiary,20 mph,True,42.452,"LINESTRING (-5.2694054 51.8803122, -5.2693624 51.8803604, -5.269291 51.8805156, -5.2692425 51.8805679, -5.2691781 51.8806202, -5.2691296 51.8806459)",,yes,,
60783351,False,,,Stryd yr Afr,unclassified,20 mph,False,43.239000000000004,"LINESTRING (-5.2694054 51.8803122, -5.2694084 51.8802727, -5.2694594 51.8801295, -5.26954 51.879933)",,,,
1091087312,False,2,,Heol Catrin,tertiary,20 mph,False,29.961,"LINESTRING (-5.2694054 51.8803122, -5.2694904 51.880282, -5.2698013 51.8801995)",,yes,,
1091087312,False,2,,Heol Catrin,tertiary,20 mph,False,40.156,"LINESTRING (-5.2700684 51.880173, -5.270653 51.8801864)",,yes,,
60783330,False,2,,Clôs Santes Non,residential,20 mph,False,114.502,"LINESTRING (-5.2700684 51.880173, -5.2700767 51.8800183, -5.2701397 51.8799133, -5.2703845 51.8797874, -5.2704509 51.879679, -5.27036 51.8794972, -5.2701572 51.8794657, -5.2699543 51.8795042)",,yes,,
1091087312,False,2,,Heol Catrin,tertiary,20 mph,True,18.57,"LINESTRING (-5.2700684 51.880173, -5.2698452 51.8801945, -5.2698013 51.8801995)",,yes,,
1091087312,False,2,,Heol Catrin,tertiary,20 mph,True,40.156,"LINESTRING (-5.270653 51.8801864, -5.2700684 51.880173)",,yes,,
27821676,False,,,,tertiary,20 mph,False,73.162,"LINESTRING (-5.270653 51.8801864, -5.2707067 51.8802288, -5.2707032 51.880272, -5.2706601 51.8803188, -5.2704784 51.8804715, -5.270336 51.8806094, -5.2702385 51.8807512)",,,,
367276646,False,2,,Heol Catrin,unclassified,20 mph,False,131.902,"LINESTRING (-5.270653 51.8801864, -5.2707607 51.8801702, -5.2717398 51.8797368, -5.2721992 51.8794929)",,yes,,
8017459,False,2,,Stryd yr Afr,tertiary,20 mph,False,18.207,"LINESTRING (-5.2662736 51.8809663, -5.2665309 51.8809265)",,yes,,
3869358,True,1,,Stryd yr Afr,tertiary,20 mph,False,23.365,"LINESTRING (-5.2662736 51.8809663, -5.2661505 51.8810241, -5.26609 51.8810676, -5.2660499 51.8811193)",,,,
60783347,False,,,Pit Street,tertiary,20 mph,True,11.762,"LINESTRING (-5.2702385 51.8807512, -5.2703817 51.8808093)",,,,
27821676,False,,,,tertiary,20 mph,True,73.16199999999999,"LINESTRING (-5.2702385 51.8807512, -5.270336 51.8806094, -5.2704784 51.8804715, -5.2706601 51.8803188, -5.2707032 51.880272, -5.2707067 51.8802288, -5.270653 51.8801864)",,,,
60783370,True,1,,Pit Street,tertiary,20 mph,False,80.57000000000001,"LINESTRING (-5.2702385 51.8807512, -5.2699023 51.8806293, -5.2698185 51.8806115, -5.2696864 51.8806092, -5.2695885 51.8806179, -5.269438 51.8806419, -5.2692479 51.8806484, -5.2691296 51.8806459)",,,,
"[4984729, 72445202, 716748702, 24888822]",False,,,The Pebbles,unclassified,20 mph,"[False, True]",393.63400000000007,"LINESTRING (-5.2691854 51.8815542, -5.2692484 51.8816614, -5.2693218 51.881753, -5.2694229 51.8818755, -5.2694316 51.8819419, -5.269405 51.8819839, -5.2693361 51.8820725, -5.2692862 51.882129, -5.2693118 51.8821654, -5.2693736 51.8822058, -5.2695944 51.8823701, -5.2696535 51.8824189, -5.2697204 51.882514, -5.2696994 51.8825302, -5.2689587 51.8831023, -5.2686593 51.8834033, -5.2686671 51.8835285, -5.2686875 51.8838581, -5.2685842 51.8842309, -5.268704 51.8847244)",,,,
