osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,access,ref,junction,tunnel,width
1190902283,Cheapside,unclassified,20 mph,False,True,19.82,"LINESTRING (-0.0947411 51.5142176, -0.0944635 51.5141737)",,,,,,
3713824,Wood Street,unclassified,20 mph,False,False,54.048,"LINESTRING (-0.0947411 51.5142176, -0.0947094 51.5142983, -0.0946404 51.5144719, -0.0946151 51.5146955)",,,,,,
804474166,Cheapside,unclassified,20 mph,False,False,56.257999999999996,"LINESTRING (-0.0947411 51.5142176, -0.0949721 51.5142512, -0.095526 51.514349)",,,,,,
"[3713146, 839767667]",King Street,tertiary,20 mph,True,False,60.540000000000006,"LINESTRING (-0.0923294 51.513823, -0.0923329 51.5138983, -0.0923326 51.5139395, -0.0923224 51.5140069, -0.092298 51.5141159, -0.0922588 51.5143145, -0.0922503 51.5143643)",,,,,,
112697637,Cheapside,tertiary,20 mph,False,False,17.057000000000002,"LINESTRING (-0.0923294 51.513823, -0.0921616 51.5138033, -0.0921106 51.5137955, -0.092088 51.5137922)",,,,,,
"[839767664, 839767665, 1160596809, 230188926]",Queen Street,tertiary,20 mph,False,True,69.59,"LINESTRING (-0.0923294 51.513823, -0.0923252 51.5137629, -0.0923267 51.5136864, -0.0923365 51.5136324, -0.0924072 51.5131998)",2,,,,,
"[633514616, 3998353, 841068576, 1065083428]",Cheapside,unclassified,20 mph,False,False,152.745,"LINESTRING (-0.0923294 51.513823, -0.0925233 51.5138536, -0.0925917 51.5138644, -0.0927106 51.5138831, -0.0927571 51.5138903, -0.0931088 51.5139505, -0.0932007 51.5139653, -0.0933632 51.5139938, -0.0936945 51.514048, -0.0941507 51.5141225, -0.0944635 51.5141737)",,no,,,,
"[4211265, 1186359476, 1186359477]",Abchurch Lane,unclassified,20 mph,True,False,98.63,"LINESTRING (-0.0883778 51.5112421, -0.0883401 51.511315, -0.0882838 51.5114222, -0.0882374 51.5114965, -0.0881955 51.5115506, -0.0881866 51.5115635, -0.088039 51.5117536, -0.0878437 51.5119607, -0.0878122 51.5119942, -0.087802 51.5119971, -0.087793 51.5119996, -0.0877335 51.5120163)",,,,,,
"[681324216, 1159781907]",Cannon Street,tertiary,20 mph,False,False,30.165,"LINESTRING (-0.0883778 51.5112421, -0.0883142 51.5112305, -0.0879613 51.5111621)",2,,,,,
681324216,Cannon Street,tertiary,20 mph,False,True,64.68,"LINESTRING (-0.0883778 51.5112421, -0.0885837 51.5112819, -0.0886224 51.5112891, -0.0889607 51.5113542, -0.0892708 51.5114138)",2,,,,,
326329571,Cannon Street,tertiary,20 mph,False,False,99.82000000000001,"LINESTRING (-0.090727 51.5116996, -0.0905696 51.5116664, -0.0905169 51.5116553, -0.0904581 51.5116419, -0.0902745 51.5116058, -0.0898801 51.5115308, -0.0896426 51.511486, -0.0896097 51.5114795, -0.0895041 51.5114594, -0.0894124 51.5114402, -0.0893517 51.5114293)",2,,,,,
"[742184725, 742184199]",Cannon Street,tertiary,20 mph,False,True,90.241,"LINESTRING (-0.090727 51.5116996, -0.0908469 51.5117263, -0.0909103 51.5117404, -0.0909993 51.5117602, -0.0910565 51.5117729, -0.091117 51.5117863, -0.0915287 51.5118779, -0.0917027 51.5119171, -0.0919543 51.5119738)",2,,,,,
4223960,College Hill,residential,20 mph,True,False,29.625,"LINESTRING (-0.0919543 51.5119738, -0.0919726 51.5119422, -0.0920811 51.5117545, -0.0920992 51.5117231)",,,,,,
"[975142223, 680253231]",Cannon Street,tertiary,20 mph,False,True,94.02900000000001,"LINESTRING (-0.0919543 51.5119738, -0.0925998 51.5121182, -0.0926155 51.5121219, -0.0926956 51.5121409, -0.0927886 51.5121592, -0.0928153 51.5121644, -0.0929482 51.5121961, -0.0932295 51.5122653)",2,,,,,
"[742184725, 742184199]",Cannon Street,tertiary,20 mph,False,False,90.24100000000001,"LINESTRING (-0.0919543 51.5119738, -0.0917027 51.5119171, -0.0915287 51.5118779, -0.091117 51.5117863, -0.0910565 51.5117729, -0.0909993 51.5117602, -0.0909103 51.5117404, -0.0908469 51.5117263, -0.090727 51.5116996)",2,,,,,
48741698,Cannon Street,tertiary,20 mph,True,False,8.404,"LINESTRING (-0.0951234 51.5126834, -0.0950735 51.5126733, -0.0950447 51.5126343)",,,,,,
416938466,Queen Victoria Street,tertiary,20 mph,True,False,46.711,"LINESTRING (-0.0971951 51.511846, -0.0975178 51.5118486, -0.0977953 51.5118824, -0.0978467 51.5119115)",,,,,,
975841622,Gracechurch Street,primary,20 mph,False,True,4.297,"LINESTRING (-0.085135 51.5118975, -0.0851046 51.5119312)",2,,A10,,,
184658156,Gracechurch Street,primary,20 mph,False,True,83.54299999999999,"LINESTRING (-0.085135 51.5118975, -0.0851957 51.5117981, -0.0852166 51.5117656, -0.0852403 51.5117288, -0.0854043 51.5114899, -0.0854468 51.5114215, -0.0854508 51.5114136, -0.0854748 51.5113741, -0.0854929 51.5113436, -0.0855705 51.5112252, -0.085591 51.5112022)",,,A10,,,
