osmid,name,highway,oneway,reversed,length,maxspeed,geometry,lanes,junction
4239293,Horsefair Green,tertiary,False,False,35.53,,"LINESTRING (-0.8504816 52.055525, -0.850858 52.0553047)",,
4239306,,tertiary,False,True,40.825,30 mph,"LINESTRING (-0.8504816 52.055525, -0.8506877 52.055726, -0.850802 52.0558348)",,
4239311,London Road,tertiary,False,False,93.931,30 mph,"LINESTRING (-0.8504816 52.055525, -0.8502933 52.0554134, -0.8500333 52.0552662, -0.84944 52.0549753)",,
38315844,Calverton Road,tertiary,False,False,25.463,,"LINESTRING (-0.8521291 52.0542035, -0.8519328 52.0540089)",,
4239293,Horsefair Green,tertiary,False,True,68.77799999999999,,"LINESTRING (-0.8521291 52.0542035, -0.8520739 52.0542707, -0.8520229 52.0543399, -0.8519297 52.0544542, -0.8518351 52.0545395, -0.8518009 52.0545703, -0.8516104 52.054731)",,
38315843,Silver Street,unclassified,False,True,38.022,,"LINESTRING (-0.8521291 52.0542035, -0.8523421 52.0543284, -0.8525062 52.0544538)",,
41803598,,residential,False,False,70.308,,"LINESTRING (-0.8516104 52.054731, -0.8507956 52.0543453)",,
4239293,Horsefair Green,tertiary,False,False,68.778,,"LINESTRING (-0.8516104 52.054731, -0.8518009 52.0545703, -0.8518351 52.0545395, -0.8519297 52.0544542, -0.8520229 52.0543399, -0.8520739 52.0542707, -0.8521291 52.0542035)",,
4239293,Horsefair Green,tertiary,False,True,82.236,,"LINESTRING (-0.8516104 52.054731, -0.8515005 52.0548448, -0.8512982 52.0550139, -0.850858 52.0553047)",,
4239293,Horsefair Green,tertiary,False,True,35.53,,"LINESTRING (-0.850858 52.0553047, -0.8504816 52.055525)",,
4239293,Horsefair Green,tertiary,False,False,82.236,,"LINESTRING (-0.850858 52.0553047, -0.8512982 52.0550139, -0.8515005 52.0548448, -0.8516104 52.054731)",,
38315852,Horsefair Green,residential,False,True,169.956,,"LINESTRING (-0.850858 52.0553047, -0.8510367 52.0553955, -0.8511104 52.0554333, -0.8512419 52.0554211, -0.8514999 52.0552809, -0.8520139 52.0548755, -0.8522122 52.0547191, -0.8525062 52.0544538)",,
4239306,,tertiary,False,False,40.825,30 mph,"LINESTRING (-0.850802 52.0558348, -0.8506877 52.055726, -0.8504816 52.055525)",,
4239308,Wolverton Road,tertiary,False,True,73.02799999999999,30 mph,"LINESTRING (-0.850802 52.0558348, -0.8507264 52.0558949, -0.8506648 52.0559435, -0.8504729 52.0560773, -0.8503244 52.0561717, -0.8501153 52.0563028, -0.8500859 52.0563212)",,
41803642,Ostlers Lane,unclassified,False,False,130.873,,"LINESTRING (-0.8512239 52.0609305, -0.851493 52.0604772, -0.8517762 52.0601334, -0.852077 52.0598858)",,
488083106,Queen Eleanor Street,tertiary,False,False,228.934,40 mph,"LINESTRING (-0.8512239 52.0609305, -0.8508934 52.0608394, -0.8506158 52.0607598, -0.8500458 52.0606003, -0.8490078 52.0603034, -0.8485635 52.0602047, -0.848139 52.0601418)",,
488083106,Queen Eleanor Street,tertiary,False,True,502.48799999999994,40 mph,"LINESTRING (-0.8512239 52.0609305, -0.8516238 52.0610135, -0.8526063 52.0611655, -0.8530714 52.0612214, -0.8536184 52.0612716, -0.8541944 52.061306, -0.8546002 52.0613146, -0.8551834 52.0613168, -0.8558161 52.0612921, -0.8563981 52.0612402, -0.8570089 52.0611757, -0.8578428 52.061067, -0.8582715 52.0610078, -0.8584519 52.0609791)",,
4239308,Wolverton Road,tertiary,False,True,28.473,30 mph,"LINESTRING (-0.8500859 52.0563212, -0.849768 52.0564866)",,
4239308,Wolverton Road,tertiary,False,False,73.028,30 mph,"LINESTRING (-0.8500859 52.0563212, -0.8501153 52.0563028, -0.8503244 52.0561717, -0.8504729 52.0560773, -0.8506648 52.0559435, -0.8507264 52.0558949, -0.850802 52.0558348)",,
41803631,Russell Street,unclassified,False,True,54.84,,"LINESTRING (-0.8500859 52.0563212, -0.8503245 52.0565396, -0.8505881 52.0567029)",,
4239308,Wolverton Road,tertiary,False,False,23.267,30 mph,"LINESTRING (-0.8464242 52.0577459, -0.8467275 52.057651)",,
4239308,Wolverton Road,tertiary,False,True,43.679,30 mph,"LINESTRING (-0.8464242 52.0577459, -0.8461516 52.0578365, -0.8458577 52.0579274)",,
41803601,Clarence Road,residential,False,True,404.834,,"LINESTRING (-0.8464242 52.0577459, -0.8463301 52.0576331, -0.8461221 52.0573917, -0.8460568 52.0573062, -0.8460605 52.0572772, -0.847811 52.0557475, -0.8488804 52.0546882)",,
