osmid,oneway,ref,name,highway,reversed,length,geometry,bridge,lanes,maxspeed,junction,tunnel
23513211,True,A719,South Harbour Street,primary,False,119.869,"LINESTRING (-4.6334598 55.465106, -4.6332801 55.4651569, -4.6331326 55.4651692, -4.6329164 55.4651663, -4.632719 55.4651508, -4.6325077 55.4651302, -4.6316709 55.4649112)",,,,,
"[125865972, 43649147, 686323028]",False,B748,South Harbour Street,secondary,True,367.88300000000004,"LINESTRING (-4.6334598 55.465106, -4.63362 55.4651568, -4.6338151 55.4651898, -4.6347489 55.4653397, -4.6350528 55.4654032, -4.635343 55.4654873, -4.6356146 55.4655908, -4.6359803 55.4657587, -4.6364094 55.4660304, -4.636691 55.4662087, -4.6367819 55.4662796, -4.6368046 55.4662946, -4.636984 55.4664047, -4.6375192 55.4667332, -4.6376724 55.4668247, -4.6380167 55.4670303)",,,,,
"[4843632, 38067668, 38067669]",False,A719,New Bridge Street,primary,False,92.80199999999999,"LINESTRING (-4.6316709 55.4649112, -4.631611 55.4649665, -4.6309314 55.4655933, -4.6308975 55.4656213)",yes,2,30 mph,,
"[291885788, 38067101]",True,A719,New Bridge Street,primary,False,51.878,"LINESTRING (-4.6316709 55.4649112, -4.6319522 55.464631, -4.6320782 55.4645058)",,,,,
"[4843632, 38067668, 38067669]",False,A719,New Bridge Street,primary,True,92.80199999999999,"LINESTRING (-4.6308975 55.4656213, -4.6309314 55.4655933, -4.631611 55.4649665, -4.6316709 55.4649112)",yes,2,30 mph,,
43547431,False,,North Harbour Street,unclassified,False,149.679,"LINESTRING (-4.6308975 55.4656213, -4.6326081 55.4660709, -4.6329754 55.4662539)",,,30 mph,,
"[125865960, 131280238]",False,A719,,primary,False,42.096000000000004,"LINESTRING (-4.6308975 55.4656213, -4.630839 55.4656772, -4.6306664 55.4658291, -4.6305807 55.4659528)",,,,,
18809342,False,A719,Alloway Place,primary,False,73.821,"LINESTRING (-4.6350318 55.4608493, -4.6350664 55.4601857)",,,30 mph,,
18779324,False,,Wellington Square,tertiary,False,162.349,"LINESTRING (-4.6350318 55.4608493, -4.6363286 55.4608922, -4.637603 55.4609301)",,,30 mph,,
59653059,False,,Barns Street,unclassified,True,174.80399999999997,"LINESTRING (-4.6350318 55.4608493, -4.6328516 55.4607469, -4.6322704 55.4607089)",,,30 mph,,
60236284,False,A719,Wellington Square,primary,False,71.737,"LINESTRING (-4.6350318 55.4608493, -4.6350189 55.4611921, -4.6350076 55.4614943)",,,,,
1073032468,False,A719,Main Street,primary,True,21.877,"LINESTRING (-4.6302169 55.4669547, -4.6303157 55.4667661)",,,,,
23513212,True,A719,King Street,primary,False,149.197,"LINESTRING (-4.6302169 55.4669547, -4.6298781 55.4668803, -4.6295547 55.4668143, -4.6291761 55.4667701, -4.6287726 55.46674, -4.6284965 55.466728, -4.6282488 55.466734, -4.6279204 55.4667871)",,,,,
30151993,True,A79,King Street,primary,False,24.796999999999997,"LINESTRING (-4.6277953 55.4668725, -4.6276989 55.466894, -4.6276743 55.4668962, -4.6275433 55.4668888, -4.6274293 55.4668497)",,,,roundabout,
30151993,True,A79,King Street,primary,False,12.511,"LINESTRING (-4.6279204 55.4667871, -4.6278784 55.46683, -4.6277953 55.4668725)",,,,roundabout,
30151993,True,A79,King Street,primary,False,12.474,"LINESTRING (-4.6273722 55.4666459, -4.6274171 55.4666102, -4.6275151 55.4665704)",,,,roundabout,
30151993,True,A79,King Street,primary,False,13.59,"LINESTRING (-4.627921 55.4666668, -4.6279394 55.4667371, -4.6279204 55.4667871)",,,,roundabout,
38001322,True,A719,King Street,primary,False,75.22,"LINESTRING (-4.627921 55.4666668, -4.6280046 55.4666457, -4.6283302 55.4666578, -4.6285425 55.4666397, -4.6287549 55.4666317, -4.6291017 55.4666477)",,,,,
28238358,False,,Elba Street,residential,False,8.296,"LINESTRING (-4.6262418 55.4642219, -4.6261418 55.4642704)",,,,,
140822326,True,A79,John Street,primary,False,94.393,"LINESTRING (-4.6262418 55.4642219, -4.6271776 55.4648846)",,,30 mph,,
34107014,False,,Albert Terrace,residential,True,8.859,"LINESTRING (-4.6243158 55.4628125, -4.6242133 55.462867)",,,,,
140822326,True,A79,John Street,primary,False,42.786,"LINESTRING (-4.6243158 55.4628125, -4.6247289 55.4631178)",,,30 mph,,
"[1225714976, 1225714977, 38067107, 131278177]",True,,High Street,residential,False,551.4270000000001,"LINESTRING (-4.6285523 55.4602585, -4.6285361 55.4603594, -4.6286113 55.460461, -4.6286408 55.4605009, -4.6286935 55.4606224, -4.6287721 55.4608035, -4.6288981 55.4610484, -4.6290671 55.4612826, -4.6294433 55.4616714, -4.6295792 55.4618328, -4.6297859 55.4621552, -4.6300389 55.4625499, -4.6301456 55.4629928, -4.6301834 55.4632645, -4.6301906 55.4633158, -4.630244 55.4636065, -4.6302998 55.4637724, -4.6303627 55.4638506, -4.6304542 55.4639221, -4.6305863 55.4639901, -4.6307033 55.4640426, -4.6311244 55.4641977, -4.6320782 55.4645058)",,,,,
44397856,True,,Kyle Street,residential,False,185.77900000000002,"LINESTRING (-4.6285523 55.4602585, -4.6284893 55.4602612, -4.6284251 55.4602404, -4.627811 55.4597848, -4.6274682 55.4595305, -4.627276 55.4593879, -4.6271212 55.4592731, -4.6267136 55.4589771)",,,20 mph,,
