osmid,ref,highway,junction,oneway,reversed,length,geometry,name,maxspeed,bridge,lanes
6302846,A4169,primary,roundabout,True,False,3.78,"LINESTRING (-2.3779283 52.6639669, -2.3779198 52.6640005)",,,,
71510199,A4169,primary,,True,False,27.77,"LINESTRING (-2.3779198 52.6640005, -2.3779412 52.6642499)",,,,
6302846,A4169,primary,roundabout,True,False,10.401,"LINESTRING (-2.3779198 52.6640005, -2.3778817 52.6640317, -2.3778436 52.6640444, -2.3777973 52.6640483)",,,,
6302846,A4169,primary,roundabout,True,False,10.355,"LINESTRING (-2.3777973 52.6640483, -2.377755 52.6640424, -2.3777141 52.6640255, -2.3776897 52.6640037, -2.3776848 52.6639937)",,,,
97086764,A464,primary,,False,False,32.275,"LINESTRING (-2.372652 52.6636306, -2.3726199 52.6639202)",Park Street,30 mph,,
97086764,A464,primary,,False,True,36.969,"LINESTRING (-2.372652 52.6636306, -2.3726741 52.6632984)",Park Street,30 mph,,
22935209,,residential,,False,False,67.27,"LINESTRING (-2.372652 52.6636306, -2.3732616 52.6636265, -2.3733386 52.6636249, -2.3734119 52.6636183, -2.373645 52.6635933)",Dyas Close,,,
22935208,A464,primary,,True,False,25.852,"LINESTRING (-2.3781099 52.6674461, -2.3784695 52.6675267)",Priorslee Road,,,
22935207,A464,primary,roundabout,True,False,11.516000000000002,"LINESTRING (-2.3781099 52.6674461, -2.3781067 52.6674739, -2.3780941 52.6674962, -2.378072 52.6675168, -2.3780382 52.6675352)",Holyhead Road,,,
31145674,,unclassified,,False,False,94.015,"LINESTRING (-2.3779727 52.6675508, -2.378258 52.6683784)",Haughton Lane,,,
645704785,A464,primary,roundabout,True,False,5.753,"LINESTRING (-2.3779727 52.6675508, -2.3779258 52.6675512, -2.3778886 52.6675454)",Holyhead Road,,,
31145637,B4379,secondary,,True,False,15.718,"LINESTRING (-2.3778886 52.6675454, -2.3777716 52.6675661, -2.3776615 52.6675566)",,30 mph,,
645704785,A464,primary,roundabout,True,False,11.341000000000001,"LINESTRING (-2.3778886 52.6675454, -2.377852 52.6675334, -2.3778181 52.6675135, -2.3777976 52.6674923, -2.3777866 52.6674697)",Holyhead Road,,,
645704785,A464,primary,roundabout,True,False,3.9640000000000004,"LINESTRING (-2.3777866 52.6674697, -2.3777843 52.6674523, -2.3777873 52.6674342)",Holyhead Road,,,
645704741,A464,primary,roundabout,True,False,4.669,"LINESTRING (-2.3778422 52.6673776, -2.3778682 52.6673667, -2.377903 52.667358)",Holyhead Road,,,
645704741,A464,primary,roundabout,True,False,10.702,"LINESTRING (-2.3780288 52.6673675, -2.3780655 52.6673851, -2.3780871 52.6674023, -2.3781042 52.6674262, -2.3781099 52.6674461)",Holyhead Road,,,
31145639,,tertiary,,False,False,21.6,"LINESTRING (-2.3729292 52.6660904, -2.3728415 52.6661663, -2.3727753 52.6662596)",Bradford Street,30 mph,,
97086725,A464,primary,,False,True,33.66,"LINESTRING (-2.3729292 52.6660904, -2.3728517 52.665942, -2.3728228 52.665796)",Market Place,30 mph,,
97086790,A464,primary,,False,False,346.679,"LINESTRING (-2.3729292 52.6660904, -2.3730377 52.6661528, -2.3740724 52.6664559, -2.3743435 52.6665321, -2.3743882 52.6665447, -2.3750439 52.6667296, -2.3752129 52.6667719, -2.3776131 52.6673594)",Victoria Road,30 mph,,
232656508,A464,primary,,True,False,29.099,"LINESTRING (-2.3784695 52.6675267, -2.3780382 52.6675352)",Priorslee Road,,,
268846938,,residential,,False,False,23.745,"LINESTRING (-2.373645 52.6635933, -2.3739912 52.6635544)",,,,
22935209,,residential,,False,False,45.095,"LINESTRING (-2.373645 52.6635933, -2.3736023 52.6633843, -2.373566 52.6631906)",Dyas Close,,,
22935209,,residential,,False,True,67.27,"LINESTRING (-2.373645 52.6635933, -2.3734119 52.6636183, -2.3733386 52.6636249, -2.3732616 52.6636265, -2.372652 52.6636306)",Dyas Close,,,
22935209,,residential,,False,True,45.095,"LINESTRING (-2.373566 52.6631906, -2.3736023 52.6633843, -2.373645 52.6635933)",Dyas Close,,,
97086751,,residential,,False,True,106.83600000000001,"LINESTRING (-2.3751451 52.6643973, -2.3749412 52.6641575, -2.374863 52.6640532, -2.3748222 52.663958, -2.3747951 52.6638726, -2.3747828 52.6637817, -2.3747898 52.6637005, -2.374802 52.66362, -2.3748609 52.6635572, -2.3749416 52.6635137)",Vicarage Drive,,,
97086784,,tertiary,,True,False,178.33799999999997,"LINESTRING (-2.3751451 52.6643973, -2.3752195 52.6643807, -2.3759663 52.664279, -2.3766619 52.6641217, -2.3771519 52.6640523, -2.3775965 52.6640292, -2.3776643 52.6640089, -2.3776848 52.6639937)",Church Street,30 mph,,
31145639,,tertiary,,False,True,170.161,"LINESTRING (-2.3731043 52.6677534, -2.3729887 52.6676726, -2.3729476 52.6676206, -2.3729243 52.6675338, -2.3728949 52.6672536, -2.3728719 52.6670344, -2.3728252 52.6667215, -2.3727827 52.6664368, -2.3727753 52.6662596)",Bradford Street,30 mph,,
97086781,B4379,secondary,,False,False,23.317,"LINESTRING (-2.3731043 52.6677534, -2.3730533 52.6678082, -2.3730215 52.667886, -2.3730234 52.6679526)",Broadway,30 mph,,
"[71510202, 232655677, 232655678]",B4379,secondary,,False,True,152.316,"LINESTRING (-2.3731043 52.6677534, -2.3731543 52.6677116, -2.3732231 52.6676737, -2.373363 52.6676276, -2.3735565 52.6676063, -2.3739313 52.6676073, -2.3742459 52.6676035, -2.3750363 52.667597, -2.3752809 52.6675903)",Shrewsbury Road,30 mph,yes,
31145685,,unclassified,,False,False,65.58500000000001,"LINESTRING (-2.3725358 52.6703929, -2.3720973 52.670384, -2.3717691 52.6703773, -2.3715637 52.6703731)",Curriers Lane,,,2
38720832,B4379,secondary,,False,False,66.843,"LINESTRING (-2.3725358 52.6703929, -2.3725058 52.6704669, -2.3724337 52.6706335, -2.3723612 52.6708098, -2.372286 52.6709746)",High Street,30 mph,,
97086781,B4379,secondary,,False,True,73.879,"LINESTRING (-2.3725358 52.6703929, -2.3726968 52.67002, -2.3728232 52.6697518)",Broadway,30 mph,,
31145639,,tertiary,,False,False,170.161,"LINESTRING (-2.3727753 52.6662596, -2.3727827 52.6664368, -2.3728252 52.6667215, -2.3728719 52.6670344, -2.3728949 52.6672536, -2.3729243 52.6675338, -2.3729476 52.6676206, -2.3729887 52.6676726, -2.3731043 52.6677534)",Bradford Street,30 mph,,
