osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,lanes,bridge
50491523,Bridge Street,tertiary,False,True,22.136,"LINESTRING (-4.5746396 55.9847869, -4.574287 55.9848138)",,30 mph,2,
50491523,Bridge Street,tertiary,False,False,91.772,"LINESTRING (-4.5746396 55.9847869, -4.5749065 55.9847663, -4.5757557 55.9846724, -4.5759189 55.9846516, -4.5760875 55.9846302)",,30 mph,2,
57209271,Angus Street,residential,False,True,121.87200000000001,"LINESTRING (-4.5746396 55.9847869, -4.5746244 55.9847197, -4.5746096 55.984654, -4.5744948 55.9846039, -4.5742196 55.9845909, -4.574133 55.9840178, -4.5744016 55.9840032)",,,,
31094176,,secondary,True,False,143.468,"LINESTRING (-4.5769584 55.9860317, -4.5768443 55.9859909, -4.5767208 55.9859468, -4.5765351 55.9858519, -4.5764015 55.9857488, -4.5762637 55.985606, -4.5762 55.9854987, -4.576159 55.9853513, -4.5761636 55.985169, -4.5762653 55.9850521, -4.5763651 55.9849373)",B857,30 mph,,
30980163,Main Street,residential,False,False,75.491,"LINESTRING (-4.581336 55.9836836, -4.5809019 55.9842268, -4.5808679 55.9843085)",,30 mph,2,
57217483,Albert Street,residential,False,False,64.424,"LINESTRING (-4.581336 55.9836836, -4.5807907 55.9835448, -4.5803933 55.9834437)",,30 mph,2,
57217483,Albert Street,residential,False,True,7.469,"LINESTRING (-4.580284 55.9834159, -4.5803933 55.9834437)",,30 mph,2,
100448073,Leven Street,residential,False,True,51.93,"LINESTRING (-4.5771494 55.9831577, -4.5772229 55.9836229)",,,,
120003887,Clover Leaf Path,residential,False,False,48.881,"LINESTRING (-4.5771494 55.9831577, -4.5779348 55.9831439)",,,,
100448209,Leven Street,residential,False,False,110.328,"LINESTRING (-4.5771494 55.9831577, -4.5770413 55.9827068, -4.5767753 55.982445, -4.5767341 55.9824313, -4.576538 55.9823658, -4.5763925 55.9823611)",,,,
100448125,,tertiary,False,False,66.876,"LINESTRING (-4.566698 55.9811029, -4.5674463 55.9815347)",,30 mph,2,
100448125,,tertiary,False,True,74.602,"LINESTRING (-4.566698 55.9811029, -4.565898 55.9806031)",,30 mph,2,
162459698,Ladyton,residential,False,False,164.024,"LINESTRING (-4.566698 55.9811029, -4.5668872 55.9810091, -4.5669338 55.9809534, -4.5669089 55.9806541, -4.5669121 55.9805897, -4.5669867 55.9805149, -4.5669089 55.9796936)",,30 mph,,
100448136,Main Street,residential,False,False,115.714,"LINESTRING (-4.5731253 55.9821582, -4.5730304 55.9823476, -4.572789 55.9826339, -4.572583 55.9829201, -4.5725607 55.9831386)",,,,
100448136,Main Street,residential,False,True,115.882,"LINESTRING (-4.5731253 55.9821582, -4.5732999 55.9812514, -4.5732758 55.981122)",,,,
100448154,Campbell Street,residential,False,False,124.285,"LINESTRING (-4.5731253 55.9821582, -4.5727346 55.9821313, -4.5711459 55.9822559)",,,,
100448136,Main Street,residential,False,True,7.838,"LINESTRING (-4.5732758 55.981122, -4.5732518 55.9810528)",,,,
100448205,Kirkland Lane,residential,False,False,37.874,"LINESTRING (-4.5732758 55.981122, -4.5738811 55.9810855)",,,,
100448136,Main Street,residential,False,False,115.882,"LINESTRING (-4.5732758 55.981122, -4.5732999 55.9812514, -4.5731253 55.9821582)",,,,
101621424,O'Hare,residential,False,True,64.12299999999999,"LINESTRING (-4.5669626 55.9820417, -4.5672492 55.9817918, -4.5674463 55.9815347)",,30 mph,,
162459713,O'Hare,residential,False,False,58.400999999999996,"LINESTRING (-4.5669626 55.9820417, -4.5667572 55.9819917, -4.566667 55.9819526, -4.5666515 55.981903, -4.5666157 55.981618)",,30 mph,,
100448136,Main Street,residential,False,False,16.287,"LINESTRING (-4.5726315 55.9791641, -4.5726857 55.9793074)",,,,
100448136,Main Street,residential,False,True,16.784,"LINESTRING (-4.5726315 55.9791641, -4.5725087 55.9790297)",,,,
"[101621418, 101621423]","['Raglan Street', 'George Street']",residential,False,True,152.514,"LINESTRING (-4.5726315 55.9791641, -4.5715841 55.979313, -4.5713151 55.9793513, -4.5706827 55.9794834, -4.5705366 55.97951, -4.5705647 55.9795411, -4.5706549 55.9796424)",,,,
100448163,Burn Street,residential,False,False,111.495,"LINESTRING (-4.5697724 55.983808, -4.5696294 55.9848075)",,,,
100448163,Burn Street,residential,False,True,31.103,"LINESTRING (-4.5697724 55.983808, -4.5698105 55.9835291)",,,,
100448195,Hall Street,residential,False,False,82.656,"LINESTRING (-4.5697724 55.983808, -4.5710971 55.983866)",,,,
124348363,Glebe Gardens,residential,False,True,85.906,"LINESTRING (-4.5743727 55.9820853, -4.5743143 55.9813953, -4.5743319 55.9813141)",,,,
120003887,Clover Leaf Path,residential,False,True,27.585,"LINESTRING (-4.5783773 55.98316, -4.5779348 55.9831439)",,,,
100448145,Clover Leaf Path,residential,False,True,84.023,"LINESTRING (-4.5783773 55.98316, -4.5782284 55.983437, -4.5776078 55.9837484)",,,,
120003887,Clover Leaf Path,residential,False,False,106.64699999999999,"LINESTRING (-4.5783773 55.98316, -4.5788007 55.983117, -4.5791085 55.983004, -4.5797036 55.9826145)",,,,
101621423,George Street,residential,False,False,51.31,"LINESTRING (-4.5710292 55.9812659, -4.5709765 55.9808054)",,,,
101621423,George Street,residential,False,True,34.628,"LINESTRING (-4.5710292 55.9812659, -4.5710581 55.9815769)",,,,
120003894,Springcroft Grove,residential,False,True,64.143,"LINESTRING (-4.5710292 55.9812659, -4.5704225 55.9812861, -4.5702231 55.9812943, -4.5701903 55.981295, -4.5701146 55.9812967, -4.5699999 55.9812993)",,,,
120003896,Croft Street,residential,False,True,140.392,"LINESTRING (-4.5710292 55.9812659, -4.5712701 55.9812582, -4.5721037 55.9811746, -4.5732518 55.9810528)",,,,
100448190,Glebe Gardens,residential,False,False,53.145,"LINESTRING (-4.5743319 55.9813141, -4.5744579 55.9813458, -4.575155 55.981254)",,,,
124348363,Glebe Gardens,residential,False,False,85.906,"LINESTRING (-4.5743319 55.9813141, -4.5743143 55.9813953, -4.5743727 55.9820853)",,,,
124348363,Glebe Gardens,residential,False,True,38.004,"LINESTRING (-4.5743319 55.9813141, -4.5741464 55.9811994, -4.5738811 55.9810855)",,,,
100448145,Clover Leaf Path,residential,False,False,84.023,"LINESTRING (-4.5776078 55.9837484, -4.5782284 55.983437, -4.5783773 55.98316)",,,,
100448163,Burn Street,residential,False,False,31.103,"LINESTRING (-4.5698105 55.9835291, -4.5697724 55.983808)",,,,
100448163,Burn Street,residential,False,True,102.07100000000001,"LINESTRING (-4.5698105 55.9835291, -4.5698223 55.9834348, -4.5698547 55.9831302, -4.5698817 55.9829931, -4.5699554 55.9828793, -4.5701039 55.9827474, -4.5702245 55.982669)",,,,
101621410,Hillbank Street,residential,False,True,271.669,"LINESTRING (-4.5698105 55.9835291, -4.5696325 55.9835129, -4.5693945 55.9835076, -4.5692746 55.9835543, -4.5691264 55.9836534, -4.5684651 55.9846297, -4.5678493 55.9855194)",,,,
100448185,Clover Leaf Path,residential,False,False,165.14,"LINESTRING (-4.5797036 55.9826145, -4.5793219 55.9824532, -4.578854 55.9824064, -4.5786767 55.9825056, -4.5784501 55.9826902, -4.5780412 55.9828363, -4.5779526 55.9829851, -4.5779348 55.9831439)",,,,
120003884,Rowantree Grove,residential,False,False,133.622,"LINESTRING (-4.5797036 55.9826145, -4.5803496 55.9822989, -4.5803784 55.9821697, -4.5802726 55.9820621, -4.5800904 55.9820619, -4.579913 55.982073, -4.5796963 55.9819986, -4.5795314 55.9819145)",,,,
120003887,Clover Leaf Path,residential,False,True,106.64699999999999,"LINESTRING (-4.5797036 55.9826145, -4.5791085 55.983004, -4.5788007 55.983117, -4.5783773 55.98316)",,,,
100448154,Campbell Street,residential,False,False,49.061,"LINESTRING (-4.5711459 55.9822559, -4.5709454 55.9822526, -4.5703665 55.9823105)",,,,
