osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,tunnel,access,junction
4086209,True,3,A5036,Strand Street,trunk,30 mph,False,8.541,"LINESTRING (-2.9925924 53.404392, -2.9925126 53.4043317)",,,
972626711,True,1,A5039,James Street,primary,30 mph,False,43.948,"LINESTRING (-2.9925924 53.404392, -2.9923515 53.4044966, -2.9922501 53.4045406, -2.9920333 53.4046013)",,,
5098599,True,3,A5036,The Strand,trunk,30 mph,False,87.18800000000002,"LINESTRING (-2.9943397 53.4059058, -2.9939768 53.4056148, -2.9936402 53.4053303, -2.993575 53.4052681)",,,
1019995789,True,,,Brook Street,unclassified,,False,11.01,"LINESTRING (-2.9971103 53.4095503, -2.9972764 53.4095501)",,,
"[4086245, 1019995790]",True,"['2', '4']","['A5052', 'A5036']","['King Edward Street', 'New Quay']",trunk,30 mph,False,244.93099999999998,"LINESTRING (-2.9971103 53.4095503, -2.9970657 53.4093563, -2.9969702 53.4091112, -2.9969343 53.4090362, -2.9968113 53.408833, -2.9962925 53.4081054, -2.9959711 53.4076363, -2.9958722 53.4074833)",,,
"[1101427283, 4186631]",False,,A565,Old Hall Street,primary,30 mph,False,141.863,"LINESTRING (-2.9954644 53.4102299, -2.9950115 53.4097882, -2.9948005 53.4096193, -2.9946767 53.4095228, -2.9943097 53.4092549, -2.9942118 53.4091999)",,,
"[15742937, 15742959]",True,,,Brook Street,unclassified,,False,132.928,"LINESTRING (-2.9954644 53.4102299, -2.9957379 53.410088, -2.9960958 53.4099421, -2.9964835 53.4097841, -2.9969435 53.4096141, -2.9969738 53.4096012, -2.9970392 53.409574, -2.9971103 53.4095503)",,,
4186632,True,,A565,Old Hall Street,primary,30 mph,False,24.868,"LINESTRING (-2.9937498 53.4088745, -2.993496 53.4087098)",,,
1101427282,False,,A565,Old Hall Street,primary,30 mph,True,30.862,"LINESTRING (-2.9937498 53.4088745, -2.9940461 53.4090886)",,,
4186633,False,2,A5046,Chapel Street,primary,30 mph,True,87.661,"LINESTRING (-2.9924802 53.4080192, -2.992504 53.4080114, -2.9936378 53.407638)",,,
25890510,False,2,A5046,Tithebarn Street,primary,30 mph,False,56.145999999999994,"LINESTRING (-2.9924802 53.4080192, -2.9923625 53.408058, -2.9920461 53.4081596, -2.9918902 53.4082135, -2.9917478 53.408272)",,,
25890510,False,2,A5046,Tithebarn Street,primary,30 mph,True,42.85,"LINESTRING (-2.9912958 53.4085475, -2.9917478 53.408272)",,,
1176854385,False,2,A5046,Tithebarn Street,primary,30 mph,False,18.712,"LINESTRING (-2.9912958 53.4085475, -2.99111 53.4086742)",,,
