osmid,ref,highway,oneway,reversed,length,geometry,lanes,maxspeed,name
4592158,A815,primary,False,True,99.032,"LINESTRING (-4.9240858 55.9510571, -4.9241148 55.9510052, -4.9241502 55.9509643, -4.9243755 55.950811, -4.9245069 55.9507054, -4.9246142 55.9506062, -4.9247419 55.9504563, -4.9248427 55.9502838)",,,
38047276,A885,primary,False,True,87.58699999999999,"LINESTRING (-4.9240858 55.9510571, -4.9242438 55.9511179, -4.9243162 55.9511292, -4.9254531 55.951176)",2,30 mph,
4592159,A815,primary,False,False,119.22099999999999,"LINESTRING (-4.9253814 55.9459726, -4.9261605 55.9462028, -4.9263513 55.9462527, -4.9265804 55.9463438, -4.9269876 55.9465443)",,,Tom-A-Mhoid Road
"[45406001, 4592158, 4592159]",A815,primary,False,"[False, True]",414.60200000000003,"LINESTRING (-4.9253814 55.9459726, -4.9252415 55.9458932, -4.924762 55.9455529, -4.9245402 55.9454291, -4.9243177 55.9453297, -4.9242606 55.9453042, -4.9240091 55.9452524, -4.9238562 55.9452412, -4.923662 55.9452619, -4.9234539 55.945322, -4.9232707 55.9453994, -4.9230745 55.9455099, -4.9229676 55.9455991, -4.9229183 55.9456868, -4.9229297 55.945908, -4.9229328 55.9460022, -4.9229784 55.9465386, -4.9229873 55.946613, -4.922986 55.9466788, -4.9230474 55.9469354, -4.9230781 55.9470338, -4.9231041 55.9471196, -4.9231385 55.9472198, -4.9231875 55.9473723, -4.9232443 55.9475192)",,,"['Pier Esplanade', 'Tom-A-Mhoid Road']"
77966402,,residential,True,False,131.272,"LINESTRING (-4.9253814 55.9459726, -4.9259536 55.9458942, -4.9261236 55.9459194, -4.9262621 55.94594, -4.9263967 55.9459173, -4.9265551 55.9458281, -4.9267695 55.9456457, -4.9269424 55.9454162)",,,Park Avenue
4592159,A815,primary,False,False,5.085,"LINESTRING (-4.9280202 55.9468252, -4.9280992 55.9468368)",,,Tom-A-Mhoid Road
4592164,,residential,False,False,141.979,"LINESTRING (-4.9280202 55.9468252, -4.9267583 55.9478887)",,,Hillfoot Street
4592159,A815,primary,False,True,71.587,"LINESTRING (-4.9280202 55.9468252, -4.9272669 55.9466378, -4.9269876 55.9465443)",,,Tom-A-Mhoid Road
4592164,,residential,False,True,141.979,"LINESTRING (-4.9267583 55.9478887, -4.9280202 55.9468252)",,,Hillfoot Street
38047239,,residential,False,False,14.392,"LINESTRING (-4.9267583 55.9478887, -4.9265994 55.9479827)",,,Milton Avenue
38047239,,residential,False,True,86.406,"LINESTRING (-4.9267583 55.9478887, -4.9269943 55.9478947, -4.9279057 55.9482888)",,,Milton Avenue
4592162,,residential,False,False,140.766,"LINESTRING (-4.9279057 55.9482888, -4.9280583 55.9482153, -4.9282783 55.9480943, -4.9284689 55.9480263, -4.9287864 55.9479261, -4.9290322 55.9478833, -4.9293088 55.9478541, -4.9296382 55.9478452, -4.9299299 55.9478533)",,,Royal Crescent
4592162,,residential,False,True,207.275,"LINESTRING (-4.9279057 55.9482888, -4.9276933 55.9484751, -4.9275395 55.9487082, -4.9274695 55.9489728, -4.9275522 55.9493005, -4.9276953 55.9495302, -4.9279385 55.9497367, -4.9281126 55.9498531, -4.9283242 55.9499509)",,,Royal Crescent
38047239,,residential,False,False,86.406,"LINESTRING (-4.9279057 55.9482888, -4.9269943 55.9478947, -4.9267583 55.9478887)",,,Milton Avenue
4592163,,residential,False,False,57.265,"LINESTRING (-4.9299299 55.9478533, -4.9308259 55.9479695)",,,Mary Street
4592162,,residential,False,True,140.766,"LINESTRING (-4.9299299 55.9478533, -4.9296382 55.9478452, -4.9293088 55.9478541, -4.9290322 55.9478833, -4.9287864 55.9479261, -4.9284689 55.9480263, -4.9282783 55.9480943, -4.9280583 55.9482153, -4.9279057 55.9482888)",,,Royal Crescent
38047241,B8042,secondary,False,False,130.03300000000002,"LINESTRING (-4.9299299 55.9478533, -4.929782 55.9483765, -4.9295759 55.9490057)",,,Victoria Road
38047241,B8042,secondary,False,True,124.78999999999999,"LINESTRING (-4.9299299 55.9478533, -4.9298918 55.9472415, -4.9298752 55.9467315)",,,Victoria Road
4592163,,residential,False,True,108.251,"LINESTRING (-4.9325197 55.9481891, -4.9308259 55.9479695)",,,Mary Street
38047232,,residential,False,False,128.679,"LINESTRING (-4.9325197 55.9481891, -4.9320691 55.9493185)",,,Edward Street
38047232,,residential,False,True,46.823,"LINESTRING (-4.9325197 55.9481891, -4.9326949 55.9477796)",,,Edward Street
38047276,A885,primary,False,False,155.667,"LINESTRING (-4.9279466 55.9512683, -4.9269607 55.9512097, -4.9257391 55.9511782, -4.9254531 55.951176)",2,30 mph,
38047276,A885,primary,False,False,87.58699999999999,"LINESTRING (-4.9254531 55.951176, -4.9243162 55.9511292, -4.9242438 55.9511179, -4.9240858 55.9510571)",2,30 mph,
38047276,A885,primary,False,True,155.667,"LINESTRING (-4.9254531 55.951176, -4.9257391 55.9511782, -4.9269607 55.9512097, -4.9279466 55.9512683)",2,30 mph,
38508619,A815,primary,False,False,5.973,"LINESTRING (-4.9298752 55.9467315, -4.9299402 55.946692)",,,Wellington Street
4592159,A815,primary,False,True,111.87299999999999,"LINESTRING (-4.9298752 55.9467315, -4.929521 55.9467926, -4.9291888 55.9468181, -4.9285661 55.9468395, -4.9280992 55.9468368)",,,Tom-A-Mhoid Road
38047241,B8042,secondary,False,False,124.78999999999999,"LINESTRING (-4.9298752 55.9467315, -4.9298918 55.9472415, -4.9299299 55.9478533)",,,Victoria Road
38047232,,residential,False,False,123.774,"LINESTRING (-4.9320691 55.9493185, -4.9316282 55.9504039)",,,Edward Street
38047232,,residential,False,True,128.679,"LINESTRING (-4.9320691 55.9493185, -4.9325197 55.9481891)",,,Edward Street
