osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,name,bridge,geometry,junction,width
4441953,True,1,A907,primary,30 mph,False,36.239,,,"LINESTRING (-3.7997342 56.1179315, -3.7991506 56.1179124)",,
81227707,False,2,,residential,20 mph,True,25.5,Claremont,,"LINESTRING (-3.7997342 56.1179315, -3.8000662 56.1180669)",,
"[4441953, 87388579, 87388588]",True,1,A907,primary,30 mph,False,133.918,Ludgate,yes,"LINESTRING (-3.7976642 56.1177685, -3.7975382 56.1176891, -3.7975042 56.1175519, -3.7975374 56.1172631, -3.7975428 56.1172332, -3.7975808 56.1170236, -3.7975965 56.1168875, -3.7975729 56.116787, -3.7975623 56.1167708, -3.7974307 56.1166122)",,
4441950,False,2,A907,primary,30 mph,True,8.882,Marshill,,"LINESTRING (-3.7951219 56.1162117, -3.7952643 56.1162205)",,
1145217312,True,2,A907,primary,30 mph,False,42.905,Marshill,,"LINESTRING (-3.7951219 56.1162117, -3.7950221 56.1162281, -3.794818 56.1162616, -3.7947563 56.1162972, -3.7947036 56.1163412, -3.7946473 56.1164433)",,
4441951,True,,A907,primary,30 mph,False,19.109,,,"LINESTRING (-3.7974307 56.1166122, -3.7973973 56.1166016, -3.7973466 56.1165734, -3.7973161 56.116537, -3.7973093 56.1165133, -3.7973216 56.1164675)",roundabout,
4441950,False,2,A907,primary,30 mph,False,132.561,Marshill,,"LINESTRING (-3.7973216 56.1164675, -3.7971476 56.1163864, -3.7968018 56.1163284, -3.7965855 56.1163072, -3.7964175 56.1162915, -3.7960133 56.1162686, -3.7956512 56.1162401, -3.7952643 56.1162205)",,
4441951,True,,A907,primary,30 mph,False,15.803,,,"LINESTRING (-3.7973216 56.1164675, -3.7973575 56.1164327, -3.7973956 56.116413, -3.7974315 56.1164016, -3.7975013 56.1163917, -3.7975189 56.1163914)",roundabout,
4441949,True,,A907,primary,30 mph,False,9.205,,,"LINESTRING (-3.7946473 56.1164433, -3.7946688 56.1164829, -3.7946697 56.1165243)",roundabout,
4441949,True,,A907,primary,30 mph,False,23.278000000000002,,,"LINESTRING (-3.7943318 56.1163648, -3.7944067 56.1163584, -3.7944817 56.1163642, -3.7945506 56.1163817, -3.7946068 56.1164087, -3.7946473 56.1164433)",roundabout,
1145217313,True,2,A907,primary,30 mph,False,38.286,Marshill,,"LINESTRING (-3.7943318 56.1163648, -3.7945033 56.1162665, -3.7947144 56.1162073, -3.7948497 56.1162088)",,
4441949,True,,A907,primary,30 mph,False,17.05,,,"LINESTRING (-3.7943504 56.1166485, -3.7942859 56.1166353, -3.7942297 56.1166132, -3.7941857 56.1165837, -3.7941569 56.1165489)",roundabout,
81231546,True,2,A907,primary,30 mph,False,236.135,King Street,,"LINESTRING (-3.7943504 56.1166485, -3.7934994 56.1171296, -3.7930822 56.1172887, -3.7927304 56.1173788, -3.7925188 56.1174136, -3.7922208 56.1174382, -3.7920049 56.1174493, -3.7917558 56.1174382, -3.7915721 56.1174095, -3.7910824 56.1173036)",,
1128312335,True,2,A907,primary,30 mph,False,4.192,,,"LINESTRING (-3.7880033 56.116377, -3.7880325 56.116411)",roundabout,
4441883,True,2,A907,primary,30 mph,False,29.589,,,"LINESTRING (-3.7875906 56.1162795, -3.7877221 56.1162753, -3.7878485 56.1162965, -3.7879096 56.116318, -3.7880033 56.116377)",roundabout,
81251987,False,2,,unclassified,30 mph,False,70.322,Auldbrig Road,,"LINESTRING (-3.7875906 56.1162795, -3.7874975 56.1160341, -3.7875596 56.1158601, -3.7877138 56.1156749)",,
4441883,True,2,A907,primary,30 mph,False,17.993000000000002,,,"LINESTRING (-3.7873585 56.1163716, -3.787447 56.1163176, -3.7875906 56.1162795)",roundabout,
4441869,True,1,A907,primary,30 mph,False,31.68,Clackmannan Road,,"LINESTRING (-3.7873636 56.1166027, -3.7869007 56.116482)",,
1128312336,True,2,A907,primary,30 mph,False,27.0,,,"LINESTRING (-3.7873636 56.1166027, -3.7873106 56.1165362, -3.7872999 56.1164723, -3.7873585 56.1163716)",roundabout,
4441868,True,2,A907,primary,30 mph,False,30.921,Clackmannan Road,,"LINESTRING (-3.7869007 56.116482, -3.7873585 56.1163716)",,
81226781,True,2,,residential,20 mph,False,86.04,Kellie Place,,"LINESTRING (-3.7960719 56.1178838, -3.7974586 56.1178506)",,
