osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,bridge
34130886,B4081,Leysbourne,secondary,30 mph,False,False,182.233,"LINESTRING (-1.7786514 52.0521244, -1.7784823 52.0523352, -1.7783835 52.0524583, -1.7782438 52.0526241, -1.7781417 52.0528372, -1.7780999 52.0530006, -1.7780632 52.0531834, -1.778111 52.0535322, -1.7781624 52.053687)",
51982460,B4081,High Street,secondary,30 mph,False,True,188.911,"LINESTRING (-1.7786514 52.0521244, -1.7793467 52.0514313, -1.7796579 52.051154, -1.7799743 52.0509639, -1.7800856 52.0509066, -1.7803179 52.050787)",
4257503,B4081,Sheep Street,secondary,30 mph,False,False,224.40900000000002,"LINESTRING (-1.782872 52.0463672, -1.7827746 52.0464279, -1.7826927 52.046525, -1.7826093 52.046646, -1.7825452 52.0467725, -1.7825069 52.0468966, -1.7825048 52.0470287, -1.7825197 52.0471218, -1.7825452 52.0472037, -1.7825623 52.0472433, -1.78285 52.0478086, -1.7828732 52.047881, -1.7828973 52.0481612, -1.7828995 52.0482977)",
4310349,,,tertiary,30 mph,False,False,74.64500000000001,"LINESTRING (-1.782872 52.0463672, -1.7824386 52.0461577, -1.7819197 52.0460652)",
144332786,B4081,,secondary,30 mph,False,True,160.185,"LINESTRING (-1.782872 52.0463672, -1.7829983 52.046339, -1.7831568 52.0463569, -1.7838654 52.0464636, -1.7845299 52.0464831, -1.7846384 52.0464692, -1.7851687 52.0464028)",
31685821,,Lower High Street,tertiary,30 mph,False,True,35.168,"LINESTRING (-1.7832296 52.0496687, -1.7836537 52.0494898)",
600468612,B4081,Lower High Street,secondary,30 mph,False,False,17.436,"LINESTRING (-1.7832296 52.0496687, -1.7830179 52.0497561)",
4257503,B4081,Sheep Street,secondary,30 mph,False,True,156.05800000000002,"LINESTRING (-1.7832296 52.0496687, -1.783092 52.049475, -1.7830006 52.0492752, -1.7829405 52.0491265, -1.782919 52.0489893, -1.782878 52.0487284, -1.7828739 52.0484941, -1.7828774 52.0484673, -1.7828995 52.0482977)",
4310342,,Blind Lane,residential,30 mph,False,False,242.68500000000006,"LINESTRING (-1.7886629 52.0482409, -1.788437 52.0479995, -1.7883499 52.0478784, -1.7882599 52.0477533, -1.7881531 52.0475024, -1.7880996 52.0473695, -1.7880831 52.0472956, -1.7881076 52.0471466, -1.7881195 52.0469994, -1.7881002 52.04687, -1.7880044 52.046793, -1.7879863 52.0467825, -1.7879503 52.0467614, -1.787823 52.0466787, -1.7877177 52.0465522, -1.7876613 52.0464444, -1.7876084 52.0463419, -1.787625 52.0462452, -1.787634 52.046226)",
4313201,,Park Road,tertiary,30 mph,False,False,96.203,"LINESTRING (-1.7886629 52.0482409, -1.7880959 52.0483666, -1.7875334 52.0484919, -1.7873403 52.0485357)",
144332786,B4081,,secondary,30 mph,False,False,5.673,"LINESTRING (-1.7868839 52.0453097, -1.7868524 52.0453569)",
4310342,,Blind Lane,residential,30 mph,False,True,119.916,"LINESTRING (-1.7868839 52.0453097, -1.7871067 52.0454641, -1.787347 52.045663, -1.7876049 52.0458908, -1.7876792 52.0460191, -1.7876741 52.0461403, -1.787634 52.046226)",
144332786,B4081,,secondary,30 mph,False,True,29.033,"LINESTRING (-1.7851687 52.0464028, -1.7855155 52.0462522)",
148096348,,Izod's Close,residential,,False,True,5.039,"LINESTRING (-1.7851687 52.0464028, -1.7852153 52.0464379)",
144332786,B4081,,secondary,30 mph,False,False,160.18499999999997,"LINESTRING (-1.7851687 52.0464028, -1.7846384 52.0464692, -1.7845299 52.0464831, -1.7838654 52.0464636, -1.7831568 52.0463569, -1.7829983 52.046339, -1.782872 52.0463672)",
4310349,,,tertiary,30 mph,False,False,74.909,"LINESTRING (-1.7819197 52.0460652, -1.7814356 52.0459869, -1.7810318 52.0459549, -1.7808487 52.0459296)",
4310349,,,tertiary,30 mph,False,True,74.64500000000001,"LINESTRING (-1.7819197 52.0460652, -1.7824386 52.0461577, -1.782872 52.0463672)",
